#: table_doi: 10.17182/hepdata.49744.v1/t5
#: name: Table 5
#: description: The measured value of F2 and DSIG/DX for the FD data sample in the Q**2 range 30 to 50 GeV**2.

#: data_file: Table5.yaml
#: keyword reactions: GAMMA* GAMMA --> HADRONS
#: keyword observables: DSIG/DX | F2
#: keyword phrases: Exclusive | Single Differential Cross Section | Structure Function | Photoproduction
#: keyword cmenergies: 0.0
#: RE,,,GAMMA* GAMMA --> HADRONS
#: Q**2 [GEV**2],,,30 TO 50 (MEAN=39.7)
#: SQRT(S) [GeV],,,0.0
X,X LOW,X HIGH,F2/ALPHA,stat +,stat -,sys +,sys -
0.175,0.1,0.25,0.47,0.01,-0.01,0.02,-0.02
0.425,0.25,0.6,0.63,0.01,-0.01,0.02,-0.03
0.725,0.6,0.85,0.65,0.03,-0.03,0.06,-0.06

#: RE,,,GAMMA* GAMMA --> HADRONS
#: Q**2 [GEV**2],,,30 TO 50 (MEAN=39.7)
#: SQRT(S) [GeV],,,0.0
X,X LOW,X HIGH,D(SIG)/DX [PB],stat +,stat -,sys +,sys -
0.175,0.1,0.25,21.7,0.4,-0.4,0.9,-0.9
0.425,0.25,0.6,15.9,0.4,-0.4,0.5,-0.7
0.725,0.6,0.85,9.6,0.4,-0.4,0.9,-0.8

#: RE,,,GAMMA* GAMMA --> HADRONS
#: Q**2 [GEV**2],,,30 TO 50 (MEAN=39.7)
#: SQRT(S) [GeV],,,0.0
X,X LOW,X HIGH,RAD-CORR [PCT]
0.175,0.1,0.25,-5.9
0.425,0.25,0.6,-4.8
0.725,0.6,0.85,-3.8

