#: table_doi: 10.17182/hepdata.49744.v1/t4
#: name: Table 4
#: description: The measured value of F2 and DSIG/DX for the SW data sample in the Q**2 range 15 to 30 GeV**2.

#: data_file: Table4.yaml
#: keyword reactions: GAMMA* GAMMA --> HADRONS
#: keyword observables: DSIG/DX | F2
#: keyword phrases: Exclusive | Single Differential Cross Section | Structure Function | Photoproduction
#: keyword cmenergies: 0.0
#: RE,,,GAMMA* GAMMA --> HADRONS
#: Q**2 [GEV**2],,,15 TO 30 (MEAN=19.9)
#: SQRT(S) [GeV],,,0.0
X,X LOW,X HIGH,F2/ALPHA,stat +,stat -,sys +,sys -
0.175,0.1,0.25,0.39,0.01,-0.01,0.03,-0.03
0.425,0.25,0.6,0.49,0.01,-0.01,0.02,-0.02

#: RE,,,GAMMA* GAMMA --> HADRONS
#: Q**2 [GEV**2],,,15 TO 30 (MEAN=19.9)
#: SQRT(S) [GeV],,,0.0
X,X LOW,X HIGH,D(SIG)/DX [PB],stat +,stat -,sys +,sys -
0.175,0.1,0.25,56.0,1.0,-1.0,4.0,-4.0
0.425,0.25,0.6,36.0,1.0,-1.0,1.0,-1.0

#: RE,,,GAMMA* GAMMA --> HADRONS
#: Q**2 [GEV**2],,,15 TO 30 (MEAN=19.9)
#: SQRT(S) [GeV],,,0.0
X,X LOW,X HIGH,RAD-CORR [PCT]
0.175,0.1,0.25,-5.5
0.425,0.25,0.6,-4.5

