#: table_doi: 10.17182/hepdata.49744.v1/t6
#: name: Table 6
#: description: The measured value of F2 and DSIG/DX for the FD data sample in the Q**2 range 50 to 150 GeV**2.

#: data_file: Table6.yaml
#: keyword reactions: GAMMA* GAMMA --> HADRONS
#: keyword observables: DSIG/DX | F2
#: keyword phrases: Exclusive | Single Differential Cross Section | Structure Function | Photoproduction
#: keyword cmenergies: 0.0
#: RE,,,GAMMA* GAMMA --> HADRONS
#: Q**2 [GEV**2],,,50 TO 150 (MEAN=76.4)
#: SQRT(S) [GeV],,,0.0
X,X LOW,X HIGH,F2/ALPHA,stat +,stat -,sys +,sys -
0.175,0.1,0.25,0.55,0.01,-0.01,0.02,-0.03
0.425,0.25,0.6,0.68,0.01,-0.01,0.02,-0.02
0.725,0.6,0.85,0.73,0.02,-0.02,0.04,-0.04

#: RE,,,GAMMA* GAMMA --> HADRONS
#: Q**2 [GEV**2],,,50 TO 150 (MEAN=76.4)
#: SQRT(S) [GeV],,,0.0
X,X LOW,X HIGH,D(SIG)/DX [PB],stat +,stat -,sys +,sys -
0.175,0.1,0.25,18.8,0.4,-0.4,0.7,-0.9
0.425,0.25,0.6,13.8,0.3,-0.3,0.4,-0.4
0.725,0.6,0.85,9.1,0.3,-0.3,0.4,-0.5

#: RE,,,GAMMA* GAMMA --> HADRONS
#: Q**2 [GEV**2],,,50 TO 150 (MEAN=76.4)
#: SQRT(S) [GeV],,,0.0
X,X LOW,X HIGH,RAD-CORR [PCT]
0.175,0.1,0.25,-6.5
0.425,0.25,0.6,-5.2
0.725,0.6,0.85,-4.1

