z	u	VVM	VAVM	VPSM	VSM	VSAVM
8.5885	10.1292	484.85	519.854	523.24	412.661	9.30428e+127
8.58793	10.1285	484.781	519.783	523.169	412.496	8.95473e+127
8.58736	10.1278	484.711	519.713	523.099	412.332	8.61831e+127
8.5868	10.1271	484.642	519.642	523.028	412.167	8.29453e+127
8.58623	10.1263	484.573	519.572	522.958	412.003	7.98291e+127
8.58567	10.1256	484.504	519.501	522.887	411.838	7.68299e+127
8.5851	10.1249	484.434	519.431	522.817	411.673	7.39434e+127
8.58454	10.1242	484.365	519.36	522.746	411.508	7.11653e+127
8.58397	10.1235	484.296	519.29	522.676	411.343	6.84915e+127
8.5834	10.1228	484.226	519.219	522.605	411.178	6.59182e+127
8.58284	10.1221	484.157	519.149	522.535	411.013	6.34415e+127
8.58227	10.1214	484.088	519.078	522.465	410.848	6.10579e+127
8.58171	10.1206	484.018	519.008	522.394	410.682	5.87638e+127
8.58114	10.1199	483.949	518.937	522.324	410.517	5.65559e+127
8.58057	10.1192	483.88	518.867	522.253	410.351	5.44309e+127
8.58001	10.1185	483.81	518.796	522.183	410.185	5.23858e+127
8.57944	10.1178	483.741	518.726	522.112	410.02	5.04174e+127
8.57888	10.1171	483.672	518.655	522.042	409.854	4.8523e+127
8.57831	10.1164	483.602	518.585	521.971	409.688	4.66998e+127
8.57774	10.1156	483.533	518.514	521.901	409.522	4.49451e+127
8.57718	10.1149	483.464	518.444	521.83	409.356	4.32562e+127
8.57661	10.1142	483.394	518.373	521.76	409.189	4.16309e+127
8.57604	10.1135	483.325	518.303	521.689	409.023	4.00665e+127
8.57548	10.1128	483.256	518.233	521.619	408.857	3.8561e+127
8.57491	10.1121	483.186	518.162	521.548	408.69	3.7112e+127
8.57435	10.1114	483.117	518.092	521.478	408.523	3.57174e+127
8.57378	10.1107	483.048	518.021	521.407	408.357	3.43753e+127
8.57321	10.1099	482.979	517.951	521.337	408.19	3.30835e+127
8.57265	10.1092	482.909	517.88	521.266	408.023	3.18403e+127
8.57208	10.1085	482.84	517.81	521.196	407.856	3.06438e+127
8.57151	10.1078	482.771	517.739	521.125	407.689	2.94922e+127
8.57095	10.1071	482.701	517.669	521.055	407.522	2.8384e+127
8.57038	10.1064	482.632	517.598	520.984	407.355	2.73173e+127
8.56981	10.1057	482.563	517.528	520.914	407.187	2.62907e+127
8.56925	10.1049	482.493	517.457	520.844	407.02	2.53027e+127
8.56868	10.1042	482.424	517.387	520.773	406.852	2.43518e+127
8.56811	10.1035	482.355	517.316	520.703	406.685	2.34367e+127
8.56754	10.1028	482.286	517.246	520.632	406.517	2.25559e+127
8.56698	10.1021	482.216	517.176	520.562	406.349	2.17082e+127
8.56641	10.1014	482.147	517.105	520.491	406.181	2.08924e+127
8.56584	10.1007	482.078	517.035	520.421	406.013	2.01072e+127
8.56528	10.0999	482.008	516.964	520.35	405.845	1.93515e+127
8.56471	10.0992	481.939	516.894	520.28	405.677	1.86242e+127
8.56414	10.0985	481.87	516.823	520.209	405.508	1.79242e+127
8.56358	10.0978	481.8	516.753	520.139	405.34	1.72506e+127
8.56301	10.0971	481.731	516.682	520.068	405.172	1.66022e+127
8.56244	10.0964	481.662	516.612	519.998	405.003	1.59782e+127
8.56187	10.0957	481.593	516.541	519.928	404.834	1.53777e+127
8.56131	10.0949	481.523	516.471	519.857	404.666	1.47997e+127
8.56074	10.0942	481.454	516.4	519.787	404.497	1.42435e+127
8.56017	10.0935	481.385	516.33	519.716	404.328	1.37081e+127
8.5596	10.0928	481.315	516.26	519.646	404.159	1.31929e+127
8.55904	10.0921	481.246	516.189	519.575	403.99	1.2697e+127
8.55847	10.0914	481.177	516.119	519.505	403.82	1.22198e+127
8.5579	10.0907	481.108	516.048	519.434	403.651	1.17605e+127
8.55733	10.0899	481.038	515.978	519.364	403.482	1.13184e+127
8.55677	10.0892	480.969	515.907	519.293	403.312	1.0893e+127
8.5562	10.0885	480.9	515.837	519.223	403.142	1.04835e+127
8.55563	10.0878	480.831	515.766	519.153	402.973	1.00895e+127
8.55506	10.0871	480.761	515.696	519.082	402.803	9.71021e+126
8.5545	10.0864	480.692	515.626	519.012	402.633	9.34521e+126
8.55393	10.0857	480.623	515.555	518.941	402.463	8.99392e+126
8.55336	10.0849	480.553	515.485	518.871	402.293	8.65584e+126
8.55279	10.0842	480.484	515.414	518.8	402.123	8.33046e+126
8.55222	10.0835	480.415	515.344	518.73	401.952	8.01731e+126
8.55166	10.0828	480.346	515.273	518.659	401.782	7.71593e+126
8.55109	10.0821	480.276	515.203	518.589	401.612	7.42588e+126
8.55052	10.0814	480.207	515.132	518.519	401.441	7.14673e+126
8.54995	10.0807	480.138	515.062	518.448	401.27	6.87806e+126
8.54938	10.0799	480.069	514.992	518.378	401.1	6.6195e+126
8.54882	10.0792	479.999	514.921	518.307	400.929	6.37065e+126
8.54825	10.0785	479.93	514.851	518.237	400.758	6.13116e+126
8.54768	10.0778	479.861	514.78	518.166	400.587	5.90067e+126
8.54711	10.0771	479.791	514.71	518.096	400.416	5.67884e+126
8.54654	10.0764	479.722	514.639	518.025	400.244	5.46534e+126
8.54597	10.0756	479.653	514.569	517.955	400.073	5.25987e+126
8.54541	10.0749	479.584	514.499	517.885	399.902	5.06213e+126
8.54484	10.0742	479.514	514.428	517.814	399.73	4.87182e+126
8.54427	10.0735	479.445	514.358	517.744	399.559	4.68866e+126
8.5437	10.0728	479.376	514.287	517.673	399.387	4.51238e+126
8.54313	10.0721	479.307	514.217	517.603	399.215	4.34273e+126
8.54256	10.0713	479.237	514.146	517.532	399.043	4.17946e+126
8.542	10.0706	479.168	514.076	517.462	398.871	4.02232e+126
8.54143	10.0699	479.099	514.006	517.392	398.699	3.87109e+126
8.54086	10.0692	479.03	513.935	517.321	398.527	3.72555e+126
8.54029	10.0685	478.96	513.865	517.251	398.355	3.58547e+126
8.53972	10.0678	478.891	513.794	517.18	398.182	3.45066e+126
8.53915	10.0671	478.822	513.724	517.11	398.01	3.32092e+126
8.53858	10.0663	478.753	513.654	517.039	397.837	3.19606e+126
8.53801	10.0656	478.683	513.583	516.969	397.665	3.07588e+126
8.53745	10.0649	478.614	513.513	516.899	397.492	2.96023e+126
8.53688	10.0642	478.545	513.442	516.828	397.319	2.84892e+126
8.53631	10.0635	478.476	513.372	516.758	397.146	2.7418e+126
8.53574	10.0628	478.406	513.301	516.687	396.973	2.63871e+126
8.53517	10.062	478.337	513.231	516.617	396.8	2.53949e+126
8.5346	10.0613	478.268	513.161	516.546	396.627	2.444e+126
8.53403	10.0606	478.199	513.09	516.476	396.453	2.3521e+126
8.53346	10.0599	478.129	513.02	516.406	396.28	2.26365e+126
8.53289	10.0592	478.06	512.949	516.335	396.106	2.17853e+126
8.53232	10.0585	477.991	512.879	516.265	395.933	2.09661e+126
8.53176	10.0577	477.922	512.809	516.194	395.759	2.01777e+126
8.53119	10.057	477.852	512.738	516.124	395.585	1.9419e+126
8.53062	10.0563	477.783	512.668	516.054	395.411	1.86887e+126
8.53005	10.0556	477.714	512.597	515.983	395.237	1.79859e+126
8.52948	10.0549	477.645	512.527	515.913	395.063	1.73096e+126
8.52891	10.0542	477.575	512.456	515.842	394.889	1.66586e+126
8.52834	10.0534	477.506	512.386	515.772	394.715	1.60322e+126
8.52777	10.0527	477.437	512.316	515.702	394.54	1.54293e+126
8.5272	10.052	477.368	512.245	515.631	394.366	1.4849e+126
8.52663	10.0513	477.299	512.175	515.561	394.191	1.42906e+126
8.52606	10.0506	477.229	512.104	515.49	394.017	1.37532e+126
8.52549	10.0499	477.16	512.034	515.42	393.842	1.32359e+126
8.52492	10.0491	477.091	511.964	515.349	393.667	1.27382e+126
8.52435	10.0484	477.022	511.893	515.279	393.492	1.22591e+126
8.52378	10.0477	476.952	511.823	515.209	393.317	1.17981e+126
8.52321	10.047	476.883	511.752	515.138	393.142	1.13543e+126
8.52264	10.0463	476.814	511.682	515.068	392.967	1.09273e+126
8.52207	10.0456	476.745	511.612	514.997	392.791	1.05163e+126
8.5215	10.0448	476.676	511.541	514.927	392.616	1.01208e+126
8.52093	10.0441	476.606	511.471	514.857	392.441	9.74017e+125
8.52036	10.0434	476.537	511.4	514.786	392.265	9.37384e+125
8.51979	10.0427	476.468	511.33	514.716	392.089	9.02128e+125
8.51922	10.042	476.399	511.26	514.645	391.913	8.68197e+125
8.51865	10.0412	476.329	511.189	514.575	391.738	8.35543e+125
8.51808	10.0405	476.26	511.119	514.505	391.562	8.04116e+125
8.51751	10.0398	476.191	511.049	514.434	391.385	7.73871e+125
8.51694	10.0391	476.122	510.978	514.364	391.209	7.44763e+125
