z	u	VVM	VAVM	VPSM	VSM	VSAVM
8.53574	10.0859	478.342	500.541	504.007	402.316	6.60828e+126
8.53517	10.0852	478.273	500.471	503.937	402.149	6.35981e+126
8.5346	10.0845	478.204	500.401	503.868	401.983	6.12068e+126
8.53403	10.0838	478.135	500.331	503.798	401.816	5.89053e+126
8.53346	10.0831	478.066	500.261	503.728	401.649	5.66904e+126
8.53289	10.0824	477.996	500.192	503.658	401.482	5.45588e+126
8.53232	10.0816	477.927	500.122	503.589	401.315	5.25072e+126
8.53176	10.0809	477.858	500.052	503.519	401.148	5.05328e+126
8.53119	10.0802	477.789	499.982	503.449	400.981	4.86327e+126
8.53062	10.0795	477.72	499.912	503.379	400.813	4.68039e+126
8.53005	10.0788	477.651	499.843	503.309	400.646	4.50439e+126
8.52948	10.0781	477.582	499.773	503.24	400.478	4.33501e+126
8.52891	10.0773	477.513	499.703	503.17	400.311	4.172e+126
8.52834	10.0766	477.444	499.633	503.1	400.143	4.01511e+126
8.52777	10.0759	477.374	499.564	503.03	399.975	3.86413e+126
8.5272	10.0752	477.305	499.494	502.961	399.808	3.71881e+126
8.52663	10.0745	477.236	499.424	502.891	399.64	3.57897e+126
8.52606	10.0738	477.167	499.354	502.821	399.472	3.44438e+126
8.52549	10.073	477.098	499.284	502.751	399.303	3.31485e+126
8.52492	10.0723	477.029	499.215	502.681	399.135	3.19019e+126
8.52435	10.0716	476.96	499.145	502.612	398.967	3.07021e+126
8.52378	10.0709	476.891	499.075	502.542	398.798	2.95475e+126
8.52321	10.0702	476.822	499.005	502.472	398.63	2.84363e+126
8.52264	10.0694	476.753	498.936	502.402	398.461	2.73669e+126
8.52207	10.0687	476.684	498.866	502.333	398.293	2.63377e+126
8.5215	10.068	476.614	498.796	502.263	398.124	2.53471e+126
8.52093	10.0673	476.545	498.726	502.193	397.955	2.43939e+126
8.52036	10.0666	476.476	498.657	502.123	397.786	2.34764e+126
8.51979	10.0659	476.407	498.587	502.054	397.617	2.25935e+126
8.51922	10.0651	476.338	498.517	501.984	397.448	2.17437e+126
8.51865	10.0644	476.269	498.447	501.914	397.279	2.09259e+126
8.51808	10.0637	476.2	498.377	501.844	397.109	2.01389e+126
8.51751	10.063	476.131	498.308	501.775	396.94	1.93815e+126
8.51694	10.0623	476.062	498.238	501.705	396.77	1.86525e+126
8.51637	10.0616	475.993	498.168	501.635	396.601	1.79509e+126
8.5158	10.0608	475.924	498.098	501.565	396.431	1.72758e+126
8.51523	10.0601	475.855	498.029	501.495	396.261	1.6626e+126
8.51466	10.0594	475.785	497.959	501.426	396.091	1.60006e+126
8.51409	10.0587	475.716	497.889	501.356	395.922	1.53988e+126
8.51352	10.058	475.647	497.819	501.286	395.751	1.48196e+126
8.51295	10.0572	475.578	497.75	501.216	395.581	1.42622e+126
8.51238	10.0565	475.509	497.68	501.147	395.411	1.37257e+126
8.51181	10.0558	475.44	497.61	501.077	395.241	1.32094e+126
8.51124	10.0551	475.371	497.54	501.007	395.07	1.27126e+126
8.51067	10.0544	475.302	497.471	500.937	394.9	1.22344e+126
8.5101	10.0537	475.233	497.401	500.868	394.729	1.17742e+126
8.50953	10.0529	475.164	497.331	500.798	394.558	1.13313e+126
8.50896	10.0522	475.095	497.261	500.728	394.388	1.0905e+126
8.50838	10.0515	475.026	497.192	500.658	394.217	1.04948e+126
8.50781	10.0508	474.957	497.122	500.589	394.046	1.01e+126
8.50724	10.0501	474.887	497.052	500.519	393.875	9.7201e+125
8.50667	10.0493	474.818	496.982	500.449	393.704	9.35446e+125
8.5061	10.0486	474.749	496.913	500.379	393.532	9.00256e+125
8.50553	10.0479	474.68	496.843	500.31	393.361	8.6639e+125
8.50496	10.0472	474.611	496.773	500.24	393.19	8.33797e+125
8.50439	10.0465	474.542	496.703	500.17	393.018	8.02431e+125
8.50382	10.0458	474.473	496.634	500.101	392.846	7.72244e+125
8.50325	10.045	474.404	496.564	500.031	392.675	7.43192e+125
8.50268	10.0443	474.335	496.494	499.961	392.503	7.15233e+125
8.5021	10.0436	474.266	496.424	499.891	392.331	6.88326e+125
8.50153	10.0429	474.197	496.355	499.822	392.159	6.6243e+125
8.50096	10.0422	474.128	496.285	499.752	391.987	6.37509e+125
8.50039	10.0414	474.059	496.215	499.682	391.815	6.13525e+125
8.49982	10.0407	473.99	496.145	499.612	391.642	5.90443e+125
8.49925	10.04	473.921	496.076	499.543	391.47	5.68229e+125
8.49868	10.0393	473.852	496.006	499.473	391.298	5.46851e+125
8.4981	10.0386	473.783	495.936	499.403	391.125	5.26277e+125
8.49753	10.0378	473.713	495.866	499.333	390.952	5.06477e+125
8.49696	10.0371	473.644	495.797	499.264	390.78	4.87421e+125
8.49639	10.0364	473.575	495.727	499.194	390.607	4.69082e+125
8.49582	10.0357	473.506	495.657	499.124	390.434	4.51433e+125
8.49525	10.035	473.437	495.587	499.055	390.261	4.34448e+125
8.49468	10.0343	473.368	495.518	498.985	390.088	4.18102e+125
8.4941	10.0335	473.299	495.448	498.915	389.915	4.02371e+125
8.49353	10.0328	473.23	495.378	498.845	389.741	3.87232e+125
8.49296	10.0321	473.161	495.309	498.776	389.568	3.72662e+125
8.49239	10.0314	473.092	495.239	498.706	389.394	3.5864e+125
8.49182	10.0307	473.023	495.169	498.636	389.221	3.45145e+125
8.49124	10.0299	472.954	495.099	498.566	389.047	3.32158e+125
8.49067	10.0292	472.885	495.03	498.497	388.873	3.1966e+125
8.4901	10.0285	472.816	494.96	498.427	388.7	3.07632e+125
8.48953	10.0278	472.747	494.89	498.357	388.526	2.96056e+125
8.48896	10.0271	472.678	494.82	498.288	388.352	2.84916e+125
8.48838	10.0263	472.609	494.751	498.218	388.178	2.74195e+125
8.48781	10.0256	472.54	494.681	498.148	388.003	2.63877e+125
8.48724	10.0249	472.471	494.611	498.078	387.829	2.53948e+125
8.48667	10.0242	472.402	494.542	498.009	387.655	2.44392e+125
8.4861	10.0235	472.333	494.472	497.939	387.48	2.35195e+125
8.48552	10.0227	472.264	494.402	497.869	387.306	2.26345e+125
8.48495	10.022	472.195	494.332	497.8	387.131	2.17827e+125
8.48438	10.0213	472.126	494.263	497.73	386.956	2.0963e+125
8.48381	10.0206	472.057	494.193	497.66	386.781	2.01741e+125
8.48323	10.0199	471.987	494.123	497.59	386.606	1.94149e+125
8.48266	10.0191	471.918	494.054	497.521	386.431	1.86843e+125
8.48209	10.0184	471.849	493.984	497.451	386.256	1.79812e+125
8.48152	10.0177	471.78	493.914	497.381	386.081	1.73045e+125
8.48094	10.017	471.711	493.844	497.312	385.906	1.66532e+125
8.48037	10.0163	471.642	493.775	497.242	385.73	1.60265e+125
8.4798	10.0155	471.573	493.705	497.172	385.555	1.54234e+125
8.47923	10.0148	471.504	493.635	497.102	385.379	1.48429e+125
8.47865	10.0141	471.435	493.566	497.033	385.203	1.42843e+125
8.47808	10.0134	471.366	493.496	496.963	385.027	1.37467e+125
8.47751	10.0127	471.297	493.426	496.893	384.852	1.32294e+125
8.47694	10.0119	471.228	493.356	496.824	384.676	1.27315e+125
8.47636	10.0112	471.159	493.287	496.754	384.5	1.22523e+125
8.47579	10.0105	471.09	493.217	496.684	384.323	1.17912e+125
8.47522	10.0098	471.021	493.147	496.615	384.147	1.13474e+125
8.47464	10.009	470.952	493.078	496.545	383.971	1.09203e+125
8.47407	10.0083	470.883	493.008	496.475	383.794	1.05093e+125
8.4735	10.0076	470.814	492.938	496.405	383.618	1.01137e+125
8.47292	10.0069	470.745	492.869	496.336	383.441	9.73307e+124
8.47235	10.0062	470.676	492.799	496.266	383.264	9.36673e+124
8.47178	10.0054	470.607	492.729	496.196	383.088	9.01417e+124
8.47121	10.0047	470.538	492.659	496.127	382.911	8.67488e+124
8.47063	10.004	470.469	492.59	496.057	382.734	8.34836e+124
8.47006	10.0033	470.4	492.52	495.987	382.557	8.03413e+124
8.46949	10.0026	470.331	492.45	495.918	382.379	7.73172e+124
8.46891	10.0018	470.262	492.381	495.848	382.202	7.44069e+124
8.46834	10.0011	470.193	492.311	495.778	382.025	7.16062e+124
8.46777	10.0004	470.124	492.241	495.709	381.847	6.89108e+124
8.46719	9.99967	470.055	492.172	495.639	381.67	6.63169e+124
8.46662	9.99895	469.986	492.102	495.569	381.492	6.38206e+124
8.46605	9.99823	469.917	492.032	495.5	381.314	6.14182e+124
8.46547	9.99751	469.848	491.963	495.43	381.136	5.91062e+124
8.4649	9.99679	469.779	491.893	495.36	380.959	5.68813e+124
8.46432	9.99606	469.71	491.823	495.29	380.78	5.47401e+124
8.46375	9.99534	469.641	491.753	495.221	380.602	5.26794e+124
8.46318	9.99462	469.572	491.684	495.151	380.424	5.06964e+124
8.4626	9.9939	469.503	491.614	495.081	380.246	4.87879e+124
8.46203	9.99318	469.434	491.544	495.012	380.067	4.69513e+124
8.46146	9.99245	469.365	491.475	494.942	379.889	4.51838e+124
8.46088	9.99173	469.296	491.405	494.872	379.71	4.34828e+124
8.46031	9.99101	469.227	491.335	494.803	379.532	4.18459e+124
8.45973	9.99029	469.158	491.266	494.733	379.353	4.02705e+124
8.45916	9.98957	469.089	491.196	494.663	379.174	3.87545e+124
8.45859	9.98884	469.02	491.126	494.594	378.995	3.72955e+124
8.45801	9.98812	468.951	491.057	494.524	378.816	3.58914e+124
8.45744	9.9874	468.882	490.987	494.454	378.637	3.45402e+124
8.45686	9.98668	468.813	490.917	494.385	378.458	3.32398e+124
8.45629	9.98596	468.744	490.848	494.315	378.278	3.19884e+124
8.45571	9.98523	468.675	490.778	494.245	378.099	3.0784e+124
8.45514	9.98451	468.606	490.708	494.176	377.919	2.9625e+124
8.45457	9.98379	468.537	490.639	494.106	377.74	2.85097e+124
8.45399	9.98307	468.468	490.569	494.036	377.56	2.74363e+124
8.45342	9.98234	468.399	490.499	493.967	377.38	2.64033e+124
8.45284	9.98162	468.33	490.43	493.897	377.2	2.54092e+124
8.45227	9.9809	468.261	490.36	493.827	377.02	2.44525e+124
8.45169	9.98018	468.192	490.29	493.758	376.84	2.35318e+124
8.45112	9.97945	468.123	490.221	493.688	376.66	2.26458e+124
8.45055	9.97873	468.054	490.151	493.618	376.48	2.17932e+124
8.44997	9.97801	467.985	490.081	493.549	376.299	2.09726e+124
8.4494	9.97729	467.916	490.012	493.479	376.119	2.01829e+124
8.44882	9.97656	467.847	489.942	493.409	375.938	1.9423e+124
8.44825	9.97584	467.778	489.872	493.34	375.758	1.86916e+124
8.44767	9.97512	467.709	489.803	493.27	375.577	1.79878e+124
8.4471	9.97439	467.64	489.733	493.2	375.396	1.73105e+124
8.44652	9.97367	467.571	489.663	493.131	375.215	1.66587e+124
8.44595	9.97295	467.503	489.594	493.061	375.034	1.60314e+124
8.44537	9.97222	467.434	489.524	492.991	374.853	1.54277e+124
8.4448	9.9715	467.365	489.454	492.922	374.672	1.48468e+124
8.44422	9.97078	467.296	489.385	492.852	374.491	1.42877e+124
8.44365	9.97005	467.227	489.315	492.782	374.309	1.37497e+124
8.44307	9.96933	467.158	489.245	492.713	374.128	1.32319e+124
8.4425	9.96861	467.089	489.176	492.643	373.946	1.27337e+124
8.44192	9.96789	467.02	489.106	492.573	373.765	1.22541e+124
8.44135	9.96716	466.951	489.036	492.504	373.583	1.17927e+124
8.44077	9.96644	466.882	488.967	492.434	373.401	1.13486e+124
8.4402	9.96571	466.813	488.897	492.365	373.219	1.09212e+124
