z	aF	bF	cF	dF	eF
10.2546	0.15192	-0.00375329	4.07	0.0787752	20.4874
10.247	0.151898	-0.0037537	4.0653	0.0787642	20.4614
10.2393	0.151875	-0.00375411	4.06061	0.0787531	20.4355
10.2316	0.151852	-0.00375451	4.05592	0.078742	20.4096
10.224	0.151829	-0.0037549	4.05123	0.0787308	20.3836
10.2163	0.151806	-0.00375527	4.04654	0.0787195	20.3577
10.2086	0.151783	-0.00375564	4.04184	0.0787082	20.3319
10.2009	0.15176	-0.003756	4.03715	0.0786969	20.306
10.1932	0.151736	-0.00375635	4.03246	0.0786855	20.2801
10.1855	0.151713	-0.00375669	4.02778	0.078674	20.2542
10.1778	0.151689	-0.00375702	4.02309	0.0786625	20.2284
10.1701	0.151666	-0.00375734	4.0184	0.0786509	20.2026
10.1624	0.151642	-0.00375765	4.01371	0.0786393	20.1767
10.1547	0.151618	-0.00375795	4.00903	0.0786276	20.1509
10.147	0.151594	-0.00375824	4.00434	0.0786159	20.1251
10.1392	0.15157	-0.00375852	3.99965	0.0786041	20.0993
10.1315	0.151546	-0.00375879	3.99497	0.0785922	20.0735
10.1238	0.151522	-0.00375905	3.99028	0.0785803	20.0477
10.116	0.151498	-0.00375929	3.9856	0.0785684	20.022
10.1083	0.151473	-0.00375953	3.98092	0.0785563	19.9962
10.1005	0.151449	-0.00375976	3.97623	0.0785442	19.9705
10.0928	0.151424	-0.00375998	3.97155	0.0785321	19.9447
10.085	0.1514	-0.00376019	3.96687	0.0785199	19.919
10.0773	0.151375	-0.00376039	3.96219	0.0785077	19.8933
10.0695	0.15135	-0.00376058	3.95751	0.0784953	19.8676
10.0617	0.151325	-0.00376076	3.95283	0.078483	19.8419
10.0539	0.1513	-0.00376093	3.94815	0.0784705	19.8162
10.0461	0.151274	-0.00376109	3.94347	0.0784581	19.7905
10.0384	0.151249	-0.00376124	3.9388	0.0784455	19.7649
10.0306	0.151224	-0.00376137	3.93412	0.0784329	19.7392
10.0228	0.151198	-0.0037615	3.92944	0.0784202	19.7136
10.015	0.151173	-0.00376162	3.92477	0.0784075	19.6879
10.0072	0.151147	-0.00376173	3.92009	0.0783947	19.6623
9.99934	0.151121	-0.00376182	3.91542	0.0783819	19.6367
9.99153	0.151095	-0.00376191	3.91075	0.078369	19.6111
9.9837	0.151069	-0.00376199	3.90607	0.078356	19.5855
9.97588	0.151043	-0.00376205	3.9014	0.078343	19.5599
9.96804	0.151017	-0.00376211	3.89673	0.0783299	19.5343
9.96021	0.15099	-0.00376215	3.89206	0.0783168	19.5087
9.95236	0.150964	-0.00376219	3.88739	0.0783035	19.4832
9.94452	0.150937	-0.00376221	3.88272	0.0782903	19.4576
9.93666	0.150911	-0.00376223	3.87805	0.0782769	19.4321
9.92881	0.150884	-0.00376223	3.87338	0.0782636	19.4065
9.92094	0.150857	-0.00376222	3.86871	0.0782501	19.381
9.91308	0.15083	-0.00376221	3.86405	0.0782366	19.3555
9.9052	0.150803	-0.00376218	3.85938	0.078223	19.33
9.89733	0.150776	-0.00376214	3.85471	0.0782094	19.3045
9.88944	0.150748	-0.00376209	3.85005	0.0781957	19.279
9.88156	0.150721	-0.00376203	3.84538	0.0781819	19.2535
9.87366	0.150693	-0.00376196	3.84072	0.0781681	19.228
9.86577	0.150666	-0.00376188	3.83606	0.0781542	19.2025
9.85786	0.150638	-0.00376179	3.8314	0.0781402	19.1771
9.84996	0.15061	-0.00376169	3.82673	0.0781262	19.1516
9.84204	0.150582	-0.00376158	3.82207	0.0781121	19.1262
9.83413	0.150554	-0.00376146	3.81741	0.078098	19.1007
9.8262	0.150525	-0.00376133	3.81275	0.0780837	19.0753
9.81828	0.150497	-0.00376118	3.8081	0.0780695	19.0499
9.81034	0.150469	-0.00376103	3.80344	0.0780551	19.0245
9.8024	0.15044	-0.00376087	3.79878	0.0780407	18.9991
9.79446	0.150411	-0.00376069	3.79413	0.0780262	18.9737
9.78651	0.150383	-0.00376051	3.78947	0.0780117	18.9483
9.77856	0.150354	-0.00376031	3.78481	0.0779971	18.9229
9.7706	0.150325	-0.00376011	3.78016	0.0779824	18.8975
9.76264	0.150296	-0.00375989	3.77551	0.0779677	18.8721
9.75467	0.150266	-0.00375967	3.77085	0.0779529	18.8468
9.74669	0.150237	-0.00375943	3.7662	0.077938	18.8214
9.73871	0.150207	-0.00375918	3.76155	0.0779231	18.7961
9.73073	0.150178	-0.00375892	3.7569	0.0779081	18.7707
9.72274	0.150148	-0.00375866	3.75225	0.077893	18.7454
9.71474	0.150118	-0.00375838	3.7476	0.0778779	18.7201
9.70674	0.150088	-0.00375809	3.74295	0.0778627	18.6948
9.69874	0.150058	-0.00375779	3.73831	0.0778474	18.6694
9.69073	0.150028	-0.00375748	3.73366	0.0778321	18.6441
9.68271	0.149998	-0.00375716	3.72902	0.0778167	18.6188
9.67469	0.149967	-0.00375683	3.72437	0.0778012	18.5935
9.66666	0.149937	-0.00375649	3.71973	0.0777857	18.5683
9.65863	0.149906	-0.00375614	3.71508	0.0777701	18.543
9.65059	0.149875	-0.00375578	3.71044	0.0777544	18.5177
9.64255	0.149844	-0.00375541	3.7058	0.0777387	18.4924
9.6345	0.149813	-0.00375503	3.70116	0.0777229	18.4672
9.62645	0.149782	-0.00375464	3.69652	0.077707	18.4419
9.61839	0.149751	-0.00375424	3.69188	0.077691	18.4167
9.61033	0.149719	-0.00375383	3.68724	0.077675	18.3914
9.60226	0.149688	-0.00375341	3.6826	0.0776589	18.3662
9.59418	0.149656	-0.00375298	3.67796	0.0776428	18.3409
9.5861	0.149624	-0.00375253	3.67333	0.0776265	18.3157
9.57802	0.149592	-0.00375208	3.66869	0.0776102	18.2905
9.56993	0.14956	-0.00375162	3.66406	0.0775939	18.2652
9.56183	0.149528	-0.00375115	3.65943	0.0775774	18.24
9.55373	0.149496	-0.00375067	3.65479	0.0775609	18.2148
9.54562	0.149463	-0.00375018	3.65016	0.0775443	18.1896
9.53751	0.149431	-0.00374968	3.64553	0.0775277	18.1644
9.52939	0.149398	-0.00374917	3.6409	0.077511	18.1392
9.52127	0.149365	-0.00374865	3.63627	0.0774942	18.114
9.51314	0.149332	-0.00374812	3.63164	0.0774773	18.0888
9.50501	0.149299	-0.00374758	3.62701	0.0774604	18.0637
9.49687	0.149266	-0.00374703	3.62239	0.0774434	18.0385
9.48872	0.149233	-0.00374647	3.61776	0.0774263	18.0133
9.48057	0.149199	-0.00374591	3.61314	0.0774091	17.9881
9.47242	0.149166	-0.00374533	3.60851	0.0773919	17.963
