#: table_doi: 10.17182/hepdata.22991.v1/t1
#: name: Table 1
#: description: Errors are statistical only.

#: data_file: Table1.yaml
#: keyword reactions: GAMMA GAMMA --> HADRONS
#: keyword observables: SIG
#: keyword phrases: Exclusive | Integrated Cross Section | Cross Section | Photoproduction | Two-Photon
#: keyword cmenergies: 2.0-6.0
#: RE,,,GAMMA GAMMA --> HADRONS
#: Q**2,,,0.44
#: SQRT(S) [GeV],,,2.0-6.0
M [GEV],M [GEV] LOW,M [GEV] HIGH,SIG [NB],error +,error -
2.5,2.0,3.0,260.0,9.0,-9.0
3.5,3.0,4.0,258.0,12.0,-12.0
5.0,4.0,6.0,226.0,12.0,-12.0
8.0,6.0,10.0,228.0,16.0,-16.0

#: RE,,,GAMMA GAMMA --> HADRONS
#: Q**2,,,4.4
#: SQRT(S) [GeV],,,2.0-6.0
M [GEV],M [GEV] LOW,M [GEV] HIGH,SIG [NB],error +,error -
2.5,2.0,3.0,50.6,4.6,-4.6
3.5,3.0,4.0,56.8,5.5,-5.5
5.0,4.0,6.0,44.0,5.7,-5.7
8.0,6.0,10.0,28.4,6.2,-6.2

