j	t1(j)	t2(j)	t3(j)	t4(j)
1.32	-0.137273	1.1514	2.13932	2.90027
1.33	-0.102256	1.18274	2.15057	2.91271
1.34	-0.0683	1.21313	2.16172	2.92481
1.35	-0.0353261	1.24261	2.17281	2.9366
1.36	-0.00326346	1.27119	2.18384	2.94809
1.37	0.0279512	1.29889	2.19484	2.95933
1.38	0.0583744	1.32573	2.20582	2.97033
1.39	0.0880572	1.35173	2.21679	2.98111
1.4	0.117045	1.3769	2.22777	2.9917
1.41	0.145381	1.40127	2.23877	3.0021
1.42	0.1731	1.42484	2.24978	3.01234
1.43	0.200238	1.44764	2.26082	3.02243
1.44	0.226826	1.46969	2.2719	3.03239
1.45	0.252892	1.49099	2.283	3.04223
1.46	0.278462	1.51158	2.29413	3.05196
1.47	0.303559	1.53148	2.30529	3.06159
1.48	0.328204	1.55069	2.31648	3.07113
1.49	0.352419	1.56924	2.32769	3.08059
1.5	0.37622	1.58716	2.33892	3.08997
1.51	0.399625	1.60445	2.35015	3.09929
1.52	0.422648	1.62115	2.3614	3.10856
1.53	0.445305	1.63728	2.37264	3.11777
1.54	0.467607	1.65285	2.38387	3.12693
1.55	0.489568	1.66788	2.39508	3.13605
1.56	0.511197	1.68241	2.40626	3.14513
1.57	0.532506	1.69644	2.41741	3.15418
1.58	0.553503	1.71001	2.42851	3.16319
1.59	0.574198	1.72312	2.43956	3.17217
1.6	0.594598	1.73581	2.45055	3.18112
1.61	0.614711	1.7481	2.46147	3.19004
1.62	0.634543	1.75999	2.47231	3.19894
1.63	0.654102	1.77152	2.48306	3.20781
1.64	0.673392	1.7827	2.49373	3.21666
1.65	0.69242	1.79355	2.50429	3.22548
1.66	0.71119	1.80409	2.51475	3.23427
1.67	0.729707	1.81433	2.5251	3.24303
1.68	0.747975	1.82429	2.53534	3.25177
1.69	0.765998	1.83399	2.54545	3.26047
1.7	0.78378	1.84345	2.55544	3.26915
1.71	0.801323	1.85267	2.56531	3.27779
1.72	0.818632	1.86167	2.57505	3.28639
1.73	0.835708	1.87047	2.58465	3.29496
1.74	0.852554	1.87908	2.59413	3.30349
1.75	0.869174	1.88751	2.60347	3.31198
1.76	0.885568	1.89577	2.61267	3.32043
1.77	0.901738	1.90388	2.62175	3.32883
1.78	0.917688	1.91184	2.63069	3.33719
1.79	0.933417	1.91967	2.63949	3.34549
1.8	0.948928	1.92737	2.64817	3.35374
1.81	0.964223	1.93496	2.65671	3.36194
1.82	0.979301	1.94244	2.66512	3.37009
1.83	0.994166	1.94982	2.67341	3.37818
1.84	1.00882	1.95711	2.68157	3.38621
1.85	1.02325	1.96431	2.68961	3.39417
1.86	1.03748	1.97145	2.69754	3.40208
1.87	1.0515	1.97851	2.70534	3.40992
1.88	1.0653	1.9855	2.71303	3.4177
1.89	1.0789	1.99245	2.72061	3.42541
1.9	1.09229	1.99933	2.72808	3.43305
1.91	1.10547	2.00618	2.73545	3.44063
1.92	1.11845	2.01298	2.74271	3.44814
1.93	1.13122	2.01974	2.74988	3.45557
1.94	1.14378	2.02647	2.75695	3.46294
1.95	1.15614	2.03317	2.76393	3.47024
1.96	1.16829	2.03985	2.77082	3.47746
1.97	1.18024	2.0465	2.77763	3.48462
1.98	1.19199	2.05313	2.78436	3.4917
1.99	1.20354	2.05975	2.79101	3.49872
2	1.21488	2.06636	2.79758	3.50566
2.01	1.22603	2.07295	2.80408	3.51254
2.02	1.23697	2.07953	2.81052	3.51934
2.03	1.24772	2.0861	2.81689	3.52608
2.04	1.25827	2.09267	2.8232	3.53275
2.05	1.26863	2.09923	2.82945	3.53935
2.06	1.27879	2.10579	2.83564	3.54589
2.07	1.28876	2.11235	2.84179	3.55236
2.08	1.29854	2.1189	2.84788	3.55877
2.09	1.30813	2.12545	2.85392	3.56511
2.1	1.31752	2.132	2.85993	3.5714
2.11	1.32674	2.13855	2.86589	3.57762
2.12	1.33576	2.14509	2.87181	3.58378
2.13	1.3446	2.15163	2.87769	3.58989
2.14	1.35326	2.15817	2.88354	3.59593
2.15	1.36174	2.16471	2.88936	3.60193
2.16	1.37005	2.17124	2.89515	3.60787
2.17	1.37817	2.17776	2.90091	3.61375
2.18	1.38613	2.18428	2.90665	3.61959
2.19	1.39391	2.1908	2.91237	3.62538
2.2	1.40152	2.1973	2.91806	3.63111
2.21	1.40897	2.20379	2.92373	3.63681
2.22	1.41625	2.21027	2.92939	3.64246
2.23	1.42337	2.21674	2.93503	3.64806
2.24	1.43033	2.22319	2.94065	3.65362
2.25	1.43713	2.22963	2.94626	3.65915
2.26	1.44378	2.23605	2.95186	3.66463
2.27	1.45028	2.24244	2.95745	3.67008
2.28	1.45663	2.24882	2.96303	3.6755
2.29	1.46283	2.25517	2.9686	3.68088
2.3	1.46888	2.2615	2.97417	3.68622
2.31	1.4748	2.26779	2.97973	3.69154
2.32	1.48058	2.27406	2.98528	3.69683
2.33	1.48622	2.2803	2.99083	3.70209
2.34	1.49173	2.2865	2.99637	3.70732
2.35	1.4971	2.29267	3.00191	3.71253
2.36	1.50235	2.2988	3.00745	3.71772
2.37	1.50748	2.30489	3.01298	3.72288
2.38	1.51248	2.31094	3.01851	3.72802
2.39	1.51736	2.31695	3.02404	3.73314
2.4	1.52213	2.32291	3.02957	3.73825
2.41	1.52678	2.32883	3.0351	3.74334
2.42	1.53131	2.3347	3.04062	3.74841
2.43	1.53574	2.34052	3.04614	3.75347
2.44	1.54006	2.34629	3.05166	3.75851
2.45	1.54428	2.35201	3.05717	3.76355
2.46	1.54839	2.35767	3.06268	3.76857
2.47	1.55241	2.36328	3.06819	3.77358
2.48	1.55632	2.36883	3.07369	3.77859
2.49	1.56014	2.37433	3.07919	3.78358
2.5	1.56387	2.37977	3.08468	3.78857
2.51	1.56751	2.38515	3.09017	3.79355
2.52	1.57106	2.39047	3.09565	3.79853
2.53	1.57452	2.39573	3.10112	3.8035
2.54	1.5779	2.40093	3.10659	3.80848
2.55	1.58119	2.40607	3.11204	3.81344
2.56	1.58441	2.41114	3.11749	3.81841
2.57	1.58755	2.41615	3.12292	3.82337
2.58	1.59061	2.4211	3.12834	3.82834
2.59	1.5936	2.42598	3.13375	3.8333
2.6	1.59651	2.4308	3.13914	3.83826
