j	t1(j)	t2(j)	t3(j)	t4(j)
1.39	1.00621	2.2214	3.51502	4.89657
1.4	1.01597	2.2356	3.53433	4.92086
1.41	1.02571	2.2498	3.55363	4.94513
1.42	1.03543	2.26399	3.57293	4.96938
1.43	1.04513	2.27817	3.59221	4.99361
1.44	1.05482	2.29235	3.61149	5.01782
1.45	1.06448	2.30653	3.63075	5.04202
1.46	1.07413	2.3207	3.65001	5.0662
1.47	1.08377	2.33486	3.66926	5.09036
1.48	1.09339	2.34903	3.6885	5.1145
1.49	1.10299	2.36318	3.70773	5.13862
1.5	1.11258	2.37734	3.72695	5.16273
1.51	1.12216	2.39149	3.74616	5.18682
1.52	1.13173	2.40563	3.76537	5.21089
1.53	1.14128	2.41978	3.78457	5.23494
1.54	1.15082	2.43392	3.80375	5.25898
1.55	1.16035	2.44805	3.82293	5.283
1.56	1.16987	2.46219	3.84211	5.30701
1.57	1.17938	2.47632	3.86127	5.331
1.58	1.18888	2.49045	3.88042	5.35497
1.59	1.19837	2.50458	3.89957	5.37892
1.6	1.20786	2.5187	3.91871	5.40286
1.61	1.21733	2.53282	3.93784	5.42679
1.62	1.2268	2.54694	3.95697	5.45069
1.63	1.23626	2.56106	3.97609	5.47459
1.64	1.24571	2.57518	3.99519	5.49846
1.65	1.25516	2.5893	4.0143	5.52232
1.66	1.2646	2.60341	4.03339	5.54617
1.67	1.27403	2.61752	4.05248	5.57
1.68	1.28346	2.63164	4.07156	5.59381
1.69	1.29289	2.64575	4.09063	5.61761
1.7	1.30231	2.65986	4.1097	5.6414
1.71	1.31172	2.67397	4.12876	5.66517
1.72	1.32114	2.68808	4.14781	5.68892
1.73	1.33055	2.70219	4.16686	5.71266
1.74	1.33995	2.7163	4.1859	5.73639
1.75	1.34936	2.7304	4.20493	5.7601
1.76	1.35876	2.74451	4.22395	5.7838
1.77	1.36816	2.75862	4.24297	5.80748
1.78	1.37756	2.77273	4.26199	5.83115
1.79	1.38696	2.78684	4.281	5.85481
1.8	1.39635	2.80095	4.3	5.87845
1.81	1.40575	2.81506	4.31899	5.90208
1.82	1.41515	2.82917	4.33798	5.9257
1.83	1.42454	2.84328	4.35697	5.9493
1.84	1.43394	2.85739	4.37595	5.97289
1.85	1.44334	2.87151	4.39492	5.99647
1.86	1.45273	2.88562	4.41389	6.02004
1.87	1.46213	2.89974	4.43285	6.04359
1.88	1.47153	2.91385	4.4518	6.06713
1.89	1.48093	2.92797	4.47076	6.09065
1.9	1.49034	2.94209	4.4897	6.11417
1.91	1.49974	2.95621	4.50864	6.13767
1.92	1.50915	2.97034	4.52758	6.16116
1.93	1.51856	2.98446	4.54651	6.18464
1.94	1.52798	2.99859	4.56544	6.2081
1.95	1.5374	3.01272	4.58436	6.23156
1.96	1.54682	3.02685	4.60328	6.255
1.97	1.55624	3.04098	4.62219	6.27843
1.98	1.56567	3.05512	4.6411	6.30185
1.99	1.5751	3.06926	4.66	6.32526
2	1.58454	3.0834	4.6789	6.34866
2.01	1.59398	3.09754	4.6978	6.37204
2.02	1.60342	3.11169	4.71669	6.39542
2.03	1.61287	3.12584	4.73557	6.41878
2.04	1.62233	3.13999	4.75446	6.44213
2.05	1.63179	3.15414	4.77334	6.46548
2.06	1.64125	3.1683	4.79221	6.48881
2.07	1.65072	3.18246	4.81109	6.51213
2.08	1.6602	3.19662	4.82995	6.53545
2.09	1.66968	3.21079	4.84882	6.55875
2.1	1.67917	3.22496	4.86768	6.58204
2.11	1.68866	3.23913	4.88654	6.60532
2.12	1.69817	3.25331	4.9054	6.62859
2.13	1.70767	3.26749	4.92425	6.65186
2.14	1.71719	3.28167	4.9431	6.67511
2.15	1.72671	3.29586	4.96194	6.69835
2.16	1.73624	3.31005	4.98079	6.72159
2.17	1.74577	3.32425	4.99963	6.74481
2.18	1.75532	3.33845	5.01847	6.76803
2.19	1.76487	3.35265	5.0373	6.79123
2.2	1.77442	3.36686	5.05613	6.81443
2.21	1.78399	3.38107	5.07496	6.83762
2.22	1.79356	3.39529	5.09379	6.8608
2.23	1.80314	3.40951	5.11262	6.88397
2.24	1.81273	3.42373	5.13144	6.90713
2.25	1.82233	3.43796	5.15026	6.93029
2.26	1.83193	3.45219	5.16908	6.95343
2.27	1.84155	3.46643	5.18789	6.97657
2.28	1.85117	3.48067	5.20671	6.9997
2.29	1.8608	3.49492	5.22552	7.02282
2.3	1.87044	3.50917	5.24433	7.04594
2.31	1.88009	3.52343	5.26314	7.06904
2.32	1.88975	3.53769	5.28195	7.09214
2.33	1.89942	3.55196	5.30076	7.11523
2.34	1.90909	3.56623	5.31956	7.13831
2.35	1.91878	3.5805	5.33836	7.16139
2.36	1.92847	3.59479	5.35716	7.18446
2.37	1.93818	3.60907	5.37597	7.20752
