A	q	Phi	tau	dq/dA	dPhi/dA	dtau/dA	d2q/dA2	d2Phi/dA2	d2tau/dA2	d3tau/dA3
-76.39	-3.77193e-35	119.992	303.631	-3.79611e-35	-1.5048	-5.22405	-3.82077e-35	-6.16881e-05	0.0223406	0.000194911
-76.38	-3.81008e-35	119.977	303.579	-3.83452e-35	-1.5048	-5.22383	-3.85942e-35	-6.17039e-05	0.0223425	0.000174415
-76.37	-3.84862e-35	119.962	303.527	-3.8733e-35	-1.5048	-5.22361	-3.89847e-35	-6.17198e-05	0.0223444	0.00019583
-76.36	-3.88755e-35	119.946	303.475	-3.91249e-35	-1.5048	-5.22338	-3.93791e-35	-6.17357e-05	0.0223463	0.000174747
-76.35	-3.92687e-35	119.931	303.423	-3.95206e-35	-1.5048	-5.22316	-3.97775e-35	-6.17516e-05	0.0223482	0.00019731
-76.34	-3.96659e-35	119.916	303.37	-3.99204e-35	-1.50481	-5.22294	-4.01799e-35	-6.17675e-05	0.0223501	0.000176598
-76.33	-4.00671e-35	119.901	303.318	-4.03243e-35	-1.50481	-5.22271	-4.05864e-35	-6.17834e-05	0.022352	0.000194719
-76.32	-4.04724e-35	119.886	303.266	-4.07322e-35	-1.50481	-5.22249	-4.0997e-35	-6.17993e-05	0.0223539	0.000178376
-76.31	-4.08818e-35	119.871	303.214	-4.11442e-35	-1.50481	-5.22227	-4.14117e-35	-6.18152e-05	0.0223558	0.000193055
-76.3	-4.12953e-35	119.856	303.161	-4.15604e-35	-1.50481	-5.22204	-4.18307e-35	-6.18312e-05	0.0223578	0.000182395
-76.29	-4.1713e-35	119.841	303.109	-4.19808e-35	-1.50481	-5.22182	-4.22539e-35	-6.18471e-05	0.0223597	0.000187895
-76.28	-4.21349e-35	119.826	303.057	-4.24055e-35	-1.50481	-5.2216	-4.26813e-35	-6.1863e-05	0.0223616	0.000185943
-76.27	-4.25611e-35	119.811	303.005	-4.28345e-35	-1.50481	-5.22137	-4.31131e-35	-6.1879e-05	0.0223635	0.000184085
-76.26	-4.29916e-35	119.796	302.953	-4.32678e-35	-1.50481	-5.22115	-4.35493e-35	-6.18949e-05	0.0223654	0.000190124
-76.25	-4.34265e-35	119.781	302.9	-4.37055e-35	-1.50481	-5.22092	-4.39899e-35	-6.19109e-05	0.0223673	0.000179467
-76.24	-4.38657e-35	119.766	302.848	-4.41476e-35	-1.50481	-5.2207	-4.44349e-35	-6.19269e-05	0.0223692	0.000191691
-76.23	-4.43094e-35	119.751	302.796	-4.45942e-35	-1.50481	-5.22048	-4.48844e-35	-6.19428e-05	0.0223711	0.000176936
-76.22	-4.47576e-35	119.736	302.744	-4.50453e-35	-1.50481	-5.22025	-4.53385e-35	-6.19588e-05	0.022373	0.000194496
-76.21	-4.52104e-35	119.721	302.691	-4.5501e-35	-1.50481	-5.22003	-4.57972e-35	-6.19748e-05	0.022375	0.000176199
-76.2	-4.56677e-35	119.706	302.639	-4.59613e-35	-1.50481	-5.21981	-4.62605e-35	-6.19908e-05	0.0223769	0.000195966
-76.19	-4.61296e-35	119.691	302.587	-4.64262e-35	-1.50481	-5.21958	-4.67285e-35	-6.20068e-05	0.0223788	0.000175843
-76.18	-4.65962e-35	119.676	302.535	-4.68958e-35	-1.50481	-5.21936	-4.72013e-35	-6.20228e-05	0.0223807	0.000196204
-76.17	-4.70675e-35	119.661	302.483	-4.73702e-35	-1.50482	-5.21913	-4.76788e-35	-6.20388e-05	0.0223826	0.000176489
-76.16	-4.75436e-35	119.646	302.431	-4.78494e-35	-1.50482	-5.21891	-4.81611e-35	-6.20548e-05	0.0223845	0.000197178
-76.15	-4.80245e-35	119.63	302.378	-4.83335e-35	-1.50482	-5.21869	-4.86484e-35	-6.20708e-05	0.0223864	0.000178998
-76.14	-4.85103e-35	119.615	302.326	-4.88224e-35	-1.50482	-5.21846	-4.91406e-35	-6.20868e-05	0.0223883	0.000193885
-76.13	-4.9001e-35	119.6	302.274	-4.93163e-35	-1.50482	-5.21824	-4.96377e-35	-6.21029e-05	0.0223903	0.000182674
-76.12	-4.94967e-35	119.585	302.222	-4.98152e-35	-1.50482	-5.21801	-5.01399e-35	-6.21189e-05	0.0223922	0.000189937
-76.11	-4.99973e-35	119.57	302.17	-5.03191e-35	-1.50482	-5.21779	-5.06471e-35	-6.2135e-05	0.0223941	0.000186543
-76.1	-5.05031e-35	119.555	302.117	-5.08282e-35	-1.50482	-5.21757	-5.11595e-35	-6.2151e-05	0.022396	0.00018687
-76.09	-5.10139e-35	119.54	302.065	-5.13423e-35	-1.50482	-5.21734	-5.16771e-35	-6.21671e-05	0.0223979	0.000188754
-76.08	-5.15299e-35	119.525	302.013	-5.18617e-35	-1.50482	-5.21712	-5.21999e-35	-6.21831e-05	0.0223998	0.000183704
-76.07	-5.20512e-35	119.51	301.961	-5.23863e-35	-1.50482	-5.2169	-5.2728e-35	-6.21992e-05	0.0224018	0.00019171
-76.06	-5.25777e-35	119.495	301.909	-5.29163e-35	-1.50482	-5.21667	-5.32615e-35	-6.22153e-05	0.0224037	0.00017867
-76.05	-5.31095e-35	119.48	301.857	-5.34516e-35	-1.50482	-5.21645	-5.38003e-35	-6.22314e-05	0.0224056	0.000194269
-76.04	-5.36467e-35	119.465	301.804	-5.39923e-35	-1.50482	-5.21622	-5.43446e-35	-6.22474e-05	0.0224075	0.000176604
-76.03	-5.41894e-35	119.45	301.752	-5.45385e-35	-1.50482	-5.216	-5.48944e-35	-6.22635e-05	0.0224094	0.000195971
-76.02	-5.47375e-35	119.435	301.7	-5.50902e-35	-1.50482	-5.21577	-5.54498e-35	-6.22796e-05	0.0224114	0.000175599
-76.01	-5.52912e-35	119.42	301.648	-5.56475e-35	-1.50483	-5.21555	-5.60107e-35	-6.22957e-05	0.0224133	0.000196809
-76	-5.58505e-35	119.405	301.596	-5.62105e-35	-1.50483	-5.21533	-5.65774e-35	-6.23119e-05	0.0224152	0.000177871
-75.99	-5.64154e-35	119.39	301.544	-5.67791e-35	-1.50483	-5.2151	-5.71498e-35	-6.2328e-05	0.0224171	0.000196283
-75.98	-5.69861e-35	119.375	301.491	-5.73535e-35	-1.50483	-5.21488	-5.7728e-35	-6.23441e-05	0.022419	0.000179493
-75.97	-5.75625e-35	119.36	301.439	-5.79337e-35	-1.50483	-5.21465	-5.8312e-35	-6.23602e-05	0.022421	0.000195755
-75.96	-5.81448e-35	119.345	301.387	-5.85197e-35	-1.50483	-5.21443	-5.89019e-35	-6.23764e-05	0.0224229	0.000181175
-75.95	-5.87329e-35	119.33	301.335	-5.91117e-35	-1.50483	-5.21421	-5.94979e-35	-6.23925e-05	0.0224248	0.000192375
-75.94	-5.9327e-35	119.314	301.283	-5.97097e-35	-1.50483	-5.21398	-6.00998e-35	-6.24087e-05	0.0224267	0.000185123
-75.93	-5.99271e-35	119.299	301.231	-6.03137e-35	-1.50483	-5.21376	-6.07078e-35	-6.24248e-05	0.0224287	0.000189163
-75.92	-6.05333e-35	119.284	301.179	-6.09239e-35	-1.50483	-5.21353	-6.1322e-35	-6.2441e-05	0.0224306	0.000188839
-75.91	-6.11456e-35	119.269	301.126	-6.15402e-35	-1.50483	-5.21331	-6.19424e-35	-6.24572e-05	0.0224325	0.000185485
-75.9	-6.17641e-35	119.254	301.074	-6.21628e-35	-1.50483	-5.21308	-6.25691e-35	-6.24733e-05	0.0224344	0.000191435
-75.89	-6.23889e-35	119.239	301.022	-6.27916e-35	-1.50483	-5.21286	-6.32021e-35	-6.24895e-05	0.0224364	0.000181452
-75.88	-6.302e-35	119.224	300.97	-6.34268e-35	-1.50483	-5.21264	-6.38415e-35	-6.25057e-05	0.0224383	0.000194482
-75.87	-6.36575e-35	119.209	300.918	-6.40685e-35	-1.50483	-5.21241	-6.44874e-35	-6.25219e-05	0.0224402	0.000177105
-75.86	-6.43014e-35	119.194	300.866	-6.47166e-35	-1.50483	-5.21219	-6.51398e-35	-6.25381e-05	0.0224421	0.000196421
-75.85	-6.49518e-35	119.179	300.814	-6.53713e-35	-1.50484	-5.21196	-6.57989e-35	-6.25543e-05	0.0224441	0.000177358
-75.84	-6.56088e-35	119.164	300.762	-6.60326e-35	-1.50484	-5.21174	-6.64646e-35	-6.25705e-05	0.022446	0.000198348
-75.83	-6.62725e-35	119.149	300.709	-6.67006e-35	-1.50484	-5.21151	-6.7137e-35	-6.25867e-05	0.0224479	0.000177729
-75.82	-6.69429e-35	119.134	300.657	-6.73753e-35	-1.50484	-5.21129	-6.78162e-35	-6.2603e-05	0.0224498	0.00019796
-75.81	-6.762e-35	119.119	300.605	-6.80569e-35	-1.50484	-5.21106	-6.85023e-35	-6.26192e-05	0.0224518	0.000179623
-75.8	-6.8304e-35	119.104	300.553	-6.87454e-35	-1.50484	-5.21084	-6.91954e-35	-6.26354e-05	0.0224537	0.000196677
-75.79	-6.8995e-35	119.089	300.501	-6.94409e-35	-1.50484	-5.21062	-6.98954e-35	-6.26517e-05	0.0224556	0.000182757
-75.78	-6.96929e-35	119.074	300.449	-7.01433e-35	-1.50484	-5.21039	-7.06026e-35	-6.26679e-05	0.0224576	0.000194222
-75.77	-7.03979e-35	119.059	300.397	-7.08529e-35	-1.50484	-5.21017	-7.13169e-35	-6.26842e-05	0.0224595	0.000184543
-75.76	-7.111e-35	119.044	300.345	-7.15697e-35	-1.50484	-5.20994	-7.20384e-35	-6.27005e-05	0.0224614	0.000190469
-75.75	-7.18293e-35	119.029	300.293	-7.22937e-35	-1.50484	-5.20972	-7.27672e-35	-6.27167e-05	0.0224634	0.000187807
-75.74	-7.25559e-35	119.013	300.241	-7.30251e-35	-1.50484	-5.20949	-7.35034e-35	-6.2733e-05	0.0224653	0.000187672
-75.73	-7.32898e-35	118.998	300.188	-7.37638e-35	-1.50484	-5.20927	-7.42471e-35	-6.27493e-05	0.0224672	0.000190811
-75.72	-7.40312e-35	118.983	300.136	-7.451e-35	-1.50484	-5.20904	-7.49982e-35	-6.27656e-05	0.0224692	0.000182618
-75.71	-7.478e-35	118.968	300.084	-7.52638e-35	-1.50484	-5.20882	-7.5757e-35	-6.27819e-05	0.0224711	0.000194467
-75.7	-7.55365e-35	118.953	300.032	-7.60252e-35	-1.50484	-5.20859	-7.65235e-35	-6.27982e-05	0.022473	0.000179607
-75.69	-7.63006e-35	118.938	299.98	-7.67943e-35	-1.50485	-5.20837	-7.72977e-35	-6.28145e-05	0.022475	0.000196265
-75.68	-7.70724e-35	118.923	299.928	-7.75712e-35	-1.50485	-5.20814	-7.80797e-35	-6.28308e-05	0.0224769	0.00017762
-75.67	-7.7852e-35	118.908	299.876	-7.83559e-35	-1.50485	-5.20792	-7.88697e-35	-6.28471e-05	0.0224788	0.000197748
-75.66	-7.86395e-35	118.893	299.824	-7.91486e-35	-1.50485	-5.20769	-7.96676e-35	-6.28634e-05	0.0224808	0.00017851
-75.65	-7.9435e-35	118.878	299.772	-7.99493e-35	-1.50485	-5.20747	-8.04736e-35	-6.28798e-05	0.0224827	0.000197656
-75.64	-8.02385e-35	118.863	299.72	-8.07581e-35	-1.50485	-5.20724	-8.12878e-35	-6.28961e-05	0.0224846	0.000179448
-75.63	-8.10502e-35	118.848	299.668	-8.15751e-35	-1.50485	-5.20702	-8.21102e-35	-6.29125e-05	0.0224866	0.000197947
-75.62	-8.18701e-35	118.833	299.616	-8.24003e-35	-1.50485	-5.20679	-8.29409e-35	-6.29288e-05	0.0224885	0.000182201
-75.61	-8.26982e-35	118.818	299.563	-8.32339e-35	-1.50485	-5.20657	-8.37801e-35	-6.29452e-05	0.0224904	0.000195957
-75.6	-8.35348e-35	118.803	299.511	-8.4076e-35	-1.50485	-5.20635	-8.46277e-35	-6.29615e-05	0.0224924	0.000184392
-75.59	-8.43798e-35	118.788	299.459	-8.49265e-35	-1.50485	-5.20612	-8.54839e-35	-6.29779e-05	0.0224943	0.000192588
-75.58	-8.52333e-35	118.773	299.407	-8.57857e-35	-1.50485	-5.2059	-8.63488e-35	-6.29943e-05	0.0224963	0.000187437
-75.57	-8.60955e-35	118.758	299.355	-8.66535e-35	-1.50485	-5.20567	-8.72224e-35	-6.30107e-05	0.0224982	0.000188387
-75.56	-8.69664e-35	118.743	299.303	-8.75302e-35	-1.50485	-5.20545	-8.81049e-35	-6.30271e-05	0.0225001	0.000191444
-75.55	-8.78461e-35	118.728	299.251	-8.84157e-35	-1.50485	-5.20522	-8.89963e-35	-6.30435e-05	0.0225021	0.000185381
-75.54	-8.87348e-35	118.713	299.199	-8.93101e-35	-1.50486	-5.205	-8.98967e-35	-6.30599e-05	0.022504	0.000195245
-75.53	-8.96324e-35	118.697	299.147	-9.02136e-35	-1.50486	-5.20477	-9.08062e-35	-6.30763e-05	0.022506	0.000182844
-75.52	-9.05391e-35	118.682	299.095	-9.11263e-35	-1.50486	-5.20455	-9.17249e-35	-6.30927e-05	0.0225079	0.000195723
-75.51	-9.14549e-35	118.667	299.043	-9.20481e-35	-1.50486	-5.20432	-9.26529e-35	-6.31091e-05	0.0225098	0.000178933
