A	q	Phi	tau	dq/dA	dPhi/dA	dtau/dA	d2q/dA2	d2Phi/dA2	d2tau/dA2	d3tau/dA3
-4.88626	-0.0014801	11.9238	7.9657	-0.00158156	-1.55056	-2.64841	-0.00169763	-0.00374839	0.378391	0.037343
-4.87626	-0.00149601	11.9083	7.93923	-0.00159863	-1.5506	-2.64463	-0.00171602	-0.00374317	0.378765	0.0375077
-4.86626	-0.00151208	11.8928	7.9128	-0.00161589	-1.55063	-2.64084	-0.00173461	-0.00373789	0.379141	0.0376727
-4.85626	-0.00152832	11.8772	7.88641	-0.00163333	-1.55067	-2.63704	-0.0017534	-0.00373254	0.379519	0.0378381
-4.84626	-0.00154474	11.8617	7.86006	-0.00165095	-1.55071	-2.63325	-0.0017724	-0.00372713	0.379898	0.0380038
-4.83626	-0.00156134	11.8462	7.83375	-0.00166877	-1.55075	-2.62945	-0.00179161	-0.00372165	0.380279	0.0381699
-4.82626	-0.00157812	11.8307	7.80747	-0.00168679	-1.55078	-2.62564	-0.00181102	-0.00371611	0.380661	0.0383363
-4.81626	-0.00159508	11.8152	7.78124	-0.001705	-1.55082	-2.62183	-0.00183064	-0.00371051	0.381046	0.0385031
-4.80626	-0.00161222	11.7997	7.75504	-0.0017234	-1.55086	-2.61802	-0.00185048	-0.00370484	0.381431	0.0386701
-4.79626	-0.00162955	11.7842	7.72888	-0.00174201	-1.5509	-2.61421	-0.00187053	-0.0036991	0.381819	0.0388375
-4.78626	-0.00164706	11.7687	7.70275	-0.00176081	-1.55093	-2.61038	-0.0018908	-0.00369331	0.382208	0.0390052
-4.77626	-0.00166477	11.7532	7.67667	-0.00177982	-1.55097	-2.60656	-0.00191129	-0.00368744	0.382599	0.0391732
-4.76626	-0.00168266	11.7377	7.65062	-0.00179904	-1.55101	-2.60273	-0.00193201	-0.00368151	0.382992	0.0393415
-4.75626	-0.00170075	11.7222	7.62461	-0.00181846	-1.55104	-2.5989	-0.00195295	-0.00367552	0.383386	0.0395101
-4.74626	-0.00171903	11.7066	7.59864	-0.0018381	-1.55108	-2.59507	-0.00197411	-0.00366946	0.383782	0.039679
-4.73626	-0.00173751	11.6911	7.57271	-0.00185795	-1.55112	-2.59123	-0.00199551	-0.00366333	0.384179	0.0398481
-4.72626	-0.00175619	11.6756	7.54682	-0.00187801	-1.55115	-2.58738	-0.00201714	-0.00365714	0.384579	0.0400175
-4.71626	-0.00177507	11.6601	7.52096	-0.00189829	-1.55119	-2.58353	-0.002039	-0.00365088	0.38498	0.0401871
