z	u	VVM	VAVM	VPSM	VSM	VSAVM
8.22614	140.494	778055	797886	797890	778055	797886
8.22558	140.466	777740	797566	797570	777741	797566
8.22501	140.438	777426	797246	797250	777426	797246
8.22445	140.41	777111	796926	796930	777111	796926
8.22388	140.381	776797	796606	796610	776797	796606
8.22332	140.353	776482	796286	796290	776482	796286
8.22275	140.325	776168	795966	795971	776168	795966
8.22219	140.296	775854	795647	795651	775854	795647
8.22162	140.268	775540	795327	795331	775540	795327
8.22106	140.24	775226	795008	795012	775226	795008
8.22049	140.212	774912	794688	794693	774912	794688
8.21993	140.183	774598	794369	794373	774598	794369
8.21936	140.155	774284	794050	794054	774284	794050
8.2188	140.127	773970	793731	793735	773970	793731
8.21823	140.099	773657	793412	793416	773657	793412
8.21766	140.07	773343	793093	793097	773343	793093
8.2171	140.042	773030	792774	792778	773030	792774
8.21653	140.014	772716	792455	792459	772716	792455
8.21597	139.986	772403	792137	792141	772403	792137
8.2154	139.957	772090	791818	791822	772090	791818
8.21484	139.929	771777	791499	791503	771777	791499
8.21427	139.901	771464	791181	791185	771464	791181
8.21371	139.873	771151	790863	790867	771151	790863
8.21314	139.844	770838	790544	790548	770838	790544
8.21257	139.816	770525	790226	790230	770525	790226
8.21201	139.788	770213	789908	789912	770213	789908
8.21144	139.76	769900	789590	789594	769900	789590
8.21088	139.731	769588	789272	789276	769588	789272
8.21031	139.703	769275	788954	788959	769275	788954
8.20974	139.675	768963	788637	788641	768963	788637
8.20918	139.647	768651	788319	788323	768651	788319
8.20861	139.618	768338	788002	788006	768338	788002
8.20805	139.59	768026	787684	787688	768026	787684
8.20748	139.562	767714	787367	787371	767714	787367
8.20691	139.534	767402	787049	787054	767403	787049
8.20635	139.506	767091	786732	786736	767091	786732
8.20578	139.477	766779	786415	786419	766779	786415
8.20521	139.449	766467	786098	786102	766467	786098
8.20465	139.421	766156	785781	785785	766156	785781
8.20408	139.393	765844	785464	785468	765844	785464
8.20352	139.364	765533	785148	785152	765533	785148
8.20295	139.336	765222	784831	784835	765222	784831
8.20238	139.308	764910	784514	784518	764911	784514
8.20182	139.28	764599	784198	784202	764599	784198
8.20125	139.252	764288	783881	783885	764288	783881
8.20068	139.223	763977	783565	783569	763977	783565
8.20012	139.195	763667	783249	783253	763667	783249
8.19955	139.167	763356	782933	782937	763356	782933
8.19898	139.139	763045	782617	782621	763045	782617
8.19842	139.111	762734	782301	782305	762735	782301
8.19785	139.083	762424	781985	781989	762424	781985
8.19728	139.054	762114	781669	781673	762114	781669
8.19672	139.026	761803	781353	781357	761803	781353
8.19615	138.998	761493	781038	781042	761493	781038
8.19558	138.97	761183	780722	780726	761183	780722
8.19502	138.942	760873	780407	780411	760873	780407
8.19445	138.913	760563	780091	780095	760563	780091
8.19388	138.885	760253	779776	779780	760253	779776
8.19331	138.857	759943	779461	779465	759943	779461
8.19275	138.829	759633	779146	779150	759633	779146
8.19218	138.801	759324	778831	778835	759324	778831
8.19161	138.773	759014	778516	778520	759014	778516
8.19105	138.744	758705	778201	778205	758705	778201
8.19048	138.716	758395	777886	777890	758395	777886
8.18991	138.688	758086	777571	777575	758086	777571
8.18934	138.66	757777	777257	777261	757777	777257
