A	q	Phi	tau	dq/dA	dPhi/dA	dtau/dA	d2q/dA2	d2Phi/dA2	d2tau/dA2	d3tau/dA3
-79.58	-1.52265e-36	124.719	104.918	-1.53204e-36	-1.50462	-2.2557	-1.5416e-36	-5.6996e-05	0.0204956	6.70505e-05
-79.57	-1.53805e-36	124.704	104.895	-1.54753e-36	-1.50462	-2.25549	-1.55719e-36	-5.70101e-05	0.0204962	6.71393e-05
-79.56	-1.55361e-36	124.689	104.873	-1.56318e-36	-1.50462	-2.25529	-1.57294e-36	-5.70242e-05	0.0204969	6.7353e-05
-79.55	-1.56932e-36	124.674	104.85	-1.57899e-36	-1.50462	-2.25508	-1.58885e-36	-5.70383e-05	0.0204976	6.73324e-05
-79.54	-1.58519e-36	124.659	104.827	-1.59496e-36	-1.50462	-2.25488	-1.60492e-36	-5.70524e-05	0.0204983	6.70953e-05
-79.53	-1.60122e-36	124.644	104.805	-1.61109e-36	-1.50462	-2.25467	-1.62115e-36	-5.70665e-05	0.0204989	6.71961e-05
-79.52	-1.61741e-36	124.629	104.782	-1.62739e-36	-1.50462	-2.25447	-1.63755e-36	-5.70807e-05	0.0204996	6.73907e-05
-79.51	-1.63376e-36	124.614	104.76	-1.64384e-36	-1.50462	-2.25426	-1.65411e-36	-5.70948e-05	0.0205003	6.73731e-05
-79.5	-1.65029e-36	124.599	104.737	-1.66047e-36	-1.50462	-2.25406	-1.67084e-36	-5.71089e-05	0.020501	6.71627e-05
-79.49	-1.66697e-36	124.584	104.715	-1.67726e-36	-1.50462	-2.25385	-1.68774e-36	-5.71231e-05	0.0205016	6.72367e-05
-79.48	-1.68383e-36	124.568	104.692	-1.69422e-36	-1.50462	-2.25365	-1.70481e-36	-5.71372e-05	0.0205023	6.72996e-05
-79.47	-1.70086e-36	124.553	104.67	-1.71136e-36	-1.50462	-2.25344	-1.72205e-36	-5.71514e-05	0.020503	6.74631e-05
-79.46	-1.71806e-36	124.538	104.647	-1.72867e-36	-1.50462	-2.25324	-1.73947e-36	-5.71655e-05	0.0205037	6.74442e-05
-79.45	-1.73543e-36	124.523	104.625	-1.74615e-36	-1.50462	-2.25303	-1.75706e-36	-5.71797e-05	0.0205043	6.72322e-05
-79.44	-1.75298e-36	124.508	104.602	-1.76381e-36	-1.50462	-2.25283	-1.77483e-36	-5.71939e-05	0.020505	6.71743e-05
-79.43	-1.77071e-36	124.493	104.58	-1.78165e-36	-1.50462	-2.25262	-1.79278e-36	-5.7208e-05	0.0205057	6.72933e-05
-79.42	-1.78862e-36	124.478	104.557	-1.79966e-36	-1.50463	-2.25242	-1.81092e-36	-5.72222e-05	0.0205064	6.74612e-05
-79.41	-1.8067e-36	124.463	104.534	-1.81786e-36	-1.50463	-2.25221	-1.82923e-36	-5.72364e-05	0.020507	6.75061e-05
-79.4	-1.82497e-36	124.448	104.512	-1.83625e-36	-1.50463	-2.25201	-1.84773e-36	-5.72506e-05	0.0205077	6.73657e-05
-79.39	-1.84343e-36	124.433	104.489	-1.85482e-36	-1.50463	-2.2518	-1.86642e-36	-5.72648e-05	0.0205084	6.72358e-05
-79.38	-1.86207e-36	124.418	104.467	-1.87358e-36	-1.50463	-2.2516	-1.8853e-36	-5.7279e-05	0.0205091	6.73108e-05
-79.37	-1.8809e-36	124.403	104.444	-1.89253e-36	-1.50463	-2.25139	-1.90437e-36	-5.72932e-05	0.0205097	6.75101e-05
-79.36	-1.89992e-36	124.388	104.422	-1.91167e-36	-1.50463	-2.25119	-1.92363e-36	-5.73074e-05	0.0205104	6.75945e-05
-79.35	-1.91914e-36	124.373	104.399	-1.931e-36	-1.50463	-2.25098	-1.94308e-36	-5.73216e-05	0.0205111	6.74801e-05
-79.34	-1.93854e-36	124.358	104.377	-1.95053e-36	-1.50463	-2.25078	-1.96274e-36	-5.73358e-05	0.0205118	6.72698e-05
-79.33	-1.95815e-36	124.343	104.354	-1.97025e-36	-1.50463	-2.25057	-1.98259e-36	-5.735e-05	0.0205124	6.73319e-05
-79.32	-1.97795e-36	124.328	104.332	-1.99018e-36	-1.50463	-2.25037	-2.00264e-36	-5.73643e-05	0.0205131	6.75036e-05
-79.31	-1.99795e-36	124.313	104.309	-2.01031e-36	-1.50463	-2.25016	-2.02289e-36	-5.73785e-05	0.0205138	6.76355e-05
-79.3	-2.01816e-36	124.298	104.287	-2.03064e-36	-1.50463	-2.24996	-2.04335e-36	-5.73928e-05	0.0205145	6.75696e-05
-79.29	-2.03856e-36	124.283	104.264	-2.05118e-36	-1.50463	-2.24975	-2.06402e-36	-5.7407e-05	0.0205151	6.73715e-05
-79.28	-2.05918e-36	124.268	104.242	-2.07192e-36	-1.50463	-2.24955	-2.0849e-36	-5.74213e-05	0.0205158	6.73721e-05
-79.27	-2.08e-36	124.252	104.219	-2.09287e-36	-1.50463	-2.24934	-2.10598e-36	-5.74355e-05	0.0205165	6.75304e-05
-79.26	-2.10104e-36	124.237	104.197	-2.11404e-36	-1.50463	-2.24914	-2.12729e-36	-5.74498e-05	0.0205172	6.76842e-05
-79.25	-2.12229e-36	124.222	104.174	-2.13542e-36	-1.50463	-2.24893	-2.1488e-36	-5.7464e-05	0.0205178	6.7666e-05
-79.24	-2.14375e-36	124.207	104.152	-2.15702e-36	-1.50464	-2.24873	-2.17053e-36	-5.74783e-05	0.0205185	6.74784e-05
-79.23	-2.16543e-36	124.192	104.129	-2.17883e-36	-1.50464	-2.24852	-2.19249e-36	-5.74926e-05	0.0205192	6.74214e-05
-79.22	-2.18732e-36	124.177	104.107	-2.20087e-36	-1.50464	-2.24832	-2.21466e-36	-5.75069e-05	0.0205199	6.75196e-05
-79.21	-2.20944e-36	124.162	104.084	-2.22313e-36	-1.50464	-2.24811	-2.23706e-36	-5.75212e-05	0.0205205	6.77106e-05
-79.2	-2.23179e-36	124.147	104.062	-2.24561e-36	-1.50464	-2.2479	-2.25969e-36	-5.75355e-05	0.0205212	6.7753e-05
-79.19	-2.25436e-36	124.132	104.04	-2.26832e-36	-1.50464	-2.2477	-2.28254e-36	-5.75498e-05	0.0205219	6.75877e-05
-79.18	-2.27716e-36	124.117	104.017	-2.29126e-36	-1.50464	-2.24749	-2.30563e-36	-5.75641e-05	0.0205226	6.74476e-05
-79.17	-2.30018e-36	124.102	103.995	-2.31443e-36	-1.50464	-2.24729	-2.32895e-36	-5.75784e-05	0.0205232	6.75423e-05
-79.16	-2.32344e-36	124.087	103.972	-2.33784e-36	-1.50464	-2.24708	-2.35251e-36	-5.75927e-05	0.0205239	6.77269e-05
-79.15	-2.34694e-36	124.072	103.95	-2.36149e-36	-1.50464	-2.24688	-2.3763e-36	-5.7607e-05	0.0205246	6.78186e-05
-79.14	-2.37068e-36	124.057	103.927	-2.38537e-36	-1.50464	-2.24667	-2.40034e-36	-5.76213e-05	0.0205253	6.76988e-05
-79.13	-2.39465e-36	124.042	103.905	-2.40949e-36	-1.50464	-2.24647	-2.42461e-36	-5.76357e-05	0.020526	6.75063e-05
-79.12	-2.41887e-36	124.027	103.882	-2.43386e-36	-1.50464	-2.24626	-2.44914e-36	-5.765e-05	0.0205266	6.75659e-05
-79.11	-2.44333e-36	124.012	103.86	-2.45848e-36	-1.50464	-2.24606	-2.47391e-36	-5.76644e-05	0.0205273	6.77261e-05
-79.1	-2.46804e-36	123.997	103.837	-2.48334e-36	-1.50464	-2.24585	-2.49893e-36	-5.76787e-05	0.020528	6.78579e-05
-79.09	-2.49299e-36	123.982	103.815	-2.50846e-36	-1.50464	-2.24565	-2.52421e-36	-5.76931e-05	0.0205287	6.77936e-05
-79.08	-2.51821e-36	123.967	103.792	-2.53383e-36	-1.50464	-2.24544	-2.54974e-36	-5.77074e-05	0.0205293	6.76112e-05
-79.07	-2.54367e-36	123.952	103.77	-2.55945e-36	-1.50465	-2.24524	-2.57552e-36	-5.77218e-05	0.02053	6.75937e-05
-79.06	-2.5694e-36	123.937	103.747	-2.58534e-36	-1.50465	-2.24503	-2.60157e-36	-5.77361e-05	0.0205307	6.77393e-05
-79.05	-2.59538e-36	123.921	103.725	-2.61148e-36	-1.50465	-2.24483	-2.62789e-36	-5.77505e-05	0.0205314	6.79082e-05
-79.04	-2.62163e-36	123.906	103.703	-2.6379e-36	-1.50465	-2.24462	-2.65447e-36	-5.77649e-05	0.0205321	6.78852e-05
-79.03	-2.64814e-36	123.891	103.68	-2.66457e-36	-1.50465	-2.24442	-2.68132e-36	-5.77793e-05	0.0205327	6.77096e-05
-79.02	-2.67492e-36	123.876	103.658	-2.69152e-36	-1.50465	-2.24421	-2.70844e-36	-5.77937e-05	0.0205334	6.76392e-05
-79.01	-2.70197e-36	123.861	103.635	-2.71874e-36	-1.50465	-2.244	-2.73583e-36	-5.78081e-05	0.0205341	6.77712e-05
-79	-2.72929e-36	123.846	103.613	-2.74624e-36	-1.50465	-2.2438	-2.7635e-36	-5.78225e-05	0.0205348	6.79252e-05
-78.99	-2.7569e-36	123.831	103.59	-2.77401e-36	-1.50465	-2.24359	-2.79145e-36	-5.78369e-05	0.0205355	6.79636e-05
-78.98	-2.78478e-36	123.816	103.568	-2.80207e-36	-1.50465	-2.24339	-2.81969e-36	-5.78513e-05	0.0205361	6.78192e-05
-78.97	-2.81294e-36	123.801	103.546	-2.83041e-36	-1.50465	-2.24318	-2.84821e-36	-5.78657e-05	0.0205368	6.76978e-05
-78.96	-2.84138e-36	123.786	103.523	-2.85904e-36	-1.50465	-2.24298	-2.87702e-36	-5.78801e-05	0.0205375	6.77695e-05
-78.95	-2.87012e-36	123.771	103.501	-2.88795e-36	-1.50465	-2.24277	-2.90611e-36	-5.78946e-05	0.0205382	6.79518e-05
-78.94	-2.89914e-36	123.756	103.478	-2.91716e-36	-1.50465	-2.24257	-2.93551e-36	-5.7909e-05	0.0205389	6.80395e-05
-78.93	-2.92846e-36	123.741	103.456	-2.94666e-36	-1.50465	-2.24236	-2.9652e-36	-5.79234e-05	0.0205395	6.79301e-05
-78.92	-2.95808e-36	123.726	103.433	-2.97646e-36	-1.50465	-2.24216	-2.99519e-36	-5.79379e-05	0.0205402	6.77601e-05
-78.91	-2.98799e-36	123.711	103.411	-3.00657e-36	-1.50465	-2.24195	-3.02549e-36	-5.79523e-05	0.0205409	6.78119e-05
-78.9	-3.01821e-36	123.696	103.389	-3.03697e-36	-1.50466	-2.24175	-3.05609e-36	-5.79668e-05	0.0205416	6.79702e-05
-78.89	-3.04873e-36	123.681	103.366	-3.06769e-36	-1.50466	-2.24154	-3.087e-36	-5.79813e-05	0.0205423	6.81023e-05
-78.88	-3.07957e-36	123.666	103.344	-3.09872e-36	-1.50466	-2.24133	-3.11822e-36	-5.79957e-05	0.0205429	6.80299e-05
