A	q	Phi	tau	dq/dA	dPhi/dA	dtau/dA	d2q/dA2	d2Phi/dA2	d2tau/dA2	d3tau/dA3
-79.5733	-1.5315e-36	124.906	989.954	-1.54093e-36	-1.50461	-23.0419	-1.55052e-36	-5.67982e-05	0.250615	-0.000895015
-79.5633	-1.54699e-36	124.891	989.724	-1.55651e-36	-1.50461	-23.0394	-1.56621e-36	-5.68122e-05	0.250619	-0.016559
-79.5533	-1.56263e-36	124.876	989.494	-1.57225e-36	-1.50461	-23.0369	-1.58205e-36	-5.68263e-05	0.250623	-0.0178037
-79.5433	-1.57843e-36	124.861	989.263	-1.58815e-36	-1.50461	-23.0344	-1.59805e-36	-5.68403e-05	0.250626	0.00106672
-79.5333	-1.5944e-36	124.846	989.033	-1.60421e-36	-1.50461	-23.0319	-1.61421e-36	-5.68543e-05	0.25063	0.010047
-79.5233	-1.61052e-36	124.831	988.803	-1.62044e-36	-1.50461	-23.0293	-1.63054e-36	-5.68684e-05	0.250634	0.00117124
-79.5133	-1.62681e-36	124.816	988.572	-1.63682e-36	-1.50461	-23.0268	-1.64703e-36	-5.68824e-05	0.250638	-0.0167484
-79.5033	-1.64326e-36	124.801	988.342	-1.65338e-36	-1.50461	-23.0243	-1.66368e-36	-5.68965e-05	0.250642	-0.0178285
-79.4933	-1.65987e-36	124.785	988.112	-1.6701e-36	-1.50461	-23.0218	-1.68051e-36	-5.69106e-05	0.250645	0.000635975
-79.4833	-1.67666e-36	124.77	987.882	-1.68699e-36	-1.50461	-23.0193	-1.69751e-36	-5.69246e-05	0.250649	0.0105468
-79.4733	-1.69361e-36	124.755	987.652	-1.70405e-36	-1.50461	-23.0168	-1.71468e-36	-5.69387e-05	0.250652	0.00215087
-79.4633	-1.71074e-36	124.74	987.421	-1.72128e-36	-1.50461	-23.0143	-1.73202e-36	-5.69528e-05	0.250656	-0.0142589
-79.4533	-1.72804e-36	124.725	987.191	-1.73869e-36	-1.50461	-23.0118	-1.74954e-36	-5.69669e-05	0.25066	-0.0193551
-79.4433	-1.74551e-36	124.71	986.961	-1.75627e-36	-1.50462	-23.0093	-1.76723e-36	-5.6981e-05	0.250664	-0.00142953
-79.4333	-1.76317e-36	124.695	986.731	-1.77403e-36	-1.50462	-23.0068	-1.7851e-36	-5.69951e-05	0.250667	0.00928903
-79.4233	-1.781e-36	124.68	986.501	-1.79198e-36	-1.50462	-23.0043	-1.80316e-36	-5.70092e-05	0.250671	0.00159818
-79.4133	-1.79901e-36	124.665	986.271	-1.8101e-36	-1.50462	-23.0018	-1.8214e-36	-5.70233e-05	0.250675	-0.013844
-79.4033	-1.8172e-36	124.65	986.041	-1.8284e-36	-1.50462	-22.9993	-1.83982e-36	-5.70374e-05	0.250679	-0.018572
-79.3933	-1.83558e-36	124.635	985.811	-1.8469e-36	-1.50462	-22.9968	-1.85843e-36	-5.70515e-05	0.250682	-0.00181937
-79.3833	-1.85414e-36	124.62	985.581	-1.86557e-36	-1.50462	-22.9943	-1.87722e-36	-5.70656e-05	0.250686	0.00901883
-79.3733	-1.87289e-36	124.605	985.351	-1.88444e-36	-1.50462	-22.9917	-1.89621e-36	-5.70797e-05	0.25069	-0.0217336
-79.3633	-1.89183e-36	124.59	985.121	-1.9035e-36	-1.50462	-22.9892	-1.91539e-36	-5.70939e-05	0.250694	-0.0090961
-79.3533	-1.91096e-36	124.575	984.891	-1.92275e-36	-1.50462	-22.9867	-1.93476e-36	-5.7108e-05	0.250697	0.00471212
-79.3433	-1.93028e-36	124.56	984.661	-1.94219e-36	-1.50462	-22.9842	-1.95433e-36	-5.71221e-05	0.250701	0.0120589
-79.3333	-1.9498e-36	124.545	984.432	-1.96184e-36	-1.50462	-22.9817	-1.97409e-36	-5.71363e-05	0.250704	0.00751999
