A	q	Phi	tau	dq/dA	dPhi/dA	dtau/dA	d2q/dA2	d2Phi/dA2	d2tau/dA2	d3tau/dA3
-79.58	-1.52467e-36	125.294	61.4101	-1.5341e-36	-1.50463	-0.906077	-1.5437e-36	-5.72998e-05	0.00214469	2.12965e-05
-79.57	-1.54009e-36	125.279	61.401	-1.54961e-36	-1.50463	-0.906056	-1.55931e-36	-5.7314e-05	0.00214491	2.13017e-05
-79.56	-1.55567e-36	125.264	61.392	-1.56528e-36	-1.50463	-0.906035	-1.57508e-36	-5.73282e-05	0.00214512	2.13067e-05
-79.55	-1.5714e-36	125.249	61.3829	-1.58111e-36	-1.50463	-0.906013	-1.59101e-36	-5.73425e-05	0.00214533	2.1311e-05
-79.54	-1.58729e-36	125.234	61.3739	-1.5971e-36	-1.50463	-0.905992	-1.6071e-36	-5.73567e-05	0.00214555	2.13153e-05
-79.53	-1.60334e-36	125.219	61.3648	-1.61326e-36	-1.50463	-0.90597	-1.62336e-36	-5.73709e-05	0.00214576	2.13205e-05
-79.52	-1.61955e-36	125.204	61.3557	-1.62957e-36	-1.50463	-0.905949	-1.63978e-36	-5.73852e-05	0.00214597	2.13257e-05
-79.51	-1.63593e-36	125.189	61.3467	-1.64605e-36	-1.50463	-0.905927	-1.65636e-36	-5.73994e-05	0.00214618	2.13306e-05
-79.5	-1.65248e-36	125.174	61.3376	-1.6627e-36	-1.50463	-0.905906	-1.67311e-36	-5.74136e-05	0.0021464	2.13349e-05
-79.49	-1.66919e-36	125.159	61.3286	-1.67952e-36	-1.50463	-0.905884	-1.69004e-36	-5.74279e-05	0.00214661	2.13393e-05
-79.48	-1.68607e-36	125.144	61.3195	-1.6965e-36	-1.50463	-0.905863	-1.70713e-36	-5.74422e-05	0.00214683	2.13444e-05
-79.47	-1.70312e-36	125.128	61.3105	-1.71366e-36	-1.50463	-0.905841	-1.7244e-36	-5.74564e-05	0.00214704	2.13497e-05
-79.46	-1.72034e-36	125.113	61.3014	-1.73099e-36	-1.50464	-0.90582	-1.74184e-36	-5.74707e-05	0.00214725	2.13546e-05
-79.45	-1.73774e-36	125.098	61.2923	-1.7485e-36	-1.50464	-0.905798	-1.75945e-36	-5.7485e-05	0.00214747	2.1359e-05
-79.44	-1.75531e-36	125.083	61.2833	-1.76618e-36	-1.50464	-0.905777	-1.77725e-36	-5.74993e-05	0.00214768	2.13633e-05
-79.43	-1.77306e-36	125.068	61.2742	-1.78404e-36	-1.50464	-0.905755	-1.79522e-36	-5.75135e-05	0.00214789	2.13683e-05
-79.42	-1.79099e-36	125.053	61.2652	-1.80208e-36	-1.50464	-0.905734	-1.81338e-36	-5.75278e-05	0.00214811	2.13736e-05
-79.41	-1.8091e-36	125.038	61.2561	-1.82031e-36	-1.50464	-0.905713	-1.83172e-36	-5.75421e-05	0.00214832	2.13786e-05
-79.4	-1.8274e-36	125.023	61.2471	-1.83872e-36	-1.50464	-0.905691	-1.85025e-36	-5.75564e-05	0.00214853	2.1383e-05
-79.39	-1.84588e-36	125.008	61.238	-1.85731e-36	-1.50464	-0.90567	-1.86896e-36	-5.75707e-05	0.00214875	2.13874e-05
-79.38	-1.86455e-36	124.993	61.2289	-1.8761e-36	-1.50464	-0.905648	-1.88787e-36	-5.75851e-05	0.00214896	2.13924e-05
-79.37	-1.8834e-36	124.978	61.2199	-1.89507e-36	-1.50464	-0.905627	-1.90696e-36	-5.75994e-05	0.00214918	2.13978e-05
-79.36	-1.90245e-36	124.963	61.2108	-1.91424e-36	-1.50464	-0.905605	-1.92625e-36	-5.76137e-05	0.00214939	2.14028e-05
-79.35	-1.92169e-36	124.948	61.2018	-1.9336e-36	-1.50464	-0.905584	-1.94573e-36	-5.7628e-05	0.0021496	2.14071e-05
-79.34	-1.94112e-36	124.933	61.1927	-1.95315e-36	-1.50464	-0.905562	-1.96541e-36	-5.76424e-05	0.00214982	2.14114e-05
-79.33	-1.96075e-36	124.918	61.1837	-1.97291e-36	-1.50464	-0.905541	-1.98529e-36	-5.76567e-05	0.00215003	2.14164e-05
-79.32	-1.98058e-36	124.903	61.1746	-1.99286e-36	-1.50464	-0.905519	-2.00537e-36	-5.7671e-05	0.00215025	2.14217e-05
-79.31	-2.00061e-36	124.888	61.1655	-2.01302e-36	-1.50464	-0.905498	-2.02565e-36	-5.76854e-05	0.00215046	2.14268e-05
-79.3	-2.02084e-36	124.873	61.1565	-2.03337e-36	-1.50464	-0.905476	-2.04614e-36	-5.76998e-05	0.00215067	2.14312e-05
-79.29	-2.04128e-36	124.858	61.1474	-2.05394e-36	-1.50465	-0.905455	-2.06684e-36	-5.77141e-05	0.00215089	2.14355e-05
-79.28	-2.06192e-36	124.843	61.1384	-2.07471e-36	-1.50465	-0.905433	-2.08774e-36	-5.77285e-05	0.0021511	2.14405e-05
-79.27	-2.08277e-36	124.828	61.1293	-2.09569e-36	-1.50465	-0.905412	-2.10886e-36	-5.77429e-05	0.00215132	2.14459e-05
-79.26	-2.10383e-36	124.813	61.1203	-2.11689e-36	-1.50465	-0.90539	-2.13019e-36	-5.77572e-05	0.00215153	2.1451e-05
-79.25	-2.12511e-36	124.797	61.1112	-2.1383e-36	-1.50465	-0.905368	-2.15173e-36	-5.77716e-05	0.00215175	2.14554e-05
-79.24	-2.1466e-36	124.782	61.1022	-2.15993e-36	-1.50465	-0.905347	-2.1735e-36	-5.7786e-05	0.00215196	2.14596e-05
-79.23	-2.16831e-36	124.767	61.0931	-2.18177e-36	-1.50465	-0.905325	-2.19548e-36	-5.78004e-05	0.00215218	2.14647e-05
-79.22	-2.19024e-36	124.752	61.0841	-2.20384e-36	-1.50465	-0.905304	-2.21769e-36	-5.78148e-05	0.00215239	2.147e-05
-79.21	-2.21239e-36	124.737	61.075	-2.22612e-36	-1.50465	-0.905282	-2.24012e-36	-5.78292e-05	0.00215261	2.14751e-05
-79.2	-2.23476e-36	124.722	61.066	-2.24864e-36	-1.50465	-0.905261	-2.26278e-36	-5.78436e-05	0.00215282	2.14796e-05
-79.19	-2.25736e-36	124.707	61.0569	-2.27138e-36	-1.50465	-0.905239	-2.28566e-36	-5.7858e-05	0.00215304	2.14839e-05
-79.18	-2.28019e-36	124.692	61.0479	-2.29435e-36	-1.50465	-0.905218	-2.30878e-36	-5.78724e-05	0.00215325	2.14889e-05
-79.17	-2.30325e-36	124.677	61.0388	-2.31756e-36	-1.50465	-0.905196	-2.33213e-36	-5.78869e-05	0.00215347	2.14942e-05
-79.16	-2.32654e-36	124.662	61.0297	-2.341e-36	-1.50465	-0.905175	-2.35572e-36	-5.79013e-05	0.00215368	2.14993e-05
-79.15	-2.35007e-36	124.647	61.0207	-2.36467e-36	-1.50465	-0.905153	-2.37955e-36	-5.79157e-05	0.0021539	2.15038e-05
-79.14	-2.37384e-36	124.632	61.0116	-2.38859e-36	-1.50465	-0.905132	-2.40362e-36	-5.79302e-05	0.00215411	2.15081e-05
