A	Vg	Vf	k	w
-8.96	2.21949e+10	0	3.47168e-09	2.61653e-08
-8.95	2.1734e+10	0	3.54143e-09	2.66783e-08
-8.94	2.12826e+10	0	3.61258e-09	2.72012e-08
-8.93	2.08406e+10	0	3.68516e-09	2.77344e-08
-8.92	2.04077e+10	0	3.7592e-09	2.82781e-08
-8.91	1.99839e+10	0	3.83472e-09	2.88323e-08
-8.9	1.95688e+10	0	3.91176e-09	2.93974e-08
-8.89	1.91623e+10	0	3.99034e-09	2.99736e-08
-8.88	1.87642e+10	0	4.0705e-09	3.0561e-08
-8.87	1.83744e+10	0	4.15227e-09	3.11599e-08
-8.86	1.79927e+10	0	4.23568e-09	3.17706e-08
-8.85	1.76189e+10	0	4.32076e-09	3.23931e-08
-8.84	1.72528e+10	0	4.40755e-09	3.30279e-08
-8.83	1.68944e+10	0	4.49609e-09	3.3675e-08
-8.82	1.65433e+10	0	4.58639e-09	3.43349e-08
-8.81	1.61996e+10	0	4.67851e-09	3.50076e-08
-8.8	1.58629e+10	0	4.77248e-09	3.56934e-08
-8.79	1.55333e+10	0	4.86834e-09	3.63927e-08
-8.78	1.52105e+10	0	4.96611e-09	3.71057e-08
-8.77	1.48944e+10	0	5.06585e-09	3.78326e-08
-8.76	1.45848e+10	0	5.16759e-09	3.85737e-08
-8.75	1.42817e+10	0	5.27137e-09	3.93292e-08
-8.74	1.39848e+10	0	5.37723e-09	4.00996e-08
-8.73	1.36941e+10	0	5.48521e-09	4.0885e-08
-8.72	1.34095e+10	0	5.59536e-09	4.16858e-08
-8.71	1.31307e+10	0	5.70772e-09	4.25022e-08
-8.7	1.28577e+10	0	5.82233e-09	4.33346e-08
-8.69	1.25904e+10	0	5.93924e-09	4.41832e-08
-8.68	1.23287e+10	0	6.0585e-09	4.50484e-08
-8.67	1.20723e+10	0	6.18014e-09	4.59305e-08
-8.66	1.18213e+10	0	6.30423e-09	4.68299e-08
-8.65	1.15755e+10	0	6.4308e-09	4.77468e-08
-8.64	1.13348e+10	0	6.55992e-09	4.86817e-08
-8.63	1.10991e+10	0	6.69162e-09	4.96348e-08
-8.62	1.08683e+10	0	6.82596e-09	5.06065e-08
-8.61	1.06422e+10	0	6.963e-09	5.15973e-08
-8.6	1.04209e+10	0	7.10278e-09	5.26073e-08
-8.59	1.02041e+10	0	7.24537e-09	5.36371e-08
-8.58	9.9919e+09	0	7.39081e-09	5.46871e-08
-8.57	9.78405e+09	0	7.53917e-09	5.57575e-08
-8.56	9.58053e+09	0	7.69051e-09	5.68488e-08
-8.55	9.38123e+09	0	7.84488e-09	5.79614e-08
-8.54	9.18606e+09	0	8.00234e-09	5.90958e-08
-8.53	8.99495e+09	0	8.16296e-09	6.02523e-08
-8.52	8.8078e+09	0	8.3268e-09	6.14314e-08
-8.51	8.62454e+09	0	8.49392e-09	6.26336e-08
-8.5	8.44509e+09	0	8.6644e-09	6.38592e-08
-8.49	8.26936e+09	0	8.83829e-09	6.51087e-08
-8.48	8.09728e+09	0	9.01566e-09	6.63826e-08
-8.47	7.92877e+09	0	9.19659e-09	6.76814e-08
-8.46	7.76377e+09	0	9.38115e-09	6.90055e-08
-8.45	7.60219e+09	0	9.5694e-09	7.03555e-08
-8.44	7.44396e+09	0	9.76143e-09	7.17319e-08
-8.43	7.28902e+09	0	9.9573e-09	7.31351e-08
-8.42	7.1373e+09	0	1.01571e-08	7.45656e-08
-8.41	6.98873e+09	0	1.03609e-08	7.60242e-08
-8.4	6.84325e+09	0	1.05688e-08	7.75111e-08
-8.39	6.70079e+09	0	1.07808e-08	7.90271e-08
-8.38	6.56129e+09	0	1.09971e-08	8.05727e-08
-8.37	6.42468e+09	0	1.12178e-08	8.21484e-08
-8.36	6.29092e+09	0	1.14428e-08	8.37549e-08
-8.35	6.15993e+09	0	1.16724e-08	8.53927e-08
-8.34	6.03166e+09	0	1.19066e-08	8.70625e-08
