A	q	Phi	tau	dq/dA	dPhi/dA	dtau/dA	d2q/dA2	d2Phi/dA2	d2tau/dA2	d3tau/dA3
2.2015	-0.915093	2.15163	0.00589593	-0.0579313	-0.377266	-0.0135244	0.0467047	0.163403	0.0338164	-0.0865656
2.20362	-0.915215	2.15084	0.00586736	-0.0578326	-0.37692	-0.013453	0.0465757	0.163076	0.0336335	-0.0861059
2.20574	-0.915338	2.15004	0.00583891	-0.057734	-0.376575	-0.0133819	0.046447	0.162749	0.0334514	-0.0856481
2.20786	-0.91546	2.14924	0.00581059	-0.0576355	-0.37623	-0.0133111	0.0463187	0.162423	0.0332702	-0.0851922
2.20999	-0.915583	2.14844	0.0057824	-0.0575373	-0.375885	-0.0132406	0.0461907	0.162098	0.0330897	-0.0847382
2.21211	-0.915705	2.14764	0.00575432	-0.0574392	-0.375541	-0.0131705	0.0460631	0.161773	0.0329101	-0.084286
2.21424	-0.915827	2.14684	0.00572637	-0.0573414	-0.375197	-0.0131006	0.0459359	0.161449	0.0327312	-0.0838357
2.21637	-0.915949	2.14604	0.00569854	-0.0572437	-0.374854	-0.0130311	0.0458089	0.161126	0.0325531	-0.0833872
2.2185	-0.916071	2.14524	0.00567084	-0.0571461	-0.374511	-0.0129619	0.0456824	0.160803	0.0323758	-0.0829406
2.22063	-0.916193	2.14445	0.00564325	-0.0570488	-0.374168	-0.012893	0.0455561	0.160481	0.0321993	-0.0824958
2.22277	-0.916314	2.14365	0.00561579	-0.0569516	-0.373825	-0.0128244	0.0454302	0.160159	0.0320236	-0.0820529
2.22491	-0.916436	2.14285	0.00558844	-0.0568546	-0.373483	-0.0127561	0.0453047	0.159838	0.0318486	-0.0816118
2.22705	-0.916558	2.14205	0.00556122	-0.0567578	-0.373142	-0.0126882	0.0451794	0.159517	0.0316745	-0.0811726
2.22919	-0.916679	2.14125	0.00553412	-0.0566612	-0.3728	-0.0126205	0.0450546	0.159197	0.0315011	-0.0807352
2.23133	-0.9168	2.14045	0.00550713	-0.0565647	-0.372459	-0.0125532	0.04493	0.158878	0.0313285	-0.0802996
2.23348	-0.916922	2.13965	0.00548027	-0.0564684	-0.372119	-0.0124861	0.0448058	0.158559	0.0311566	-0.0798658
2.23563	-0.917043	2.13885	0.00545352	-0.0563723	-0.371779	-0.0124194	0.044682	0.158241	0.0309855	-0.0794339
2.23778	-0.917164	2.13805	0.00542689	-0.0562764	-0.371439	-0.012353	0.0445584	0.157924	0.0308152	-0.0790037
2.23993	-0.917285	2.13726	0.00540038	-0.0561807	-0.371099	-0.0122868	0.0444352	0.157607	0.0306457	-0.0785754
2.24208	-0.917406	2.13646	0.00537398	-0.0560851	-0.37076	-0.012221	0.0443124	0.15729	0.0304769	-0.0781488
2.24424	-0.917527	2.13566	0.0053477	-0.0559897	-0.370421	-0.0121555	0.0441898	0.156974	0.0303089	-0.0777241
2.2464	-0.917647	2.13486	0.00532154	-0.0558944	-0.370083	-0.0120902	0.0440676	0.156659	0.0301416	-0.0773011
2.24856	-0.917768	2.13406	0.0052955	-0.0557994	-0.369745	-0.0120253	0.0439458	0.156344	0.0299751	-0.0768799
2.25072	-0.917889	2.13326	0.00526957	-0.0557045	-0.369407	-0.0119607	0.0438242	0.15603	0.0298093	-0.0764606
2.25288	-0.918009	2.13246	0.00524375	-0.0556098	-0.36907	-0.0118963	0.043703	0.155717	0.0296443	-0.0760429
2.25505	-0.918129	2.13166	0.00521805	-0.0555152	-0.368733	-0.0118323	0.0435822	0.155404	0.02948	-0.0756271
2.25722	-0.91825	2.13086	0.00519246	-0.0554209	-0.368396	-0.0117686	0.0434616	0.155092	0.0293164	-0.075213
2.25939	-0.91837	2.13006	0.00516699	-0.0553267	-0.36806	-0.0117051	0.0433414	0.15478	0.0291536	-0.0748007
2.26156	-0.91849	2.12926	0.00514163	-0.0552326	-0.367724	-0.011642	0.0432215	0.154469	0.0289916	-0.0743902
2.26374	-0.91861	2.12847	0.00511638	-0.0551388	-0.367388	-0.0115791	0.0431019	0.154158	0.0288303	-0.0739814
2.26591	-0.91873	2.12767	0.00509124	-0.0550451	-0.367053	-0.0115165	0.0429827	0.153848	0.0286697	-0.0735743
2.26809	-0.91885	2.12687	0.00506622	-0.0549516	-0.366718	-0.0114542	0.0428638	0.153539	0.0285098	-0.073169
2.27027	-0.91897	2.12607	0.00504131	-0.0548582	-0.366384	-0.0113922	0.0427452	0.15323	0.0283507	-0.0727654
2.27246	-0.919089	2.12527	0.0050165	-0.054765	-0.36605	-0.0113305	0.0426269	0.152922	0.0281923	-0.0723636
2.27464	-0.919209	2.12447	0.00499181	-0.054672	-0.365716	-0.0112691	0.0425089	0.152614	0.0280346	-0.0719635
2.27683	-0.919328	2.12367	0.00496723	-0.0545792	-0.365382	-0.0112079	0.0423913	0.152307	0.0278776	-0.0715651
2.27902	-0.919448	2.12287	0.00494276	-0.0544865	-0.365049	-0.0111471	0.042274	0.152001	0.0277214	-0.0711685
2.28121	-0.919567	2.12207	0.0049184	-0.054394	-0.364716	-0.0110865	0.042157	0.151695	0.0275659	-0.0707735
2.2834	-0.919686	2.12127	0.00489415	-0.0543016	-0.364384	-0.0110262	0.0420403	0.151389	0.0274111	-0.0703803
