z	u	VVM	VAVM	VPSM	VSM	VSAVM
6.68298	7.59751	286.139	292.343	297.514	6.84496e+10	1.47069e+103
6.68234	7.5968	286.093	292.297	297.468	6.80467e+10	1.40488e+103
6.6817	7.5961	286.047	292.251	297.422	6.76461e+10	1.34202e+103
6.68106	7.59539	286.001	292.205	297.376	6.7248e+10	1.28197e+103
6.68042	7.59469	285.954	292.159	297.331	6.68522e+10	1.22461e+103
6.67978	7.59399	285.908	292.114	297.285	6.64587e+10	1.16982e+103
6.67914	7.59328	285.862	292.068	297.239	6.60676e+10	1.11748e+103
6.6785	7.59258	285.816	292.022	297.193	6.56788e+10	1.06748e+103
6.67786	7.59187	285.77	291.976	297.147	6.52923e+10	1.01972e+103
6.67722	7.59117	285.724	291.93	297.102	6.4908e+10	9.74093e+102
6.67658	7.59046	285.678	291.885	297.056	6.45261e+10	9.3051e+102
6.67594	7.58976	285.631	291.839	297.01	6.41464e+10	8.88877e+102
6.6753	7.58906	285.585	291.793	296.964	6.37689e+10	8.49107e+102
6.67466	7.58835	285.539	291.747	296.918	6.33937e+10	8.11117e+102
6.67402	7.58765	285.493	291.701	296.873	6.30207e+10	7.74826e+102
6.67338	7.58694	285.447	291.655	296.827	6.26499e+10	7.40159e+102
6.67274	7.58624	285.401	291.61	296.781	6.22813e+10	7.07044e+102
6.6721	7.58553	285.355	291.564	296.735	6.19149e+10	6.7541e+102
6.67146	7.58483	285.308	291.518	296.689	6.15506e+10	6.45192e+102
6.67082	7.58412	285.262	291.472	296.644	6.11885e+10	6.16325e+102
6.67018	7.58342	285.216	291.426	296.598	6.08286e+10	5.88751e+102
6.66954	7.58271	285.17	291.381	296.552	6.04707e+10	5.6241e+102
6.66889	7.58201	285.124	291.335	296.506	6.0115e+10	5.37248e+102
6.66825	7.5813	285.078	291.289	296.46	5.97614e+10	5.13212e+102
6.66761	7.5806	285.031	291.243	296.415	5.94099e+10	4.90251e+102
6.66697	7.57989	284.985	291.197	296.369	5.90604e+10	4.68317e+102
6.66633	7.57918	284.939	291.152	296.323	5.87131e+10	4.47365e+102
6.66569	7.57848	284.893	291.106	296.277	5.83677e+10	4.27351e+102
6.66505	7.57777	284.847	291.06	296.231	5.80244e+10	4.08231e+102
6.66441	7.57707	284.801	291.014	296.186	5.76832e+10	3.89968e+102
6.66376	7.57636	284.755	290.968	296.14	5.7344e+10	3.72521e+102
6.66312	7.57566	284.708	290.922	296.094	5.70067e+10	3.55855e+102
6.66248	7.57495	284.662	290.877	296.048	5.66715e+10	3.39935e+102
6.66184	7.57424	284.616	290.831	296.002	5.63382e+10	3.24727e+102
6.6612	7.57354	284.57	290.785	295.957	5.6007e+10	3.102e+102
6.66056	7.57283	284.524	290.739	295.911	5.56776e+10	2.96322e+102
6.65992	7.57213	284.478	290.693	295.865	5.53502e+10	2.83066e+102
6.65927	7.57142	284.431	290.648	295.819	5.50248e+10	2.70402e+102
6.65863	7.57071	284.385	290.602	295.773	5.47013e+10	2.58305e+102
6.65799	7.57001	284.339	290.556	295.728	5.43797e+10	2.46749e+102
6.65735	7.5693	284.293	290.51	295.682	5.406e+10	2.35711e+102
6.65671	7.56859	284.247	290.464	295.636	5.37421e+10	2.25166e+102
6.65606	7.56789	284.201	290.418	295.59	5.34262e+10	2.15093e+102
6.65542	7.56718	284.154	290.373	295.544	5.31121e+10	2.05471e+102
6.65478	7.56648	284.108	290.327	295.499	5.27999e+10	1.96279e+102
6.65414	7.56577	284.062	290.281	295.453	5.24895e+10	1.87498e+102
6.6535	7.56506	284.016	290.235	295.407	5.2181e+10	1.7911e+102
6.65285	7.56436	283.97	290.189	295.361	5.18743e+10	1.71098e+102
6.65221	7.56365	283.924	290.144	295.315	5.15694e+10	1.63444e+102
6.65157	7.56294	283.877	290.098	295.27	5.12663e+10	1.56132e+102
6.65093	7.56223	283.831	290.052	295.224	5.0965e+10	1.49148e+102
6.65028	7.56153	283.785	290.006	295.178	5.06654e+10	1.42476e+102
6.64964	7.56082	283.739	289.96	295.132	5.03677e+10	1.36102e+102
6.649	7.56011	283.693	289.914	295.086	5.00717e+10	1.30014e+102
6.64836	7.55941	283.647	289.869	295.041	4.97774e+10	1.24198e+102
6.64771	7.5587	283.6	289.823	294.995	4.94849e+10	1.18642e+102
6.64707	7.55799	283.554	289.777	294.949	4.91941e+10	1.13335e+102
6.64643	7.55728	283.508	289.731	294.903	4.8905e+10	1.08265e+102
6.64578	7.55658	283.462	289.685	294.857	4.86177e+10	1.03422e+102
6.64514	7.55587	283.416	289.639	294.812	4.8332e+10	9.87958e+101
6.6445	7.55516	283.37	289.594	294.766	4.8048e+10	9.43764e+101
6.64386	7.55445	283.323	289.548	294.72	4.77657e+10	9.01548e+101
6.64321	7.55375	283.277	289.502	294.674	4.74851e+10	8.6122e+101
6.64257	7.55304	283.231	289.456	294.628	4.72061e+10	8.22696e+101
6.64193	7.55233	283.185	289.41	294.582	4.69288e+10	7.85895e+101
6.64128	7.55162	283.139	289.365	294.537	4.66531e+10	7.50741e+101
6.64064	7.55091	283.093	289.319	294.491	4.6379e+10	7.1716e+101
6.64	7.55021	283.046	289.273	294.445	4.61066e+10	6.85081e+101
6.63935	7.5495	283	289.227	294.399	4.58357e+10	6.54436e+101
6.63871	7.54879	282.954	289.181	294.353	4.55665e+10	6.25163e+101
6.63807	7.54808	282.908	289.135	294.308	4.52989e+10	5.97199e+101
6.63742	7.54737	282.862	289.09	294.262	4.50328e+10	5.70486e+101
6.63678	7.54667	282.816	289.044	294.216	4.47683e+10	5.44969e+101
6.63613	7.54596	282.769	288.998	294.17	4.45054e+10	5.20592e+101
