A	q	Phi	tau	dq/dA	dPhi/dA	dtau/dA	d2q/dA2	d2Phi/dA2	d2tau/dA2	d3tau/dA3
-54.88	-9.73856e-26	88.2317	19.1876	-9.82498e-26	-1.50664	-0.116105	-9.9137e-26	-0.00011811	-0.00133557	1.77418e+07
-54.87	-9.83731e-26	88.2166	19.1865	-9.92462e-26	-1.50664	-0.116118	-1.00143e-25	-0.000118152	-0.00133597	1.76434e+07
-54.86	-9.93706e-26	88.2016	19.1853	-1.00253e-25	-1.50664	-0.116131	-1.01158e-25	-0.000118195	-0.00133636	1.75455e+07
-54.85	-1.00378e-25	88.1865	19.1841	-1.01269e-25	-1.50664	-0.116145	-1.02184e-25	-0.000118237	-0.00133675	1.74482e+07
-54.84	-1.01396e-25	88.1714	19.183	-1.02296e-25	-1.50665	-0.116158	-1.03221e-25	-0.000118279	-0.00133714	1.73515e+07
-54.83	-1.02424e-25	88.1564	19.1818	-1.03334e-25	-1.50665	-0.116171	-1.04268e-25	-0.000118321	-0.00133754	1.72553e+07
-54.82	-1.03463e-25	88.1413	19.1806	-1.04382e-25	-1.50665	-0.116185	-1.05325e-25	-0.000118363	-0.00133793	1.71596e+07
-54.81	-1.04512e-25	88.1262	19.1795	-1.0544e-25	-1.50665	-0.116198	-1.06394e-25	-0.000118406	-0.00133832	1.70645e+07
-54.8	-1.05572e-25	88.1112	19.1783	-1.0651e-25	-1.50665	-0.116212	-1.07473e-25	-0.000118448	-0.00133872	1.69699e+07
-54.79	-1.06642e-25	88.0961	19.1772	-1.0759e-25	-1.50665	-0.116225	-1.08563e-25	-0.00011849	-0.00133911	1.68758e+07
-54.78	-1.07723e-25	88.081	19.176	-1.08681e-25	-1.50665	-0.116238	-1.09664e-25	-0.000118533	-0.00133951	1.67822e+07
-54.77	-1.08816e-25	88.066	19.1748	-1.09783e-25	-1.50665	-0.116252	-1.10777e-25	-0.000118575	-0.0013399	1.66892e+07
-54.76	-1.09919e-25	88.0509	19.1737	-1.10897e-25	-1.50665	-0.116265	-1.119e-25	-0.000118617	-0.00134029	1.65967e+07
-54.75	-1.11034e-25	88.0358	19.1725	-1.12021e-25	-1.50666	-0.116279	-1.13035e-25	-0.00011866	-0.00134069	1.65047e+07
-54.74	-1.1216e-25	88.0208	19.1713	-1.13157e-25	-1.50666	-0.116292	-1.14182e-25	-0.000118702	-0.00134108	1.64132e+07
-54.73	-1.13297e-25	88.0057	19.1702	-1.14305e-25	-1.50666	-0.116305	-1.1534e-25	-0.000118745	-0.00134148	1.63222e+07
-54.72	-1.14446e-25	87.9906	19.169	-1.15464e-25	-1.50666	-0.116319	-1.1651e-25	-0.000118787	-0.00134187	1.62318e+07
-54.71	-1.15606e-25	87.9756	19.1679	-1.16635e-25	-1.50666	-0.116332	-1.17692e-25	-0.000118829	-0.00134227	1.61418e+07
-54.7	-1.16778e-25	87.9605	19.1667	-1.17818e-25	-1.50666	-0.116346	-1.18885e-25	-0.000118872	-0.00134266	1.60524e+07
-54.69	-1.17963e-25	87.9454	19.1655	-1.19013e-25	-1.50666	-0.116359	-1.20091e-25	-0.000118914	-0.00134306	1.59634e+07
-54.68	-1.19159e-25	87.9304	19.1644	-1.2022e-25	-1.50666	-0.116372	-1.21309e-25	-0.000118957	-0.00134345	1.5875e+07
-54.67	-1.20367e-25	87.9153	19.1632	-1.21439e-25	-1.50667	-0.116386	-1.2254e-25	-0.000119	-0.00134385	1.5787e+07
-54.66	-1.21588e-25	87.9002	19.162	-1.22671e-25	-1.50667	-0.116399	-1.23783e-25	-0.000119042	-0.00134425	1.56995e+07
-54.65	-1.2282e-25	87.8852	19.1609	-1.23915e-25	-1.50667	-0.116413	-1.25039e-25	-0.000119085	-0.00134464	1.56125e+07
-54.64	-1.24066e-25	87.8701	19.1597	-1.25172e-25	-1.50667	-0.116426	-1.26307e-25	-0.000119127	-0.00134504	1.5526e+07
-54.63	-1.25324e-25	87.855	19.1585	-1.26441e-25	-1.50667	-0.11644	-1.27588e-25	-0.00011917	-0.00134544	1.544e+07
-54.62	-1.26595e-25	87.84	19.1574	-1.27723e-25	-1.50667	-0.116453	-1.28882e-25	-0.000119213	-0.00134583	1.53545e+07
-54.61	-1.27878e-25	87.8249	19.1562	-1.29019e-25	-1.50667	-0.116467	-1.3019e-25	-0.000119256	-0.00134623	1.52694e+07
-54.6	-1.29175e-25	87.8098	19.1551	-1.30327e-25	-1.50667	-0.11648	-1.3151e-25	-0.000119298	-0.00134663	1.51849e+07
-54.59	-1.30485e-25	87.7948	19.1539	-1.31649e-25	-1.50667	-0.116494	-1.32844e-25	-0.000119341	-0.00134703	1.51008e+07
-54.58	-1.31808e-25	87.7797	19.1527	-1.32984e-25	-1.50668	-0.116507	-1.34192e-25	-0.000119384	-0.00134742	1.50171e+07
