z	u	VVM	VAVM	VPSM	VSM	VSAVM
8.08583	131.152	494180	514148	514152	494180	514148
8.08526	131.129	494010	513974	513978	494010	513974
8.08469	131.107	493840	513800	513804	493840	513800
8.08413	131.084	493670	513626	513630	493671	513626
8.08356	131.061	493501	513452	513456	493501	513452
8.083	131.039	493331	513278	513282	493331	513278
8.08243	131.016	493162	513104	513108	493162	513104
8.08187	130.994	492992	512930	512934	492992	512930
8.0813	130.971	492823	512757	512761	492823	512757
8.08074	130.949	492653	512583	512587	492653	512583
8.08017	130.926	492484	512409	512413	492484	512409
8.0796	130.903	492314	512235	512240	492314	512235
8.07904	130.881	492145	512062	512066	492145	512062
8.07847	130.858	491976	511888	511892	491976	511888
8.07791	130.836	491806	511715	511719	491806	511715
8.07734	130.813	491637	511541	511545	491637	511541
8.07678	130.791	491468	511368	511372	491468	511368
8.07621	130.768	491299	511194	511198	491299	511194
8.07564	130.745	491129	511021	511025	491129	511021
8.07508	130.723	490960	510847	510852	490960	510847
8.07451	130.7	490791	510674	510678	490791	510674
8.07394	130.678	490622	510501	510505	490622	510501
8.07338	130.655	490453	510328	510332	490453	510328
8.07281	130.633	490284	510154	510158	490284	510154
8.07225	130.61	490115	509981	509985	490115	509981
8.07168	130.588	489946	509808	509812	489946	509808
8.07111	130.565	489778	509635	509639	489778	509635
8.07055	130.542	489609	509462	509466	489609	509462
8.06998	130.52	489440	509289	509293	489440	509289
8.06941	130.497	489271	509116	509120	489271	509116
8.06885	130.475	489102	508943	508947	489102	508943
8.06828	130.452	488934	508770	508774	488934	508770
8.06772	130.43	488765	508597	508601	488765	508597
8.06715	130.407	488597	508424	508428	488597	508424
8.06658	130.385	488428	508251	508255	488428	508251
8.06602	130.362	488259	508079	508083	488259	508079
8.06545	130.339	488091	507906	507910	488091	507906
8.06488	130.317	487923	507733	507737	487923	507733
8.06432	130.294	487754	507560	507564	487754	507560
8.06375	130.272	487586	507388	507392	487586	507388
8.06318	130.249	487417	507215	507219	487417	507215
8.06262	130.227	487249	507043	507047	487249	507043
8.06205	130.204	487081	506870	506874	487081	506870
8.06148	130.182	486913	506698	506702	486913	506698
8.06091	130.159	486744	506525	506529	486744	506525
8.06035	130.137	486576	506353	506357	486576	506353
8.05978	130.114	486408	506180	506184	486408	506180
8.05921	130.092	486240	506008	506012	486240	506008
8.05865	130.069	486072	505836	505840	486072	505836
8.05808	130.047	485904	505663	505667	485904	505663
8.05751	130.024	485736	505491	505495	485736	505491
8.05695	130.001	485568	505319	505323	485568	505319
8.05638	129.979	485400	505147	505151	485400	505147
8.05581	129.956	485232	504975	504979	485232	504975
8.05524	129.934	485064	504803	504807	485064	504803
8.05468	129.911	484896	504630	504635	484896	504630
8.05411	129.889	484729	504458	504463	484729	504458
8.05354	129.866	484561	504287	504291	484561	504287
8.05297	129.844	484393	504115	504119	484393	504115
8.05241	129.821	484226	503943	503947	484226	503943
8.05184	129.799	484058	503771	503775	484058	503771
8.05127	129.776	483890	503599	503603	483890	503599
8.0507	129.754	483723	503427	503431	483723	503427
8.05014	129.731	483555	503255	503259	483555	503255
8.04957	129.709	483388	503084	503088	483388	503084
8.049	129.686	483220	502912	502916	483220	502912
8.04843	129.664	483053	502740	502744	483053	502740
8.04787	129.641	482886	502569	502573	482886	502569
8.0473	129.619	482718	502397	502401	482718	502397
8.04673	129.596	482551	502226	502230	482551	502226
8.04616	129.574	482384	502054	502058	482384	502054
8.04559	129.551	482216	501883	501887	482216	501883
8.04503	129.529	482049	501711	501715	482049	501711
8.04446	129.506	481882	501540	501544	481882	501540
8.04389	129.484	481715	501368	501373	481715	501368
8.04332	129.461	481548	501197	501201	481548	501197
8.04275	129.439	481381	501026	501030	481381	501026
8.04219	129.416	481214	500855	500859	481214	500855
8.04162	129.394	481047	500683	500687	481047	500683
8.04105	129.371	480880	500512	500516	480880	500512
8.04048	129.349	480713	500341	500345	480713	500341
8.03991	129.326	480546	500170	500174	480546	500170
8.03934	129.304	480379	499999	500003	480379	499999
8.03878	129.281	480213	499828	499832	480213	499828
8.03821	129.259	480046	499657	499661	480046	499657
8.03764	129.236	479879	499486	499490	479879	499486
8.03707	129.214	479712	499315	499319	479712	499315
8.0365	129.191	479546	499144	499148	479546	499144
8.03593	129.169	479379	498973	498977	479379	498973
8.03536	129.146	479213	498802	498807	479213	498802
8.0348	129.124	479046	498632	498636	479046	498632
8.03423	129.101	478880	498461	498465	478880	498461
8.03366	129.079	478713	498290	498294	478713	498290
8.03309	129.056	478547	498120	498124	478547	498120
8.03252	129.034	478380	497949	497953	478380	497949
8.03195	129.011	478214	497778	497782	478214	497778
8.03138	128.989	478048	497608	497612	478048	497608
8.03081	128.966	477881	497437	497441	477881	497437
8.03025	128.944	477715	497267	497271	477715	497267
8.02968	128.921	477549	497096	497100	477549	497096
8.02911	128.899	477383	496926	496930	477383	496926
8.02854	128.876	477217	496756	496760	477217	496756
8.02797	128.854	477050	496585	496589	477050	496585
8.0274	128.831	476884	496415	496419	476884	496415
8.02683	128.809	476718	496245	496249	476718	496245
8.02626	128.786	476552	496074	496079	476552	496074
8.02569	128.764	476386	495904	495908	476386	495904
8.02512	128.741	476220	495734	495738	476220	495734
8.02455	128.719	476055	495564	495568	476055	495564
8.02399	128.696	475889	495394	495398	475889	495394
8.02342	128.674	475723	495224	495228	475723	495224
8.02285	128.652	475557	495054	495058	475557	495054
8.02228	128.629	475391	494884	494888	475391	494884
8.02171	128.607	475226	494714	494718	475226	494714
8.02114	128.584	475060	494544	494548	475060	494544
8.02057	128.562	474894	494374	494378	474894	494374
8.02	128.539	474729	494204	494208	474729	494204
8.01943	128.517	474563	494035	494039	474563	494035
8.01886	128.494	474398	493865	493869	474398	493865
8.01829	128.472	474232	493695	493699	474232	493695
8.01772	128.449	474067	493525	493530	474067	493525
8.01715	128.427	473901	493356	493360	473901	493356
8.01658	128.404	473736	493186	493190	473736	493186
8.01601	128.382	473571	493017	493021	473571	493017
8.01544	128.359	473405	492847	492851	473405	492847
8.01487	128.337	473240	492678	492682	473240	492678
8.0143	128.315	473075	492508	492512	473075	492508
8.01373	128.292	472909	492339	492343	472910	492339
8.01316	128.27	472744	492169	492173	472744	492169
8.01259	128.247	472579	492000	492004	472579	492000
8.01202	128.225	472414	491831	491835	472414	491831
8.01145	128.202	472249	491661	491665	472249	491661
8.01088	128.18	472084	491492	491496	472084	491492
8.01031	128.157	471919	491323	491327	471919	491323
8.00974	128.135	471754	491154	491158	471754	491154
8.00917	128.113	471589	490985	490989	471589	490985
8.0086	128.09	471424	490816	490820	471424	490816
8.00803	128.068	471259	490647	490651	471259	490647
8.00746	128.045	471095	490477	490482	471095	490477
8.00689	128.023	470930	490308	490313	470930	490308
8.00632	128	470765	490140	490144	470765	490140
8.00575	127.978	470600	489971	489975	470600	489971
8.00518	127.955	470436	489802	489806	470436	489802
