z	u	VVM	VAVM	VPSM	VSM	VSAVM
8.54378	10.3548	390.271	391.746	396.851	826247	1.67635e+137
8.54321	10.3542	390.223	391.699	396.804	822487	1.60349e+137
8.54265	10.3535	390.175	391.651	396.756	818743	1.53379e+137
8.54208	10.3529	390.128	391.604	396.708	815017	1.46712e+137
8.54152	10.3522	390.08	391.556	396.661	811308	1.40335e+137
8.54095	10.3516	390.032	391.508	396.613	807616	1.34235e+137
8.54038	10.351	389.985	391.461	396.566	803941	1.284e+137
8.53982	10.3503	389.937	391.413	396.518	800282	1.22819e+137
8.53925	10.3497	389.889	391.366	396.47	796641	1.17481e+137
8.53869	10.349	389.842	391.318	396.423	793016	1.12374e+137
8.53812	10.3484	389.794	391.27	396.375	789408	1.0749e+137
8.53756	10.3478	389.746	391.223	396.328	785817	1.02818e+137
8.53699	10.3471	389.699	391.175	396.28	782242	9.83487e+136
8.53643	10.3465	389.651	391.127	396.232	778684	9.4074e+136
8.53586	10.3458	389.603	391.08	396.185	775142	8.99851e+136
8.53529	10.3452	389.556	391.032	396.137	771616	8.60739e+136
8.53473	10.3446	389.508	390.985	396.09	768106	8.23328e+136
8.53416	10.3439	389.46	390.937	396.042	764613	7.87543e+136
8.5336	10.3433	389.413	390.889	395.994	761135	7.53313e+136
8.53303	10.3426	389.365	390.842	395.947	757674	7.20572e+136
8.53247	10.342	389.317	390.794	395.899	754228	6.89253e+136
8.5319	10.3414	389.269	390.747	395.852	750799	6.59296e+136
8.53133	10.3407	389.222	390.699	395.804	747385	6.30641e+136
8.53077	10.3401	389.174	390.651	395.756	743987	6.03232e+136
8.5302	10.3394	389.126	390.604	395.709	740604	5.77014e+136
8.52964	10.3388	389.079	390.556	395.661	737237	5.51936e+136
8.52907	10.3382	389.031	390.509	395.614	733885	5.27947e+136
8.5285	10.3375	388.983	390.461	395.566	730549	5.05002e+136
8.52794	10.3369	388.936	390.413	395.518	727228	4.83054e+136
8.52737	10.3362	388.888	390.366	395.471	723923	4.6206e+136
8.5268	10.3356	388.84	390.318	395.423	720632	4.41978e+136
8.52624	10.335	388.793	390.27	395.376	717357	4.22769e+136
8.52567	10.3343	388.745	390.223	395.328	714097	4.04395e+136
8.52511	10.3337	388.697	390.175	395.28	710851	3.8682e+136
8.52454	10.333	388.65	390.128	395.233	707621	3.70009e+136
8.52397	10.3324	388.602	390.08	395.185	704405	3.53928e+136
8.52341	10.3318	388.554	390.032	395.138	701205	3.38547e+136
8.52284	10.3311	388.507	389.985	395.09	698018	3.23834e+136
8.52227	10.3305	388.459	389.937	395.042	694847	3.0976e+136
8.52171	10.3298	388.411	389.89	394.995	691690	2.96298e+136
8.52114	10.3292	388.364	389.842	394.947	688548	2.83421e+136
8.52057	10.3286	388.316	389.794	394.899	685420	2.71104e+136
8.52001	10.3279	388.268	389.747	394.852	682306	2.59323e+136
8.51944	10.3273	388.221	389.699	394.804	679207	2.48053e+136
8.51887	10.3266	388.173	389.652	394.757	676122	2.37273e+136
8.51831	10.326	388.125	389.604	394.709	673051	2.26962e+136
8.51774	10.3254	388.078	389.556	394.661	669994	2.17098e+136
8.51717	10.3247	388.03	389.509	394.614	666951	2.07664e+136
8.51661	10.3241	387.982	389.461	394.566	663922	1.9864e+136
8.51604	10.3234	387.934	389.413	394.519	660907	1.90007e+136
8.51547	10.3228	387.887	389.366	394.471	657906	1.8175e+136
8.5149	10.3222	387.839	389.318	394.423	654919	1.73852e+136
8.51434	10.3215	387.791	389.271	394.376	651945	1.66297e+136
8.51377	10.3209	387.744	389.223	394.328	648986	1.5907e+136
8.5132	10.3202	387.696	389.175	394.281	646039	1.52158e+136
8.51264	10.3196	387.648	389.128	394.233	643106	1.45546e+136
8.51207	10.3189	387.601	389.08	394.185	640187	1.39221e+136
8.5115	10.3183	387.553	389.032	394.138	637281	1.33171e+136
8.51093	10.3177	387.505	388.985	394.09	634388	1.27384e+136
8.51037	10.317	387.458	388.937	394.042	631509	1.21849e+136
8.5098	10.3164	387.41	388.89	393.995	628643	1.16554e+136
8.50923	10.3157	387.362	388.842	393.947	625790	1.11489e+136
8.50867	10.3151	387.315	388.794	393.9	622950	1.06645e+136
8.5081	10.3145	387.267	388.747	393.852	620123	1.02011e+136
8.50753	10.3138	387.219	388.699	393.804	617309	9.75778e+135
8.50696	10.3132	387.172	388.651	393.757	614508	9.33378e+135
8.5064	10.3125	387.124	388.604	393.709	611720	8.9282e+135
8.50583	10.3119	387.076	388.556	393.661	608944	8.54024e+135
8.50526	10.3113	387.028	388.509	393.614	606181	8.16915e+135
8.50469	10.3106	386.981	388.461	393.566	603431	7.81418e+135
8.50412	10.31	386.933	388.413	393.519	600694	7.47463e+135
8.50356	10.3093	386.885	388.366	393.471	597969	7.14985e+135
8.50299	10.3087	386.838	388.318	393.423	595257	6.83918e+135
8.50242	10.308	386.79	388.27	393.376	592557	6.542e+135
8.50185	10.3074	386.742	388.223	393.328	589869	6.25775e+135
8.50129	10.3068	386.695	388.175	393.281	587194	5.98584e+135
8.50072	10.3061	386.647	388.128	393.233	584531	5.72575e+135
8.50015	10.3055	386.599	388.08	393.185	581880	5.47696e+135
8.49958	10.3048	386.552	388.032	393.138	579242	5.23899e+135
8.49901	10.3042	386.504	387.985	393.09	576615	5.01135e+135
8.49845	10.3035	386.456	387.937	393.042	574001	4.79361e+135
