A	q	Phi	tau	dq/dA	dPhi/dA	dtau/dA	d2q/dA2	d2Phi/dA2	d2tau/dA2	d3tau/dA3
-1.71	-0.0546135	6.12427	2.12372	-0.0652058	-1.63902	-0.423151	-0.0832745	-0.0681447	-0.0401466	0.0976414
-1.7	-0.0552697	6.10788	2.11948	-0.0660445	-1.6397	-0.423547	-0.0844599	-0.0687749	-0.0390912	0.0996552
-1.69	-0.0559344	6.09148	2.11524	-0.0668951	-1.6404	-0.423933	-0.0856645	-0.0694092	-0.0380151	0.10169
-1.68	-0.0566077	6.07507	2.111	-0.0677578	-1.64109	-0.424307	-0.0868885	-0.0700476	-0.0369182	0.103746
-1.67	-0.0572896	6.05865	2.10676	-0.0686329	-1.6418	-0.424671	-0.0881323	-0.0706899	-0.0358004	0.105823
-1.66	-0.0579804	6.04223	2.10251	-0.0695205	-1.64251	-0.425023	-0.0893963	-0.071336	-0.0346613	0.10792
-1.65	-0.0586801	6.0258	2.09826	-0.0704209	-1.64322	-0.425364	-0.0906808	-0.0719859	-0.0335008	0.110039
-1.64	-0.0593889	6.00937	2.094	-0.0713342	-1.64395	-0.425693	-0.0919862	-0.0726393	-0.0323187	0.112177
-1.63	-0.0601068	5.99293	2.08974	-0.0722607	-1.64468	-0.42601	-0.0933128	-0.0732962	-0.0311148	0.114337
-1.62	-0.0608341	5.97648	2.08548	-0.0732005	-1.64541	-0.426315	-0.0946611	-0.0739565	-0.0298889	0.116516
-1.61	-0.0615709	5.96002	2.08122	-0.074154	-1.64616	-0.426608	-0.0960314	-0.07462	-0.0286409	0.118716
-1.6	-0.0623172	5.94355	2.07695	-0.0751212	-1.6469	-0.426888	-0.0974242	-0.0752865	-0.0273705	0.120935
-1.59	-0.0630733	5.92708	2.07268	-0.0761025	-1.64766	-0.427155	-0.0988397	-0.0759559	-0.0260776	0.123175
-1.58	-0.0638393	5.9106	2.06841	-0.0770981	-1.64842	-0.42741	-0.100279	-0.076628	-0.0247619	0.125433
-1.57	-0.0646154	5.89411	2.06413	-0.0781082	-1.64919	-0.427651	-0.101741	-0.0773028	-0.0234234	0.127712
-1.56	-0.0654015	5.87762	2.05985	-0.079133	-1.64997	-0.427878	-0.103227	-0.0779798	-0.0220618	0.130009
-1.55	-0.0661981	5.86111	2.05557	-0.0801728	-1.65075	-0.428092	-0.104738	-0.0786591	-0.0206769	0.132325
-1.54	-0.0670051	5.8446	2.05129	-0.0812279	-1.65154	-0.428292	-0.106274	-0.0793403	-0.0192687	0.13466
-1.53	-0.0678227	5.82808	2.04701	-0.0822984	-1.65234	-0.428477	-0.107835	-0.0800233	-0.0178368	0.137012
-1.52	-0.0686511	5.81155	2.04272	-0.0833846	-1.65314	-0.428648	-0.109422	-0.0807078	-0.0163813	0.139383
-1.51	-0.0694904	5.79502	2.03844	-0.0844869	-1.65395	-0.428805	-0.111035	-0.0813935	-0.0149018	0.141772
-1.5	-0.0703409	5.77847	2.03415	-0.0856054	-1.65477	-0.428946	-0.112675	-0.0820803	-0.0133983	0.144178
-1.49	-0.0712026	5.76192	2.02986	-0.0867405	-1.6556	-0.429073	-0.114342	-0.0827679	-0.0118706	0.1466
-1.48	-0.0720757	5.74536	2.02557	-0.0878924	-1.65643	-0.429183	-0.116036	-0.0834559	-0.0103185	0.149039
-1.47	-0.0729605	5.72879	2.02127	-0.0890613	-1.65727	-0.429279	-0.117759	-0.0841441	-0.00874195	0.151495
-1.46	-0.073857	5.71222	2.01698	-0.0902476	-1.65811	-0.429358	-0.11951	-0.0848322	-0.00714078	0.153966
-1.45	-0.0747655	5.69563	2.01269	-0.0914516	-1.65896	-0.429422	-0.12129	-0.0855199	-0.00551487	0.156452
-1.44	-0.0756861	5.67904	2.00839	-0.0926736	-1.65982	-0.429468	-0.1231	-0.0862068	-0.00386407	0.158953
-1.43	-0.076619	5.66244	2.0041	-0.0939137	-1.66069	-0.429499	-0.12494	-0.0868925	-0.00218829	0.161468
-1.42	-0.0775644	5.64582	1.9998	-0.0951725	-1.66156	-0.429512	-0.12681	-0.0875767	-0.000487388	0.163997
-1.41	-0.0785225	5.6292	1.99551	-0.09645	-1.66244	-0.429508	-0.128712	-0.088259	0.00123873	0.166539
-1.4	-0.0794935	5.61258	1.99121	-0.0977468	-1.66332	-0.429487	-0.130645	-0.088939	0.00299016	0.169094
-1.39	-0.0804775	5.59594	1.98692	-0.099063	-1.66422	-0.429449	-0.13261	-0.0896163	0.004767	0.17166
-1.38	-0.0814748	5.57929	1.98262	-0.100399	-1.66512	-0.429392	-0.134607	-0.0902904	0.00656934	0.174237
-1.37	-0.0824856	5.56263	1.97833	-0.101755	-1.66602	-0.429317	-0.136638	-0.0909608	0.00839725	0.176825
-1.36	-0.08351	5.54597	1.97404	-0.103132	-1.66693	-0.429224	-0.138702	-0.0916271	0.0102508	0.179422
-1.35	-0.0845483	5.5293	1.96975	-0.104529	-1.66785	-0.429112	-0.140801	-0.0922887	0.0121301	0.182028
-1.34	-0.0856007	5.51261	1.96545	-0.105948	-1.66878	-0.428981	-0.142934	-0.0929451	0.0140351	0.184642
-1.33	-0.0866673	5.49592	1.96117	-0.107388	-1.66971	-0.428831	-0.145103	-0.0935959	0.0159659	0.187263
-1.32	-0.0877485	5.47922	1.95688	-0.10885	-1.67065	-0.428662	-0.147307	-0.0942402	0.0179225	0.18989
-1.31	-0.0888444	5.46251	1.95259	-0.110335	-1.6716	-0.428473	-0.149548	-0.0948777	0.019905	0.192522
-1.3	-0.0899553	5.44579	1.94831	-0.111841	-1.67255	-0.428264	-0.151825	-0.0955076	0.0219134	0.195158
-1.29	-0.0910813	5.42906	1.94403	-0.113371	-1.67351	-0.428034	-0.15414	-0.0961293	0.0239476	0.197797
-1.28	-0.0922228	5.41232	1.93975	-0.114924	-1.67447	-0.427784	-0.156493	-0.096742	0.0260077	0.200437
-1.27	-0.0933799	5.39557	1.93547	-0.116501	-1.67544	-0.427514	-0.158885	-0.0973452	0.0280936	0.203077
-1.26	-0.0945529	5.37881	1.9312	-0.118102	-1.67642	-0.427223	-0.161316	-0.097938	0.0302053	0.205716
-1.25	-0.095742	5.36204	1.92693	-0.119728	-1.6774	-0.42691	-0.163786	-0.0985196	0.0323427	0.208353
-1.24	-0.0969475	5.34526	1.92266	-0.121378	-1.67839	-0.426576	-0.166297	-0.0990892	0.0345058	0.210985
-1.23	-0.0981696	5.32847	1.9184	-0.123054	-1.67938	-0.42622	-0.168848	-0.0996461	0.0366944	0.213611
-1.22	-0.0994087	5.31167	1.91414	-0.124755	-1.68038	-0.425842	-0.171441	-0.100189	0.0389084	0.21623
-1.21	-0.100665	5.29486	1.90988	-0.126483	-1.68139	-0.425441	-0.174075	-0.100718	0.0411478	0.21884
-1.2	-0.101938	5.27804	1.90563	-0.128237	-1.6824	-0.425019	-0.176752	-0.101231	0.0434124	0.221438
-1.19	-0.10323	5.26122	1.90138	-0.130018	-1.68341	-0.424573	-0.179471	-0.101727	0.0457021	0.224023
-1.18	-0.104539	5.24438	1.89714	-0.131826	-1.68443	-0.424104	-0.182234	-0.102206	0.0480165	0.226592
-1.17	-0.105866	5.22753	1.8929	-0.133663	-1.68546	-0.423613	-0.185041	-0.102666	0.0503556	0.229143
-1.16	-0.107212	5.21067	1.88866	-0.135527	-1.68648	-0.423097	-0.187892	-0.103107	0.0527191	0.231674
-1.15	-0.108577	5.1938	1.88443	-0.137421	-1.68752	-0.422558	-0.190788	-0.103526	0.0551067	0.234181
-1.14	-0.109961	5.17692	1.88021	-0.139343	-1.68856	-0.421995	-0.193729	-0.103923	0.0575182	0.236663
-1.13	-0.111364	5.16003	1.87599	-0.141295	-1.6896	-0.421408	-0.196716	-0.104297	0.0599532	0.239117
-1.12	-0.112787	5.14312	1.87178	-0.143278	-1.69064	-0.420796	-0.199748	-0.104647	0.0624114	0.241538
-1.11	-0.11423	5.12621	1.86758	-0.14529	-1.69169	-0.420159	-0.202828	-0.10497	0.0648924	0.243924
-1.1	-0.115693	5.10929	1.86338	-0.147334	-1.69274	-0.419498	-0.205954	-0.105266	0.0673957	0.246272
-1.09	-0.117176	5.09236	1.85919	-0.14941	-1.69379	-0.418811	-0.209128	-0.105532	0.0699211	0.248577
-1.08	-0.118681	5.07541	1.855	-0.151517	-1.69485	-0.418099	-0.212349	-0.105769	0.0724679	0.250836
-1.07	-0.120207	5.05846	1.85083	-0.153657	-1.69591	-0.417362	-0.215618	-0.105973	0.0750356	0.253045
-1.06	-0.121754	5.0415	1.84666	-0.15583	-1.69697	-0.416599	-0.218936	-0.106144	0.0776237	0.255199
-1.05	-0.123323	5.02452	1.8425	-0.158036	-1.69803	-0.415809	-0.222301	-0.106279	0.0802316	0.257293
-1.04	-0.124915	5.00754	1.83834	-0.160276	-1.6991	-0.414994	-0.225716	-0.106378	0.0828585	0.259323
-1.03	-0.126529	4.99054	1.8342	-0.16255	-1.70016	-0.414152	-0.229179	-0.106437	0.0855038	0.261284
-1.02	-0.128166	4.97353	1.83006	-0.164859	-1.70122	-0.413284	-0.23269	-0.106456	0.0881667	0.263169
-1.01	-0.129826	4.95652	1.82593	-0.167204	-1.70229	-0.412389	-0.236251	-0.106432	0.0908464	0.264974
-1	-0.13151	4.93949	1.82181	-0.169585	-1.70335	-0.411467	-0.239861	-0.106363	0.0935419	0.266691
-0.99	-0.133218	4.92245	1.8177	-0.172002	-1.70442	-0.410518	-0.24352	-0.106248	0.0962525	0.268315
-0.98	-0.13495	4.9054	1.8136	-0.174455	-1.70548	-0.409542	-0.247227	-0.106083	0.0989769	0.269839
-0.97	-0.136707	4.88834	1.80951	-0.176946	-1.70654	-0.408538	-0.250983	-0.105867	0.101714	0.271255
-0.96	-0.13849	4.87127	1.80543	-0.179475	-1.70759	-0.407507	-0.254788	-0.105598	0.104463	0.272555
-0.95	-0.140297	4.85419	1.80136	-0.182042	-1.70865	-0.406449	-0.25864	-0.105272	0.107223	0.273732
-0.94	-0.142131	4.8371	1.7973	-0.184648	-1.7097	-0.405363	-0.26254	-0.104888	0.109991	0.274777
-0.93	-0.14399	4.81999	1.79325	-0.187293	-1.71075	-0.404249	-0.266488	-0.104443	0.112768	0.275681
-0.92	-0.145876	4.80288	1.78922	-0.189978	-1.71179	-0.403108	-0.270482	-0.103935	0.11555	0.276434
-0.91	-0.14779	4.78576	1.78519	-0.192703	-1.71283	-0.401938	-0.274522	-0.10336	0.118338	0.277027
-0.9	-0.149731	4.76862	1.78118	-0.195469	-1.71386	-0.400741	-0.278607	-0.102715	0.121128	0.277449
-0.89	-0.151699	4.75148	1.77718	-0.198275	-1.71488	-0.399516	-0.282737	-0.101998	0.123919	0.277688
-0.88	-0.153696	4.73433	1.77319	-0.201123	-1.7159	-0.398262	-0.286911	-0.101207	0.12671	0.277734
-0.87	-0.155722	4.71716	1.76921	-0.204014	-1.7169	-0.396981	-0.291126	-0.100336	0.129498	0.277574
-0.86	-0.157777	4.69999	1.76525	-0.206946	-1.7179	-0.395673	-0.295383	-0.0993844	0.132281	0.277195
-0.85	-0.159861	4.6828	1.7613	-0.209921	-1.71889	-0.394336	-0.29968	-0.0983476	0.135056	0.276584
-0.84	-0.161975	4.66561	1.75736	-0.21294	-1.71987	-0.392971	-0.304014	-0.0972225	0.137822	0.275726
-0.83	-0.16412	4.64841	1.75344	-0.216002	-1.72083	-0.391579	-0.308386	-0.0960055	0.140576	0.274607
-0.82	-0.166295	4.63119	1.74953	-0.219108	-1.72179	-0.39016	-0.312792	-0.094693	0.143315	0.273211
-0.81	-0.168502	4.61397	1.74564	-0.222258	-1.72273	-0.388713	-0.317231	-0.0932812	0.146036	0.271521
-0.8	-0.170741	4.59674	1.74176	-0.225452	-1.72365	-0.387239	-0.321701	-0.0917664	0.148737	0.269521
-0.79	-0.173011	4.5795	1.73789	-0.228692	-1.72456	-0.385739	-0.3262	-0.0901445	0.151413	0.267192
-0.78	-0.175315	4.56225	1.73404	-0.231976	-1.72546	-0.384211	-0.330724	-0.0884115	0.154062	0.264517
-0.77	-0.177651	4.54499	1.73021	-0.235306	-1.72633	-0.382657	-0.335271	-0.0865631	0.15668	0.261475
-0.76	-0.180021	4.52772	1.72639	-0.238682	-1.72719	-0.381078	-0.339838	-0.0845952	0.159263	0.258046
-0.75	-0.182425	4.51045	1.72258	-0.242103	-1.72802	-0.379472	-0.344423	-0.0825032	0.161808	0.254209
