#: table_doi: 10.17182/hepdata.49907.v1/t6
#: name: Table 6
#: description: Results of F2/ALPHAE for the LEP2 data using the SW for Q**2 = 17.8 GeV**2.

#: data_file: Table6.yaml
#: keyword reactions: E+ E- --> E+ E- X | GAMMA GAMMA --> X
#: keyword observables: F2
#: keyword phrases: Inclusive | Exclusive | Structure Function | Photoproduction | Two-Photon | E+ E- Scattering | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 91.0
#: RE,,,GAMMA GAMMA --> X
#: Q**2 [GeV^2],,,17.8
#: SQRT(S) (C=E+E-) [GEV**2],,,183 + 189
#: SQRT(S) [GeV],,,91.0
X,X LOW,X HIGH,F2/ALPHAE,stat +,stat -,sys +,sys -
0.0033,0.0015,0.0074,0.428,0.061,-0.061,0.055,-0.071
0.0166,0.0074,0.0369,0.295,0.019,-0.019,0.033,-0.02
0.0821,0.0369,0.1827,0.336,0.013,-0.013,0.041,-0.042
0.3483,0.1827,0.9048,0.43,0.013,-0.013,0.032,-0.025

