#: table_doi: 10.17182/hepdata.49907.v1/t4
#: name: Table 4
#: description: Results of F2/ALPHAE for the LEP2 data using the SW for Q**2 = 10.7 GeV**2.

#: data_file: Table4.yaml
#: keyword reactions: E+ E- --> E+ E- X | GAMMA GAMMA --> X
#: keyword observables: F2
#: keyword phrases: Inclusive | Exclusive | Structure Function | Photoproduction | Two-Photon | E+ E- Scattering | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 91.0
#: RE,,,GAMMA GAMMA --> X
#: Q**2 [GeV^2],,,10.7
#: SQRT(S) (C=E+E-) [GEV**2],,,183 + 189
#: SQRT(S) [GeV],,,91.0
X,X LOW,X HIGH,F2/ALPHAE,stat +,stat -,sys +,sys -
0.0021,0.0009,0.005,0.362,0.045,-0.045,0.058,-0.039
0.0117,0.005,0.0273,0.263,0.015,-0.015,0.032,-0.03
0.0639,0.0273,0.1496,0.275,0.011,-0.011,0.029,-0.03
0.3143,0.1496,0.8187,0.351,0.012,-0.012,0.025,-0.016

