#: table_doi: 10.17182/hepdata.49907.v1/t5
#: name: Table 5
#: description: Results of F2/ALPHAE for the LEP1 data using the FD for Q**2 = 17.5 GeV**2.

#: data_file: Table5.yaml
#: keyword reactions: E+ E- --> E+ E- X | GAMMA GAMMA --> X
#: keyword observables: F2
#: keyword phrases: Inclusive | Exclusive | Structure Function | Photoproduction | Two-Photon | E+ E- Scattering | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 91.0
#: RE,,,GAMMA GAMMA --> X
#: SQRT(S) [GeV],,,91.0
#: Q**2 [GeV^2],,,17.5
#: SQRT(S) (C=E+E-) [GeV^2],,,91.0
X,X LOW,X HIGH,F2/ALPHAE,stat +,stat -,sys +,sys -
0.0439,0.0235,0.0821,0.273,0.028,-0.028,0.032,-0.039
0.1534,0.0821,0.2865,0.375,0.023,-0.023,0.02,-0.013
0.3945,0.2865,0.9048,0.501,0.027,-0.027,0.027,-0.019

