#: table_doi: 10.17182/hepdata.47770.v1/t2
#: name: Table 2
#: description: No description provided.
#: data_file: Table2.yaml
#: keyword reactions: E+ E- --> HADRONS | E+ E- --> Z0 | E- GAMMA --> E- HADRONS | E+ GAMMA --> E+ HADRONS | GAMMA* GAMMA --> HADRONS
#: keyword observables: F2
#: keyword phrases: Exclusive | Structure Function | Photoproduction | E+ E- Scattering | Electron production
#: keyword cmenergies: 0.001
#: RE,,,E+- GAMMA --> E+- HADRONS
#: Q2 [GeV^2],,,14.7
#: SQRT(S) [GeV],,,0.001
X,X LOW,X HIGH,F2/ALPHA,stat +,stat -,sys +,sys -
0.07150000000000001,0.006,0.137,0.38,0.01,-0.01,0.06,-0.13
0.2305,0.137,0.324,0.41,0.02,-0.02,0.06,-0.03
0.42300000000000004,0.324,0.522,0.41,0.03,-0.03,0.08,-0.11
0.679,0.522,0.836,0.54,0.05,-0.05,0.31,-0.13

