#: table_doi: 10.17182/hepdata.49109.v1/t9
#: name: Table 9
#: description: Bin to bin correlations in the extracted values of the photon structure function F2.

#: data_file: Table9.yaml
#: keyword reactions: E+ E- --> E- E+ HADRONS | GAMMA* GAMMA --> HADRONS
#: keyword observables: CORR | F2
#: keyword phrases: Exclusive | Structure Function | Photoproduction | E+ E- Scattering | Electron production
#: keyword cmenergies: 0.0
#: RE,,,,,GAMMA* GAMMA --> HADRONS
#: Q**2 [GeV^2],,,,,9.9
#: SQRT(S) [GeV],,,,,0.0
X,X LOW,X HIGH,X,X LOW,X HIGH,Bin to Bin Correlations [F2 Measurement]
0.0425,0.005,0.08,0.0425,0.005,0.08,1.0
0.14,0.08,0.2,0.0425,0.005,0.08,-
0.30000000000000004,0.2,0.4,0.0425,0.005,0.08,-
0.6000000000000001,0.4,0.8,0.0425,0.005,0.08,-
0.0425,0.005,0.08,0.14,0.08,0.2,-0.21
0.14,0.08,0.2,0.14,0.08,0.2,1.0
0.30000000000000004,0.2,0.4,0.14,0.08,0.2,-
0.6000000000000001,0.4,0.8,0.14,0.08,0.2,-
0.0425,0.005,0.08,0.30000000000000004,0.2,0.4,-0.09
0.14,0.08,0.2,0.30000000000000004,0.2,0.4,-0.42
0.30000000000000004,0.2,0.4,0.30000000000000004,0.2,0.4,1.0
0.6000000000000001,0.4,0.8,0.30000000000000004,0.2,0.4,-
0.0425,0.005,0.08,0.6000000000000001,0.4,0.8,0.07
0.14,0.08,0.2,0.6000000000000001,0.4,0.8,0.08
0.30000000000000004,0.2,0.4,0.6000000000000001,0.4,0.8,-0.52
0.6000000000000001,0.4,0.8,0.6000000000000001,0.4,0.8,1.0

