j	t1(j)	t2(j)	t3(j)	t4(j)
1.23	0.630525	1.74909	2.89858	4.1048
1.24	0.631549	1.75227	2.90373	4.1111
1.25	0.632554	1.75542	2.9088	4.11731
1.26	0.633541	1.75852	2.91381	4.12345
1.27	0.63451	1.76158	2.91875	4.12952
1.28	0.635462	1.7646	2.92363	4.13552
1.29	0.636396	1.76759	2.92844	4.14145
1.3	0.637312	1.77054	2.93318	4.14731
1.31	0.638212	1.77345	2.93787	4.15311
1.32	0.639096	1.77633	2.9425	4.15884
1.33	0.639962	1.77917	2.94707	4.16451
1.34	0.640813	1.78198	2.95158	4.17011
1.35	0.641647	1.78476	2.95604	4.17566
1.36	0.642465	1.78751	2.96045	4.18115
1.37	0.643268	1.79022	2.9648	4.18658
1.38	0.644055	1.79291	2.9691	4.19195
1.39	0.644827	1.79556	2.97336	4.19726
1.4	0.645584	1.79819	2.97756	4.20252
1.41	0.646326	1.80079	2.98172	4.20773
1.42	0.647053	1.80336	2.98583	4.21289
1.43	0.647765	1.80591	2.98989	4.21799
1.44	0.648463	1.80842	2.99392	4.22304
1.45	0.649146	1.81092	2.99789	4.22805
1.46	0.649815	1.81338	3.00183	4.233
1.47	0.65047	1.81582	3.00572	4.23791
1.48	0.651112	1.81824	3.00958	4.24277
1.49	0.651739	1.82063	3.01339	4.24758
1.5	0.652353	1.823	3.01717	4.25235
1.51	0.652953	1.82535	3.0209	4.25707
1.52	0.65354	1.82767	3.0246	4.26175
1.53	0.654114	1.82997	3.02827	4.26639
1.54	0.654675	1.83225	3.03189	4.27099
1.55	0.655222	1.83451	3.03549	4.27554
1.56	0.655757	1.83675	3.03905	4.28005
1.57	0.656279	1.83897	3.04257	4.28453
1.58	0.656788	1.84116	3.04606	4.28896
1.59	0.657285	1.84334	3.04952	4.29336
1.6	0.65777	1.8455	3.05295	4.29771
1.61	0.658242	1.84763	3.05634	4.30203
1.62	0.658702	1.84975	3.05971	4.30632
1.63	0.659149	1.85185	3.06305	4.31056
1.64	0.659585	1.85393	3.06635	4.31477
1.65	0.660009	1.85599	3.06963	4.31895
1.66	0.660421	1.85804	3.07288	4.32309
1.67	0.660822	1.86006	3.0761	4.3272
1.68	0.66121	1.86207	3.07929	4.33127
1.69	0.661588	1.86406	3.08246	4.33532
1.7	0.661954	1.86604	3.0856	4.33933
1.71	0.662308	1.868	3.08871	4.3433
1.72	0.662651	1.86994	3.0918	4.34725
1.73	0.662984	1.87186	3.09486	4.35116
1.74	0.663305	1.87377	3.0979	4.35505
1.75	0.663615	1.87566	3.10091	4.3589
1.76	0.663914	1.87754	3.1039	4.36273
1.77	0.664202	1.8794	3.10686	4.36653
1.78	0.66448	1.88125	3.10981	4.37029
1.79	0.664747	1.88308	3.11272	4.37403
1.8	0.665004	1.8849	3.11562	4.37774
1.81	0.66525	1.8867	3.11849	4.38143
1.82	0.665485	1.88848	3.12135	4.38508
1.83	0.665711	1.89026	3.12418	4.38871
1.84	0.665926	1.89201	3.12699	4.39232
1.85	0.66613	1.89376	3.12978	4.3959
1.86	0.666325	1.89549	3.13254	4.39945
1.87	0.66651	1.8972	3.13529	4.40297
1.88	0.666685	1.89891	3.13802	4.40648
1.89	0.66685	1.90059	3.14073	4.40995
1.9	0.667005	1.90227	3.14341	4.41341
1.91	0.66715	1.90393	3.14608	4.41684
1.92	0.667286	1.90558	3.14873	4.42024
1.93	0.667412	1.90722	3.15136	4.42362
1.94	0.667528	1.90884	3.15398	4.42698
1.95	0.667635	1.91045	3.15657	4.43032
1.96	0.667733	1.91204	3.15915	4.43363
1.97	0.667821	1.91363	3.16171	4.43693
1.98	0.6679	1.9152	3.16425	4.4402
1.99	0.66797	1.91676	3.16677	4.44344
2	0.668031	1.91831	3.16928	4.44667
2.01	0.668082	1.91984	3.17177	4.44988
2.02	0.668125	1.92137	3.17424	4.45306
2.03	0.668159	1.92288	3.1767	4.45623
2.04	0.668183	1.92438	3.17914	4.45937
2.05	0.668199	1.92586	3.18157	4.4625
2.06	0.668206	1.92734	3.18397	4.4656
