j	t1(j)	t2(j)	t3(j)	t4(j)
1.39	1.09917	2.24192	3.43551	4.69785
1.4	1.11184	2.25722	3.45328	4.7176
1.41	1.12452	2.27255	3.47106	4.73736
1.42	1.13719	2.28789	3.48886	4.75713
1.43	1.14986	2.30325	3.50667	4.7769
1.44	1.16253	2.31863	3.52449	4.79668
1.45	1.17519	2.33402	3.54233	4.81647
1.46	1.18786	2.34943	3.56018	4.83627
1.47	1.20053	2.36486	3.57805	4.85607
1.48	1.21319	2.38031	3.59592	4.87589
1.49	1.22586	2.39577	3.61382	4.89571
1.5	1.23852	2.41125	3.63172	4.91554
1.51	1.25119	2.42674	3.64964	4.93537
1.52	1.26385	2.44225	3.66757	4.95522
1.53	1.27652	2.45778	3.68551	4.97507
1.54	1.28919	2.47332	3.70346	4.99493
1.55	1.30186	2.48888	3.72143	5.0148
1.56	1.31453	2.50446	3.73941	5.03467
1.57	1.3272	2.52005	3.7574	5.05455
1.58	1.33987	2.53566	3.77541	5.07444
1.59	1.35254	2.55128	3.79343	5.09434
1.6	1.36522	2.56692	3.81146	5.11425
1.61	1.3779	2.58257	3.8295	5.13416
1.62	1.39058	2.59824	3.84756	5.15408
1.63	1.40326	2.61393	3.86562	5.17401
1.64	1.41594	2.62963	3.8837	5.19394
1.65	1.42863	2.64534	3.9018	5.21388
1.66	1.44132	2.66107	3.9199	5.23384
1.67	1.45401	2.67681	3.93801	5.25379
1.68	1.46671	2.69257	3.95614	5.27376
1.69	1.47941	2.70835	3.97428	5.29373
1.7	1.49211	2.72413	3.99243	5.31371
1.71	1.50482	2.73994	4.0106	5.3337
1.72	1.51753	2.75575	4.02877	5.35369
1.73	1.53024	2.77158	4.04696	5.3737
1.74	1.54296	2.78743	4.06516	5.39371
1.75	1.55568	2.80329	4.08336	5.41372
1.76	1.56841	2.81916	4.10159	5.43375
1.77	1.58114	2.83505	4.11982	5.45378
1.78	1.59387	2.85095	4.13806	5.47382
1.79	1.60661	2.86686	4.15632	5.49387
1.8	1.61936	2.88279	4.17458	5.51392
1.81	1.63211	2.89874	4.19286	5.53398
1.82	1.64486	2.91469	4.21115	5.55405
1.83	1.65762	2.93066	4.22945	5.57413
1.84	1.67039	2.94664	4.24776	5.59421
1.85	1.68316	2.96264	4.26609	5.6143
1.86	1.69593	2.97865	4.28442	5.6344
1.87	1.70871	2.99467	4.30277	5.6545
1.88	1.7215	3.0107	4.32112	5.67461
1.89	1.73429	3.02675	4.33949	5.69473
1.9	1.74709	3.04281	4.35787	5.71486
1.91	1.7599	3.05889	4.37626	5.73499
1.92	1.77271	3.07497	4.39466	5.75513
1.93	1.78553	3.09107	4.41307	5.77528
1.94	1.79835	3.10718	4.43149	5.79544
1.95	1.81118	3.12331	4.44992	5.8156
1.96	1.82402	3.13945	4.46836	5.83577
1.97	1.83687	3.15559	4.48681	5.85594
1.98	1.84972	3.17176	4.50528	5.87613
1.99	1.86257	3.18793	4.52375	5.89632
2	1.87544	3.20412	4.54224	5.91652
2.01	1.88831	3.22032	4.56073	5.93672
2.02	1.90119	3.23653	4.57924	5.95693
2.03	1.91408	3.25275	4.59775	5.97715
2.04	1.92697	3.26898	4.61628	5.99738
2.05	1.93988	3.28523	4.63481	6.01761
2.06	1.95279	3.30149	4.65336	6.03785
2.07	1.9657	3.31776	4.67192	6.0581
2.08	1.97863	3.33404	4.69049	6.07835
2.09	1.99156	3.35034	4.70906	6.09861
2.1	2.0045	3.36664	4.72765	6.11888
