j	t1(j)	t2(j)	t3(j)	t4(j)
1.77	-1.36153	0.443915	1.91236	3.26827
1.78	-1.38795	0.426089	1.8995	3.2578
1.79	-1.41439	0.408231	1.88661	3.2473
1.8	-1.44084	0.39034	1.87369	3.23678
1.81	-1.46731	0.372418	1.86074	3.22623
1.82	-1.49378	0.354464	1.84776	3.21565
1.83	-1.52027	0.336478	1.83474	3.20505
1.84	-1.54677	0.318462	1.8217	3.19441
1.85	-1.57328	0.300416	1.80862	3.18376
1.86	-1.5998	0.28234	1.79552	3.17307
1.87	-1.62633	0.264233	1.78239	3.16237
1.88	-1.65288	0.246098	1.76923	3.15163
1.89	-1.67943	0.227934	1.75604	3.14087
1.9	-1.70599	0.209741	1.74283	3.13009
1.91	-1.73257	0.191519	1.72958	3.11928
1.92	-1.75915	0.17327	1.71631	3.10845
1.93	-1.78575	0.154993	1.70301	3.09759
1.94	-1.81235	0.136689	1.68969	3.08671
1.95	-1.83897	0.118358	1.67634	3.07581
1.96	-1.86559	0.0999998	1.66296	3.06488
1.97	-1.89222	0.0816154	1.64955	3.05393
1.98	-1.91886	0.0632049	1.63613	3.04295
1.99	-1.94551	0.0447686	1.62267	3.03196
2	-1.97217	0.0263067	1.60919	3.02094
2.01	-1.99884	0.00781951	1.59569	3.0099
2.02	-2.02552	-0.0106927	1.58216	2.99883
2.03	-2.0522	-0.0292295	1.5686	2.98775
2.04	-2.07889	-0.0477909	1.55502	2.97664
2.05	-2.10559	-0.0663765	1.54142	2.96551
2.06	-2.1323	-0.084986	1.5278	2.95436
2.07	-2.15902	-0.103619	1.51415	2.94318
2.08	-2.18574	-0.122276	1.50048	2.93199
2.09	-2.21247	-0.140956	1.48678	2.92078
2.1	-2.23921	-0.159659	1.47306	2.90954
2.11	-2.26596	-0.178384	1.45932	2.89828
2.12	-2.29271	-0.197132	1.44556	2.88701
2.13	-2.31947	-0.215903	1.43177	2.87571
2.14	-2.34623	-0.234695	1.41797	2.86439
2.15	-2.37301	-0.253509	1.40414	2.85305
2.16	-2.39979	-0.272345	1.39029	2.8417
2.17	-2.42657	-0.291203	1.37642	2.83032
2.18	-2.45336	-0.310081	1.36253	2.81892
2.19	-2.48016	-0.328981	1.34862	2.80751
2.2	-2.50697	-0.347901	1.33468	2.79607
2.21	-2.53378	-0.366842	1.32073	2.78462
2.22	-2.5606	-0.385803	1.30676	2.77314
2.23	-2.58742	-0.404784	1.29276	2.76165
2.24	-2.61425	-0.423786	1.27875	2.75014
2.25	-2.64108	-0.442807	1.26472	2.73861
2.26	-2.66792	-0.461848	1.25066	2.72706
2.27	-2.69476	-0.480908	1.23659	2.7155
2.28	-2.72161	-0.499988	1.2225	2.70391
2.29	-2.74847	-0.519086	1.20839	2.69231
2.3	-2.77533	-0.538204	1.19426	2.68069
2.31	-2.80219	-0.55734	1.18012	2.66905
2.32	-2.82906	-0.576495	1.16595	2.6574
2.33	-2.85594	-0.595668	1.15177	2.64572
2.34	-2.88282	-0.614859	1.13757	2.63403
2.35	-2.9097	-0.634068	1.12335	2.62233
2.36	-2.93659	-0.653296	1.10911	2.6106
2.37	-2.96348	-0.672541	1.09486	2.59886
2.38	-2.99038	-0.691803	1.08059	2.5871
2.39	-3.01728	-0.711083	1.0663	2.57533
2.4	-3.04418	-0.730381	1.05199	2.56354
2.41	-3.07109	-0.749695	1.03767	2.55173
2.42	-3.09801	-0.769026	1.02333	2.53991
2.43	-3.12492	-0.788374	1.00898	2.52807
2.44	-3.15185	-0.807739	0.994605	2.51621
2.45	-3.17877	-0.827121	0.980217	2.50434
2.46	-3.2057	-0.846518	0.965813	2.49245
2.47	-3.23263	-0.865932	0.951392	2.48055
2.48	-3.25957	-0.885362	0.936956	2.46863
2.49	-3.28651	-0.904808	0.922504	2.45669
2.5	-3.31345	-0.92427	0.908036	2.44475
2.51	-3.34039	-0.943747	0.893553	2.43278
2.52	-3.36734	-0.96324	0.879055	2.4208
2.53	-3.3943	-0.982749	0.864542	2.40881
2.54	-3.42125	-1.00227	0.850013	2.3968
2.55	-3.44821	-1.02181	0.83547	2.38477
2.56	-3.47517	-1.04137	0.820912	2.37273
2.57	-3.50213	-1.06093	0.806339	2.36068
2.58	-3.5291	-1.08052	0.791752	2.34861
2.59	-3.55607	-1.10012	0.777151	2.33653
2.6	-3.58304	-1.11973	0.762535	2.32443
2.61	-3.61002	-1.13936	0.747905	2.31232
2.62	-3.63699	-1.159	0.733261	2.3002
2.63	-3.66397	-1.17865	0.718603	2.28806
2.64	-3.69096	-1.19832	0.703931	2.27591
2.65	-3.71794	-1.21801	0.689246	2.26374
2.66	-3.74493	-1.23771	0.674547	2.25156
2.67	-3.77192	-1.25742	0.659834	2.23937
