j	t1(j)	t2(j)	t3(j)	t4(j)
3.94	0.396086	1.28478	2.06284	2.84066
3.95	0.390036	1.27879	2.057	2.83525
3.96	0.383981	1.27278	2.05116	2.82984
3.97	0.377922	1.26677	2.0453	2.8244
3.98	0.371857	1.26075	2.03944	2.81896
3.99	0.365789	1.25472	2.03356	2.81351
4	0.359715	1.24868	2.02768	2.80804
4.01	0.353637	1.24264	2.02178	2.80256
4.02	0.347555	1.23659	2.01588	2.79707
4.03	0.341469	1.23054	2.00996	2.79156
4.04	0.335378	1.22447	2.00404	2.78605
4.05	0.329282	1.2184	1.99811	2.78052
4.06	0.323183	1.21233	1.99217	2.77498
4.07	0.317079	1.20624	1.98622	2.76943
4.08	0.310972	1.20015	1.98026	2.76387
4.09	0.30486	1.19406	1.97429	2.7583
4.1	0.298744	1.18795	1.96832	2.75271
