u	psi
0.000211761	2.08952e-10
0.000403458	1.17294e-09
0.000978539	3.75685e-09
0.00193697	9.22242e-09
0.00327868	1.8913e-08
0.00500361	3.42922e-08
0.00711163	5.69868e-08
0.00960262	8.8691e-08
0.0124764	1.31223e-07
0.0157329	1.86365e-07
0.0193718	2.56194e-07
0.0233929	3.42599e-07
0.0277959	4.47588e-07
0.0325807	5.73373e-07
0.0377468	7.2207e-07
0.0432941	8.95836e-07
0.049222	1.09694e-06
0.0555304	1.32759e-06
0.0622187	1.59014e-06
0.0692866	1.88686e-06
0.0767336	2.22013e-06
0.0845593	2.59229e-06
0.0927632	3.00572e-06
0.101345	3.46279e-06
0.110304	3.96597e-06
0.119639	4.51754e-06
0.12935	5.12005e-06
0.139437	5.77576e-06
0.149899	6.48721e-06
0.160734	7.25663e-06
0.171944	8.08658e-06
0.183526	8.97924e-06
0.19548	9.93713e-06
0.207805	1.09624e-05
0.220502	1.20574e-05
0.233567	1.32244e-05
0.247002	1.44657e-05
0.260806	1.57832e-05
0.274976	1.71794e-05
0.289513	1.86561e-05
0.304415	2.02155e-05
0.319682	2.18593e-05
0.335313	2.35898e-05
0.351307	2.54085e-05
0.367662	2.73174e-05
0.384379	2.93179e-05
0.401455	3.14121e-05
0.41889	3.3601e-05
0.436682	3.58865e-05
0.454831	3.82695e-05
0.473336	4.07518e-05
0.492195	4.3334e-05
0.511408	4.60177e-05
0.530973	4.88034e-05
0.550889	5.16925e-05
0.571155	5.46853e-05
0.591771	5.7783e-05
0.612734	6.09855e-05
0.634043	6.42941e-05
0.655699	6.77085e-05
0.677699	7.12296e-05
0.700042	7.48571e-05
0.722728	7.85916e-05
0.745755	8.24328e-05
0.769123	8.63812e-05
0.792831	9.04361e-05
0.816877	9.45981e-05
0.841262	9.88664e-05
0.865983	0.000103242
0.891041	0.000107723
0.916436	0.000112311
0.942166	0.000117004
0.968232	0.000121804
0.994633	0.000126709
1.02137	0.000131721
1.04844	0.000136838
1.07585	0.000142062
1.1036	0.000147392
1.13168	0.00015283
1.1601	0.000158375
1.18886	0.00016403
1.21797	0.000169794
1.24741	0.000175669
1.27721	0.000181657
1.30735	0.000187761
1.33784	0.000193981
1.36869	0.000200322
1.3999	0.000206785
1.43148	0.000213376
1.46342	0.000220096
1.49574	0.000226952
1.52844	0.000233947
1.56152	0.000241088
1.595	0.000248379
1.62889	0.000255829
1.66318	0.000263444
1.69789	0.000271232
1.73304	0.000279201
1.76862	0.000287361
1.80466	0.000295721
1.84117	0.000304293
1.87815	0.000313087
1.91563	0.000322117
1.95361	0.000331395
1.99212	0.000340935
2.03117	0.000350751
2.07077	0.000360861
2.11096	0.000371279
2.15175	0.000382025
2.19315	0.000393116
2.2352	0.000404574
2.27792	0.000416418
2.32133	0.000428672
2.36546	0.000441358
2.41034	0.000454502
2.456	0.00046813
2.50246	0.000482271
2.54977	0.000496953
2.59796	0.00051221
2.64705	0.000528074
2.6971	0.000544584
2.74814	0.000561776
2.80021	0.000579694
2.85336	0.000598382
2.90763	0.000617892
2.96307	0.000638275
