u	psi
0.000211761	4.28502e-09
0.000403458	2.12008e-08
0.000978539	5.98496e-08
0.00193697	1.30515e-07
0.00327868	2.42412e-07
0.00500361	4.04875e-07
0.00711163	6.26586e-07
0.00960262	9.16188e-07
0.0124764	1.28174e-06
0.0157329	1.73136e-06
0.0193718	2.2729e-06
0.0233929	2.91373e-06
0.0277959	3.66142e-06
0.0325807	4.52297e-06
0.0377468	5.50554e-06
0.0432941	6.61556e-06
0.049222	7.86001e-06
0.0555304	9.24483e-06
0.0622187	1.07768e-05
0.0692866	1.24611e-05
0.0767336	1.43044e-05
0.0845593	1.63114e-05
0.0927632	1.84885e-05
0.101345	2.08398e-05
0.110304	2.33715e-05
0.119639	2.60869e-05
0.12935	2.89922e-05
0.139437	3.20899e-05
0.149899	3.5386e-05
0.160734	3.88822e-05
0.171944	4.25844e-05
0.183526	4.64935e-05
0.19548	5.06151e-05
0.207805	5.49493e-05
0.220502	5.95013e-05
0.233567	6.42704e-05
0.247002	6.92618e-05
0.260806	7.44734e-05
0.274976	7.99104e-05
0.289513	8.55697e-05
0.304415	9.1456e-05
0.319682	9.75653e-05
0.335313	0.000103902
0.351307	0.000110461
0.367662	0.000117246
0.384379	0.000124251
0.401455	0.000131481
0.41889	0.000138926
0.436682	0.000146591
0.454831	0.000154467
0.473336	0.000162558
0.492195	0.000170853
0.511408	0.000179355
0.530973	0.000188053
0.550889	0.000196951
0.571155	0.000206034
0.591771	0.000215307
0.612734	0.000224756
0.634043	0.000234383
0.655699	0.000244173
0.677699	0.00025413
0.700042	0.000264237
0.722728	0.000274498
0.745755	0.000284896
0.769123	0.000295434
0.792831	0.000306095
0.816877	0.000316882
0.841262	0.000327779
0.865983	0.000338788
0.891041	0.000349893
0.916436	0.000361098
0.942166	0.000372385
0.968232	0.00038376
0.994633	0.000395206
1.02137	0.000406729
1.04844	0.000418313
1.07585	0.000429967
1.1036	0.000441672
1.13168	0.000453442
1.1601	0.000465259
1.18886	0.000477136
1.21797	0.000489059
1.24741	0.000501044
1.27721	0.000513075
1.30735	0.000525174
1.33784	0.000537325
1.36869	0.000549552
1.3999	0.000561844
1.43148	0.000574226
1.46342	0.000586688
1.49574	0.00059926
1.52844	0.000611935
1.56152	0.000624745
1.595	0.000637685
1.62889	0.000650791
1.66318	0.000664063
1.69789	0.000677539
1.73304	0.00069122
1.76862	0.000705151
1.80466	0.000719334
1.84117	0.000733819
1.87815	0.000748611
1.91563	0.000763763
1.95361	0.000779284
1.99212	0.000795233
2.03117	0.00081162
2.07077	0.000828508
2.11096	0.000845913
2.15175	0.000863901
2.19315	0.000882493
2.2352	0.00090176
2.27792	0.000921725
2.32133	0.000942467
2.36546	0.000964014
2.41034	0.00098645
2.456	0.00100981
2.50246	0.00103418
2.54977	0.00105961
2.59796	0.00108619
2.64705	0.00111397
2.6971	0.00114307
2.74814	0.00117354
2.80021	0.00120551
2.85336	0.00123905
2.90763	0.0012743
2.96307	0.00131136
3.01973	0.00135038
3.07767	0.00139148
3.13693	0.00143486
3.19757	0.00148066
3.25966	0.00152913
3.32325	0.00158044
3.3884	0.00163489
3.45519	0.00169273
3.52368	0.00175432
3.59393	0.00181998
3.66602	0.00189017
3.74002	0.00196531
3.816	0.00204597
3.89404	0.00213271
3.97422	0.00222624
4.05659	0.0023273
4.14126	0.00243677
4.22828	0.00255558
4.31773	0.00268484
4.40969	0.00282572
4.50422	0.00297958
4.60141	0.00314786
4.70132	0.00333221
4.80402	0.00353436
4.90957	0.00375629
5.01805	0.00400004
5.1295	0.00426793
5.244	0.00456235
5.3616	0.00488596
5.48236	0.00524152
5.60633	0.00563203
5.73357	0.00606065
5.86413	0.00653078
5.99806	0.00704597
6.13541	0.00761007
6.27622	0.00822708
6.42055	0.00890133
6.56843	0.00963734
6.7199	0.01044
6.87501	0.0113144
7.03379	0.012266
7.19628	0.0133005
7.3625	0.0144241
7.53249	0.0156432
7.70629	0.0169646
7.8839	0.0183955
8.06537	0.0199433
8.2507	0.0216158
8.43992	0.0234213
8.63304	0.0253682
8.83009	0.0274654
9.03106	0.0297221
9.23598	0.0321476
9.44485	0.0347515
9.65768	0.0375439
9.87447	0.0405347
10.0952	0.0437343
10.3199	0.0471529
10.5486	0.050801
10.7812	0.0546889
11.0178	0.058827
11.2583	0.0632255
11.5028	0.0678946
11.7511	0.0728438
12.0034	0.0780828
12.2596	0.0836204
12.5196	0.0894651
12.7835	0.095625
13.0512	0.102107
13.3227	0.108918
13.598	0.116063
13.8771	0.123547
14.1599	0.131373
14.4463	0.139543
14.7365	0.14806
15.0303	0.156921
15.3277	0.166127
15.6286	0.175672
15.9331	0.185554
16.2411	0.195764
16.5525	0.206295
16.8674	0.217137
17.1856	0.228278
17.5072	0.239705
17.832	0.251401
18.1601	0.263349
18.4914	0.275531
18.8258	0.287924
19.1633	0.300506
