u	psi
0.000211761	4.57649e-07
0.000419675	2.31209e-06
0.00104341	6.62412e-06
0.00208291	1.45983e-05
0.00353813	2.73648e-05
0.00540898	4.60795e-05
0.00769533	7.18439e-05
0.0103971	0.000105775
0.013514	0.000148957
0.0170459	0.000202472
0.0209926	0.000267391
0.0253539	0.00034476
0.0301294	0.000435641
0.035319	0.000541045
0.0409221	0.000662027
0.0469387	0.000799557
0.0533681	0.000954689
0.0602101	0.00112835
0.0674642	0.0013216
0.0751301	0.0015353
0.0832071	0.00177054
0.0916948	0.00202812
0.100593	0.00230912
0.1099	0.00261432
0.119617	0.00294478
0.129742	0.00330124
0.140275	0.00368476
0.151215	0.00409604
0.162562	0.00453614
0.174314	0.00500569
0.186472	0.00550579
0.199033	0.00603701
0.211999	0.00660045
0.225367	0.00719663
0.239137	0.0078267
0.253308	0.00849109
0.26788	0.00919099
0.282851	0.00992678
0.29822	0.0106997
0.313986	0.0115101
0.330149	0.0123592
0.346708	0.0132474
0.363661	0.0141759
0.381007	0.0151452
0.398746	0.0161565
0.416876	0.0172102
0.435396	0.0183077
0.454305	0.0194495
0.473602	0.020637
0.493286	0.0218708
0.513355	0.0231524
0.533808	0.0244824
0.554644	0.0258627
0.575862	0.0272938
0.59746	0.028778
0.619437	0.0303157
0.641791	0.0319096
0.664522	0.0335603
0.687628	0.0352706
0.711107	0.0370416
0.734958	0.0388763
0.75918	0.0407759
0.783771	0.042744
0.808729	0.0447821
0.834053	0.046894
0.859741	0.0490816
0.885793	0.0513494
0.912205	0.0536993
0.938977	0.0561364
0.966107	0.058663
0.993593	0.0612847
1.02143	0.0640043
1.04963	0.0668277
1.07817	0.0697581
1.10707	0.072802
1.13631	0.0759629
1.1659	0.0792479
1.19583	0.0826608
1.2261	0.0862092
1.25671	0.089897
1.28767	0.0937323
1.31895	0.0977194
1.35058	0.101867
1.38253	0.106178
1.41482	0.110663
1.44743	0.115325
1.48037	0.120173
1.51364	0.125212
1.54723	0.130451
1.58114	0.135892
1.61536	0.141546
1.64991	0.147415
1.68476	0.153507
1.71993	0.159827
1.75541	0.166381
1.7912	0.173172
1.82729	0.180207
1.86368	0.187486
1.90038	0.195016
1.93737	0.202798
1.97466	0.210834
2.01225	0.219124
2.05012	0.227672
2.08829	0.236473
2.12674	0.24553
2.16548	0.254836
2.2045	0.264392
2.2438	0.27419
2.28338	0.284227
2.32323	0.294494
2.36335	0.304984
2.40375	0.315686
2.44441	0.326591
2.48534	0.337685
2.52652	0.348956
2.56797	0.360385
2.60968	0.37196
2.65164	0.383658
2.69386	0.395462
2.73632	0.407348
2.77903	0.419296
2.82199	0.431277
2.86518	0.443268
2.90862	0.455238
2.95229	0.46716
2.9962	0.479001
3.04034	0.49073
3.0847	0.502311
3.12929	0.513712
3.17411	0.524893
3.21914	0.535821
3.26439	0.546454
3.30986	0.556757
3.35554	0.566687
3.40142	0.576209
3.44752	0.585279
3.49381	0.593861
3.54031	0.601914
3.587	0.609402
3.63389	0.616285
3.68097	0.62253
3.72824	0.6281
3.77569	0.632967
3.82333	0.637095
3.87115	0.640461
3.91914	0.643036
3.96731	0.644803
4.01565	0.645737
4.06416	0.645829
4.11283	0.645062
4.16166	0.643433
4.21066	0.640933
4.25981	0.637568
4.30911	0.633338
4.35857	0.628255
4.40817	0.622329
4.45791	0.615581
4.50779	0.608027
4.55782	0.599698
4.60797	0.590617
4.65826	0.580823
4.70868	0.570345
4.75922	0.559227
4.80989	0.547507
4.86067	0.535233
4.91157	0.522447
4.96259	0.509201
5.01371	0.495541
5.06494	0.48152
5.11627	0.467186
5.16771	0.452594
5.21924	0.437792
5.27086	0.422834
5.32258	0.407765
5.37438	0.392641
5.42627	0.377503
5.47823	0.362403
5.53028	0.347379
5.5824	0.33248
5.63459	0.317739
5.68685	0.303198
5.73918	0.288888
5.79157	0.274846
5.84401	0.261096
5.89651	0.247669
5.94907	0.234583
6.00167	0.221865
6.05432	0.209528
6.10701	0.197591
6.15974	0.186062
6.2125	0.174955
6.2653	0.164273
6.31813	0.154027
6.37098	0.144212
6.42385	0.134835
6.47675	0.125888
6.52966	0.117375
6.58259	0.109283
6.63552	0.101613
6.68846	0.0943494
6.74141	0.0874894
6.79435	0.081017
6.84729	0.0749262
6.90023	0.0691995
6.95315	0.0638294
7.00607	0.0587974
7.05896	0.054095
7.11184	0.0497029
7.16469	0.0456125
7.21752	0.0418041
7.27032	0.0382688
7.32308	0.0349874
7.37581	0.0319512
7.4285	0.0291412
7.48115	0.0265494
7.53375	0.0241575
7.5863	0.0219583
7.63881	0.0199341
7.69125	0.0180787
7.74364	0.0163754
7.79596	0.0148188
7.84822	0.0133934
7.90042	0.0120946
7.95254	0.010908
8.00458	0.00982998
8.05655	0.00884723
8.10844	0.00795713
8.16024	0.00714724
8.21195	0.00641591
8.26358	0.00575166
8.31511	0.00515369
8.36654	0.00461138
8.41788	0.00412473
8.46911	0.00368393
8.52023	0.00328966
8.57124	0.00293288
8.62214	0.00261487
8.67293	0.00232724
8.72359	0.00207183
8.77414	0.00184083
8.82455	0.00163655
8.87484	0.0014517
8.925	0.00128897
8.97502	0.00114154
9.02491	0.00101242
9.07465	0.000895203
9.12425	0.000793151
9.17371	0.000700215
9.22301	0.000619868
9.27216	0.000546366
9.32115	0.000483351
9.36999	0.000425345
9.41866	0.000376117
9.46717	0.000330421
9.51551	0.000292117
9.56368	0.000256165
9.61167	0.000226489
9.65949	0.000198226
9.70712	0.000175338
9.75458	0.000153124
9.80185	0.000135561
9.84893	0.000118091
9.89582	0.000104692
9.94251	9.09357e-05
9.989	8.07826e-05
10.0353	6.99247e-05
10.0814	6.22947e-05
10.1273	5.36955e-05
10.173	4.80211e-05
10.2184	4.11791e-05
10.2637	3.70161e-05
10.3087	3.15393e-05
10.3535	2.8541e-05
10.3981	2.4124e-05
10.4425	2.20206e-05
10.4866	1.84261e-05
10.5305	1.7008e-05
10.5742	1.40519e-05
10.6176	1.31566e-05
10.6608	1.06965e-05
10.7038	1.01985e-05
10.7465	8.12448e-06
10.789	7.9268e-06
10.8312	6.15407e-06
10.8731	6.18198e-06
10.9148	4.64533e-06
10.9563	4.84133e-06
10.9975	3.49064e-06
11.0384	3.81052e-06
11.0791	2.6073e-06
11.1195	3.01713e-06
11.1596	1.93189e-06
11.1994	2.40564e-06
11.239	1.41577e-06
11.2783	1.93349e-06
11.3173	1.02167e-06
11.3561	1.5681e-06
11.3945	7.21055e-07
11.4327	1.28451e-06
11.4706	4.92091e-07
11.5082	1.06365e-06
11.5454	3.18058e-07
11.5824	8.90897e-07
11.6191	1.86163e-07
11.6555	7.55094e-07
11.6916	8.66119e-08
11.7274	6.47686e-07
11.7629	1.19042e-08
11.7981	5.62131e-07
11.8329	-4.37057e-08
11.8675	4.93418e-07
11.9017	-8.46233e-08
11.9356	4.37709e-07
11.9692	-1.14229e-07
12.0024	3.92062e-07
12.0354	-1.3512e-07
12.068	3.5422e-07
12.1003	-1.49294e-07
12.1322	3.2245e-07
12.1639	-1.5829e-07
12.1952	2.95421e-07
12.2261	-1.63294e-07
12.2567	2.7211e-07
12.287	-1.65226e-07
12.3169	2.51728e-07
12.3465	-1.64795e-07
12.3758	2.33668e-07
12.4046	-1.62554e-07
12.4332	2.17462e-07
12.4614	-1.58933e-07
12.4892	2.02749e-07
12.5167	-1.54268e-07
12.5438	1.89251e-07
12.5706	-1.48823e-07
12.597	1.76752e-07
12.6231	-1.42805e-07
12.6488	1.65086e-07
12.6741	-1.36377e-07
12.699	1.54126e-07
12.7236	-1.2967e-07
12.7479	1.43771e-07
12.7717	-1.22787e-07
12.7952	1.33947e-07
12.8183	-1.15812e-07
12.841	1.24596e-07
12.8634	-1.08812e-07
12.8854	1.15671e-07
12.907	-1.01842e-07
12.9282	1.07141e-07
12.949	-9.49464e-08
12.9695	9.89789e-08
12.9895	-8.8163e-08
13.0092	9.11663e-08
13.0285	-8.15223e-08
13.0474	8.36895e-08
13.0659	-7.50503e-08
13.0841	7.65383e-08
13.1018	-6.87689e-08
13.1192	6.97062e-08
13.1361	-6.26968e-08
13.1527	6.31887e-08
13.1688	-5.68502e-08
13.1846	5.69833e-08
13.2	-5.1243e-08
13.2149	5.10889e-08
13.2295	-4.58872e-08
13.2437	4.55055e-08
13.2574	-4.07934e-08
13.2708	4.02341e-08
13.2838	-3.5971e-08
13.2963	3.52759e-08
13.3085	-3.14281e-08
13.3203	3.06331e-08
13.3316	-2.71721e-08
13.3425	2.63077e-08
13.3531	-2.32092e-08
13.3632	2.23023e-08
13.3729	-1.95451e-08
13.3822	1.86193e-08
13.3911	-1.61849e-08
13.3996	1.52614e-08
13.4077	-1.31327e-08
13.4154	1.2231e-08
13.4226	-1.03925e-08
13.4294	9.53044e-09
13.4359	-7.96738e-09
13.4419	7.1621e-09
13.4475	-5.8603e-09
13.4527	5.128e-09
13.4575	-4.07355e-09
13.4618	3.42997e-09
13.4658	-2.6091e-09
13.4693	2.06958e-09
13.4724	-1.4685e-09
13.4751	1.04814e-09
13.4774	-6.52943e-10
13.4793	3.6662e-10
13.4807	-1.63278e-10
13.4818	2.56931e-11
