u	psi
48.1013	0.489196
48.5163	0.478979
48.9303	0.466911
49.3432	0.453058
49.755	0.437501
50.1655	0.420319
50.5747	0.401604
50.9826	0.38145
51.3891	0.359956
51.7941	0.337225
52.1977	0.313367
52.5997	0.288489
53	0.262706
53.3987	0.236132
53.7957	0.208883
54.1909	0.181075
54.5842	0.152825
54.9757	0.124248
55.3652	0.0954595
55.7527	0.0665708
56.1381	0.0376938
56.5214	0.00893549
56.9026	-0.0195987
57.2815	-0.0478087
57.6582	-0.0755966
58.0325	-0.102871
58.4044	-0.129543
58.7739	-0.15553
59.1409	-0.180755
59.5054	-0.205146
59.8673	-0.228636
60.2265	-0.251166
60.583	-0.27268
60.9368	-0.29313
61.2877	-0.312473
61.6358	-0.330674
61.981	-0.347701
62.3233	-0.36353
62.6625	-0.378142
62.9987	-0.391524
63.3318	-0.403669
63.6617	-0.414574
63.9884	-0.424241
64.3119	-0.43268
64.632	-0.439902
64.9488	-0.445924
65.2623	-0.450767
65.5722	-0.454456
65.8787	-0.457019
66.1816	-0.458488
66.481	-0.458897
66.7768	-0.458285
67.0688	-0.456691
67.3572	-0.454156
67.6418	-0.450723
67.9226	-0.446439
68.1995	-0.44135
68.4726	-0.435502
68.7417	-0.428943
69.0069	-0.421722
69.268	-0.413888
69.5251	-0.405489
69.7782	-0.396572
70.027	-0.387187
70.2718	-0.37738
70.5123	-0.367198
70.7486	-0.356685
70.9806	-0.345887
71.2083	-0.334847
71.4316	-0.323607
71.6506	-0.312206
71.8651	-0.300684
72.0752	-0.289079
72.2808	-0.277426
72.4819	-0.26576
72.6785	-0.254112
72.8704	-0.242514
73.0578	-0.230995
73.2405	-0.219582
73.4186	-0.208302
73.592	-0.197177
73.7606	-0.186231
73.9245	-0.175484
74.0837	-0.164956
74.238	-0.154665
74.3875	-0.144626
74.5322	-0.134856
74.672	-0.125367
74.8069	-0.116172
74.9369	-0.107282
75.062	-0.0987072
75.1821	-0.0904567
75.2972	-0.0825384
75.4074	-0.0749594
75.5125	-0.0677258
75.6127	-0.0608432
75.7077	-0.0543161
75.7978	-0.0481487
75.8828	-0.0423444
75.9626	-0.036906
76.0374	-0.0318361
76.1071	-0.0271367
76.1717	-0.0228094
76.2311	-0.0188555
76.2854	-0.015276
76.3346	-0.0120719
76.3786	-0.00924377
76.4174	-0.00679203
76.4511	-0.00471705
76.4796	-0.00301909
76.503	-0.00169831
76.5211	-0.000754824
76.5341	-0.000188709
