j	t1(j)	t2(j)	t3(j)	t4(j)
1.23	0.640741	1.76084	2.91236	4.11929
1.24	0.642214	1.76451	2.91806	4.12619
1.25	0.643668	1.76813	2.9237	4.133
1.26	0.645105	1.77171	2.92925	4.13974
1.27	0.646525	1.77525	2.93474	4.14641
1.28	0.647927	1.77874	2.94016	4.153
1.29	0.649313	1.7822	2.94551	4.15952
1.3	0.650682	1.78562	2.9508	4.16597
1.31	0.652034	1.789	2.95602	4.17236
1.32	0.653371	1.79235	2.96118	4.17867
1.33	0.654692	1.79566	2.96629	4.18492
1.34	0.655997	1.79894	2.97133	4.19111
1.35	0.657286	1.80218	2.97632	4.19723
1.36	0.65856	1.80539	2.98125	4.2033
1.37	0.65982	1.80857	2.98612	4.2093
1.38	0.661064	1.81172	2.99095	4.21524
1.39	0.662293	1.81483	2.99572	4.22113
1.4	0.663508	1.81792	3.00044	4.22696
1.41	0.664709	1.82098	3.00511	4.23273
1.42	0.665896	1.82401	3.00973	4.23845
1.43	0.667068	1.82701	3.01431	4.24411
1.44	0.668227	1.82998	3.01884	4.24972
1.45	0.669372	1.83293	3.02333	4.25528
1.46	0.670503	1.83585	3.02777	4.26079
1.47	0.671621	1.83875	3.03216	4.26625
1.48	0.672726	1.84162	3.03652	4.27166
1.49	0.673818	1.84447	3.04083	4.27703
1.5	0.674897	1.84729	3.04511	4.28234
1.51	0.675963	1.85009	3.04934	4.28761
1.52	0.677016	1.85286	3.05354	4.29284
1.53	0.678056	1.85562	3.05769	4.29802
1.54	0.679085	1.85835	3.06181	4.30315
1.55	0.6801	1.86105	3.0659	4.30825
1.56	0.681104	1.86374	3.06994	4.3133
1.57	0.682096	1.86641	3.07396	4.31831
1.58	0.683075	1.86905	3.07793	4.32327
1.59	0.684043	1.87168	3.08188	4.3282
1.6	0.684999	1.87428	3.08579	4.33309
1.61	0.685943	1.87687	3.08967	4.33794
1.62	0.686876	1.87943	3.09352	4.34275
1.63	0.687797	1.88198	3.09733	4.34752
1.64	0.688707	1.88451	3.10112	4.35226
1.65	0.689606	1.88702	3.10487	4.35695
1.66	0.690494	1.88951	3.1086	4.36162
1.67	0.69137	1.89198	3.11229	4.36625
1.68	0.692236	1.89444	3.11596	4.37084
1.69	0.693091	1.89688	3.1196	4.3754
1.7	0.693935	1.8993	3.12321	4.37992
1.71	0.694768	1.9017	3.1268	4.38441
1.72	0.695591	1.90409	3.13035	4.38887
1.73	0.696403	1.90646	3.13389	4.3933
1.74	0.697205	1.90882	3.13739	4.39769
1.75	0.697996	1.91116	3.14087	4.40206
1.76	0.698778	1.91348	3.14433	4.40639
1.77	0.699549	1.91579	3.14776	4.41069
1.78	0.70031	1.91808	3.15117	4.41496
1.79	0.701061	1.92036	3.15455	4.4192
1.8	0.701802	1.92262	3.15791	4.42342
1.81	0.702533	1.92487	3.16125	4.4276
1.82	0.703254	1.9271	3.16456	4.43176
1.83	0.703966	1.92932	3.16785	4.43589
1.84	0.704668	1.93152	3.17112	4.43999
1.85	0.705361	1.93372	3.17437	4.44406
1.86	0.706044	1.93589	3.1776	4.44811
1.87	0.706718	1.93805	3.1808	4.45213
1.88	0.707382	1.9402	3.18399	4.45613
1.89	0.708037	1.94234	3.18715	4.46009
1.9	0.708683	1.94446	3.1903	4.46404
1.91	0.709319	1.94657	3.19342	4.46796
1.92	0.709947	1.94867	3.19653	4.47185
1.93	0.710566	1.95075	3.19962	4.47572
1.94	0.711175	1.95282	3.20268	4.47957
1.95	0.711776	1.95488	3.20573	4.48339
1.96	0.712368	1.95693	3.20876	4.48719
1.97	0.712951	1.95896	3.21177	4.49096
1.98	0.713526	1.96098	3.21477	4.49472
1.99	0.714092	1.96299	3.21774	4.49845
2	0.714649	1.96499	3.2207	4.50216
2.01	0.715198	1.96697	3.22364	4.50584
2.02	0.715738	1.96895	3.22657	4.50951
2.03	0.71627	1.97091	3.22948	4.51315
2.04	0.716794	1.97286	3.23237	4.51677
2.05	0.717309	1.9748	3.23524	4.52037
2.06	0.717816	1.97672	3.2381	4.52395
2.07	0.718315	1.97864	3.24094	4.52752
2.08	0.718806	1.98055	3.24377	4.53106
2.09	0.719289	1.98244	3.24658	4.53458
2.1	0.719764	1.98432	3.24937	4.53808
2.11	0.720231	1.9862	3.25215	4.54156
2.12	0.720689	1.98806	3.25492	4.54502
2.13	0.721141	1.98991	3.25767	4.54846
2.14	0.721584	1.99175	3.2604	4.55189
2.15	0.722019	1.99358	3.26312	4.55529
2.16	0.722447	1.9954	3.26583	4.55868
2.17	0.722867	1.9972	3.26852	4.56205
2.18	0.72328	1.999	3.2712	4.5654
2.19	0.723685	2.00079	3.27387	4.56874
2.2	0.724083	2.00257	3.27652	4.57206
2.21	0.724473	2.00434	3.27915	4.57535
2.22	0.724856	2.0061	3.28178	4.57864
2.23	0.725231	2.00784	3.28439	4.5819
2.24	0.725599	2.00958	3.28699	4.58515
2.25	0.72596	2.01131	3.28957	4.58838
2.26	0.726314	2.01303	3.29214	4.5916
2.27	0.726661	2.01474	3.2947	4.5948
2.28	0.727	2.01644	3.29724	4.59798
2.29	0.727332	2.01813	3.29978	4.60115
2.3	0.727658	2.01981	3.3023	4.6043
2.31	0.727976	2.02148	3.30481	4.60744
2.32	0.728288	2.02314	3.3073	4.61056
2.33	0.728592	2.02479	3.30979	4.61367
2.34	0.72889	2.02644	3.31226	4.61676
2.35	0.729181	2.02807	3.31472	4.61983
2.36	0.729465	2.0297	3.31717	4.62289
2.37	0.729742	2.03131	3.31961	4.62594
2.38	0.730013	2.03292	3.32204	4.62897
2.39	0.730277	2.03452	3.32445	4.63199
2.4	0.730535	2.03611	3.32686	4.635
2.41	0.730786	2.03769	3.32925	4.63799
2.42	0.731031	2.03926	3.33163	4.64096
2.43	0.731269	2.04082	3.334	4.64393
2.44	0.7315	2.04237	3.33636	4.64687
2.45	0.731726	2.04392	3.33871	4.64981
2.46	0.731945	2.04546	3.34105	4.65273
2.47	0.732157	2.04698	3.34338	4.65564
2.48	0.732364	2.0485	3.34569	4.65854
2.49	0.732564	2.05002	3.348	4.66142
2.5	0.732758	2.05152	3.3503	4.66429
2.51	0.732946	2.05301	3.35258	4.66715
2.52	0.733128	2.0545	3.35486	4.66999
2.53	0.733303	2.05598	3.35713	4.67282
2.54	0.733473	2.05745	3.35938	4.67564
2.55	0.733636	2.05891	3.36163	4.67845
2.56	0.733794	2.06036	3.36387	4.68125
2.57	0.733946	2.06181	3.36609	4.68403
2.58	0.734092	2.06324	3.36831	4.6868
2.59	0.734232	2.06467	3.37052	4.68956
2.6	0.734366	2.06609	3.37272	4.69231
2.61	0.734495	2.06751	3.37491	4.69505
2.62	0.734617	2.06891	3.37709	4.69777
2.63	0.734734	2.07031	3.37926	4.70048
2.64	0.734846	2.0717	3.38142	4.70319
2.65	0.734952	2.07308	3.38357	4.70588
2.66	0.735052	2.07445	3.38571	4.70856
2.67	0.735146	2.07582	3.38785	4.71123
2.68	0.735235	2.07718	3.38997	4.71388
2.69	0.735319	2.07853	3.39209	4.71653
2.7	0.735397	2.07987	3.39419	4.71917
2.71	0.73547	2.08121	3.39629	4.72179
2.72	0.735537	2.08253	3.39838	4.72441
2.73	0.735599	2.08385	3.40046	4.72701
2.74	0.735656	2.08517	3.40254	4.72961
2.75	0.735707	2.08647	3.4046	4.73219
2.76	0.735753	2.08777	3.40666	4.73477
2.77	0.735794	2.08906	3.4087	4.73733
2.78	0.735829	2.09034	3.41074	4.73988
2.79	0.73586	2.09162	3.41277	4.74243
2.8	0.735885	2.09289	3.41479	4.74496
2.81	0.735906	2.09415	3.41681	4.74748
2.82	0.735921	2.0954	3.41881	4.75
2.83	0.735931	2.09665	3.42081	4.7525
2.84	0.735936	2.09789	3.4228	4.755
2.85	0.735936	2.09912	3.42478	4.75748
2.86	0.735931	2.10035	3.42675	4.75996
2.87	0.735922	2.10156	3.42872	4.76242
2.88	0.735907	2.10277	3.43068	4.76488
2.89	0.735888	2.10398	3.43263	4.76733
2.9	0.735863	2.10518	3.43457	4.76977
2.91	0.735834	2.10637	3.4365	4.77219
2.92	0.7358	2.10755	3.43843	4.77462
2.93	0.735762	2.10872	3.44035	4.77703
2.94	0.735719	2.10989	3.44226	4.77943
2.95	0.735671	2.11106	3.44416	4.78182
2.96	0.735618	2.11221	3.44606	4.78421
2.97	0.735561	2.11336	3.44795	4.78658
2.98	0.735499	2.1145	3.44983	4.78895
2.99	0.735432	2.11563	3.4517	4.79131
3	0.735362	2.11676	3.45357	4.79366
3.01	0.735286	2.11788	3.45543	4.796
3.02	0.735206	2.119	3.45728	4.79833
3.03	0.735122	2.12011	3.45912	4.80066
3.04	0.735033	2.12121	3.46096	4.80297
3.05	0.73494	2.1223	3.46279	4.80528
3.06	0.734842	2.12339	3.46461	4.80758
3.07	0.73474	2.12447	3.46643	4.80987
3.08	0.734634	2.12555	3.46824	4.81216
3.09	0.734524	2.12661	3.47004	4.81443
3.1	0.734409	2.12768	3.47183	4.8167
3.11	0.73429	2.12873	3.47362	4.81896
3.12	0.734166	2.12978	3.4754	4.82121
3.13	0.734039	2.13082	3.47717	4.82345
3.14	0.733907	2.13186	3.47894	4.82569
3.15	0.733772	2.13289	3.4807	4.82792
3.16	0.733632	2.13391	3.48245	4.83014
3.17	0.733488	2.13493	3.4842	4.83235
3.18	0.73334	2.13594	3.48594	4.83456
3.19	0.733188	2.13694	3.48767	4.83675
3.2	0.733032	2.13794	3.48939	4.83894
3.21	0.732872	2.13893	3.49111	4.84112
3.22	0.732708	2.13992	3.49282	4.8433
3.23	0.73254	2.1409	3.49453	4.84547
3.24	0.732368	2.14187	3.49623	4.84763
3.25	0.732192	2.14284	3.49792	4.84978
3.26	0.732013	2.1438	3.49961	4.85193
3.27	0.731829	2.14475	3.50129	4.85406
3.28	0.731642	2.1457	3.50296	4.85619
3.29	0.731451	2.14664	3.50462	4.85832
3.3	0.731256	2.14758	3.50628	4.86044
3.31	0.731058	2.14851	3.50794	4.86255
3.32	0.730855	2.14943	3.50958	4.86465
3.33	0.730649	2.15035	3.51122	4.86674
3.34	0.73044	2.15126	3.51286	4.86883
3.35	0.730226	2.15217	3.51449	4.87091
3.36	0.730009	2.15307	3.51611	4.87299
3.37	0.729789	2.15396	3.51772	4.87506
3.38	0.729565	2.15485	3.51933	4.87712
3.39	0.729337	2.15573	3.52093	4.87917
3.4	0.729106	2.15661	3.52253	4.88122
3.41	0.728871	2.15748	3.52412	4.88326
3.42	0.728633	2.15835	3.5257	4.88529
3.43	0.728391	2.15921	3.52728	4.88732
3.44	0.728146	2.16006	3.52885	4.88934
3.45	0.727897	2.16091	3.53042	4.89136
3.46	0.727645	2.16175	3.53198	4.89336
3.47	0.727389	2.16258	3.53353	4.89537
3.48	0.727131	2.16342	3.53508	4.89736
3.49	0.726868	2.16424	3.53662	4.89935
3.5	0.726603	2.16506	3.53815	4.90133
3.51	0.726334	2.16587	3.53968	4.90331
3.52	0.726062	2.16668	3.54121	4.90527
3.53	0.725787	2.16748	3.54272	4.90724
3.54	0.725508	2.16828	3.54423	4.90919
3.55	0.725226	2.16907	3.54574	4.91114
3.56	0.724941	2.16986	3.54724	4.91309
3.57	0.724653	2.17064	3.54873	4.91502
3.58	0.724361	2.17141	3.55022	4.91696
3.59	0.724067	2.17218	3.5517	4.91888
3.6	0.723769	2.17294	3.55318	4.9208
3.61	0.723468	2.1737	3.55465	4.92271
3.62	0.723164	2.17446	3.55611	4.92462
3.63	0.722857	2.1752	3.55757	4.92652
3.64	0.722547	2.17594	3.55902	4.92842
3.65	0.722234	2.17668	3.56047	4.9303
3.66	0.721918	2.17741	3.56191	4.93219
3.67	0.721599	2.17814	3.56334	4.93406
3.68	0.721277	2.17886	3.56477	4.93593
