j	t1(j)	t2(j)	t3(j)	t4(j)
1.38	0.891501	1.99441	3.1687	4.3877
1.39	0.898778	2.0022	3.17794	4.39797
1.4	0.906037	2.00995	3.18712	4.40818
1.41	0.91328	2.01768	3.19624	4.41832
1.42	0.920504	2.02537	3.2053	4.4284
1.43	0.927712	2.03303	3.21432	4.43842
1.44	0.934903	2.04066	3.22327	4.44837
1.45	0.942076	2.04826	3.23218	4.45827
1.46	0.949232	2.05584	3.24103	4.46811
1.47	0.956372	2.06338	3.24983	4.47789
1.48	0.963494	2.0709	3.25859	4.48762
1.49	0.970599	2.0784	3.26729	4.49729
1.5	0.977686	2.08587	3.27595	4.50691
1.51	0.984757	2.09331	3.28456	4.51647
1.52	0.991811	2.10073	3.29312	4.52598
1.53	0.998848	2.10812	3.30165	4.53544
1.54	1.00587	2.1155	3.31012	4.54485
1.55	1.01287	2.12285	3.31856	4.55421
1.56	1.01986	2.13017	3.32695	4.56352
1.57	1.02682	2.13748	3.33531	4.57278
1.58	1.03378	2.14477	3.34362	4.582
1.59	1.04071	2.15203	3.35189	4.59116
1.6	1.04763	2.15927	3.36012	4.60028
1.61	1.05453	2.1665	3.36832	4.60936
1.62	1.06141	2.17371	3.37648	4.61839
1.63	1.06828	2.18089	3.3846	4.62738
1.64	1.07513	2.18806	3.39269	4.63632
1.65	1.08196	2.19521	3.40074	4.64523
1.66	1.08877	2.20235	3.40876	4.65409
1.67	1.09557	2.20947	3.41674	4.66291
1.68	1.10235	2.21657	3.42469	4.67168
1.69	1.10911	2.22365	3.43261	4.68042
1.7	1.11586	2.23072	3.44049	4.68912
1.71	1.12259	2.23777	3.44835	4.69778
1.72	1.1293	2.24481	3.45617	4.70641
1.73	1.13599	2.25183	3.46396	4.71499
1.74	1.14267	2.25884	3.47172	4.72354
1.75	1.14933	2.26584	3.47946	4.73205
1.76	1.15597	2.27282	3.48716	4.74053
1.77	1.16259	2.27979	3.49484	4.74897
1.78	1.1692	2.28674	3.50248	4.75737
1.79	1.17579	2.29368	3.5101	4.76574
1.8	1.18236	2.30061	3.5177	4.77408
1.81	1.18892	2.30752	3.52526	4.78238
1.82	1.19546	2.31443	3.53281	4.79065
1.83	1.20198	2.32132	3.54032	4.79889
1.84	1.20848	2.3282	3.54781	4.8071
1.85	1.21496	2.33507	3.55527	4.81527
1.86	1.22143	2.34193	3.56271	4.82342
1.87	1.22788	2.34878	3.57013	4.83153
1.88	1.23431	2.35561	3.57752	4.83961
1.89	1.24073	2.36244	3.58489	4.84767
1.9	1.24712	2.36925	3.59224	4.85569
1.91	1.2535	2.37606	3.59956	4.86369
1.92	1.25987	2.38286	3.60686	4.87165
1.93	1.26621	2.38964	3.61414	4.87959
1.94	1.27254	2.39642	3.6214	4.8875
1.95	1.27884	2.40319	3.62864	4.89538
1.96	1.28513	2.40995	3.63586	4.90324
1.97	1.29141	2.4167	3.64305	4.91107
1.98	1.29766	2.42344	3.65023	4.91887
1.99	1.3039	2.43017	3.65738	4.92665
2	1.31012	2.43689	3.66452	4.9344
2.01	1.31632	2.44361	3.67163	4.94212
2.02	1.3225	2.45032	3.67873	4.94982
2.03	1.32867	2.45702	3.68581	4.9575
2.04	1.33482	2.46371	3.69287	4.96515
2.05	1.34095	2.4704	3.69991	4.97277
2.06	1.34706	2.47707	3.70694	4.98038
2.07	1.35316	2.48374	3.71394	4.98796
2.08	1.35923	2.49041	3.72093	4.99551
2.09	1.36529	2.49706	3.72791	5.00305
2.1	1.37133	2.50371	3.73486	5.01056
2.11	1.37735	2.51035	3.7418	5.01805
2.12	1.38336	2.51699	3.74872	5.02551
2.13	1.38935	2.52362	3.75563	5.03296
2.14	1.39531	2.53024	3.76252	5.04038
2.15	1.40126	2.53686	3.76939	5.04778
2.16	1.4072	2.54347	3.77625	5.05517
