j	t1(j)	t2(j)	t3(j)	t4(j)
1.4	1.03728	2.2657	3.5676	4.95048
1.41	1.04769	2.28067	3.58765	4.97539
1.42	1.05809	2.29564	3.60769	5.00028
1.43	1.06847	2.3106	3.62772	5.02516
1.44	1.07884	2.32555	3.64774	5.05001
1.45	1.08919	2.3405	3.66775	5.07484
1.46	1.09954	2.35545	3.68774	5.09964
1.47	1.10987	2.37039	3.70772	5.12443
1.48	1.12019	2.38533	3.72769	5.1492
1.49	1.1305	2.40026	3.74765	5.17395
1.5	1.1408	2.41519	3.7676	5.19867
1.51	1.15108	2.43011	3.78754	5.22338
1.52	1.16136	2.44503	3.80746	5.24807
1.53	1.17163	2.45994	3.82738	5.27274
1.54	1.1819	2.47486	3.84728	5.29739
1.55	1.19215	2.48977	3.86717	5.32202
1.56	1.2024	2.50467	3.88705	5.34663
1.57	1.21264	2.51957	3.90693	5.37122
1.58	1.22287	2.53447	3.92679	5.39579
1.59	1.23309	2.54937	3.94664	5.42034
1.6	1.24331	2.56426	3.96648	5.44488
1.61	1.25353	2.57915	3.98631	5.4694
1.62	1.26373	2.59404	4.00613	5.4939
1.63	1.27394	2.60893	4.02594	5.51838
1.64	1.28414	2.62381	4.04574	5.54284
1.65	1.29433	2.63869	4.06554	5.56729
1.66	1.30452	2.65357	4.08532	5.59172
1.67	1.31471	2.66845	4.10509	5.61613
1.68	1.32489	2.68332	4.12486	5.64052
1.69	1.33507	2.6982	4.14461	5.6649
1.7	1.34525	2.71307	4.16436	5.68926
1.71	1.35543	2.72794	4.18409	5.71361
1.72	1.3656	2.74281	4.20382	5.73794
1.73	1.37577	2.75768	4.22354	5.76225
1.74	1.38594	2.77255	4.24325	5.78654
1.75	1.39611	2.78741	4.26296	5.81082
1.76	1.40628	2.80228	4.28265	5.83509
1.77	1.41645	2.81714	4.30234	5.85934
1.78	1.42662	2.832	4.32202	5.88357
1.79	1.43679	2.84687	4.34169	5.90779
1.8	1.44695	2.86173	4.36135	5.93199
1.81	1.45712	2.87659	4.38101	5.95618
1.82	1.46729	2.89145	4.40065	5.98035
1.83	1.47746	2.90631	4.42029	6.00451
1.84	1.48763	2.92118	4.43993	6.02865
1.85	1.4978	2.93604	4.45955	6.05278
1.86	1.50798	2.9509	4.47917	6.07689
1.87	1.51815	2.96576	4.49878	6.10099
1.88	1.52833	2.98062	4.51839	6.12508
1.89	1.53851	2.99549	4.53799	6.14915
1.9	1.54869	3.01035	4.55758	6.17321
1.91	1.55888	3.02521	4.57716	6.19725
1.92	1.56907	3.04008	4.59674	6.22129
1.93	1.57926	3.05494	4.61631	6.2453
1.94	1.58945	3.06981	4.63587	6.26931
1.95	1.59965	3.08467	4.65543	6.2933
1.96	1.60985	3.09954	4.67499	6.31728
1.97	1.62006	3.11441	4.69453	6.34124
1.98	1.63027	3.12928	4.71407	6.3652
1.99	1.64048	3.14415	4.73361	6.38914
2	1.6507	3.15903	4.75314	6.41307
2.01	1.66092	3.1739	4.77266	6.43698
2.02	1.67115	3.18878	4.79218	6.46089
2.03	1.68138	3.20365	4.81169	6.48478
2.04	1.69162	3.21853	4.8312	6.50866
