u	GluePotFac	MesonPotFac
0.00373309	4.74153	1.11182
0.00377247	4.74683	1.1115
0.00381205	4.75212	1.11117
0.00385185	4.7574	1.11084
0.00389185	4.76268	1.11052
0.00393206	4.76794	1.1102
0.00397248	4.7732	1.10988
0.00401311	4.77844	1.10956
0.00405395	4.78368	1.10924
0.004095	4.78891	1.10892
0.00413626	4.79413	1.10861
0.00417773	4.79934	1.10829
0.00421941	4.80455	1.10798
0.0042613	4.80975	1.10767
0.00430339	4.81493	1.10736
0.0043457	4.82011	1.10705
0.00438822	4.82529	1.10675
0.00443094	4.83045	1.10644
0.00447388	4.83561	1.10614
0.00451703	4.84076	1.10584
0.00456038	4.8459	1.10553
0.00460395	4.85103	1.10523
0.00464772	4.85615	1.10494
0.0046917	4.86127	1.10464
0.0047359	4.86638	1.10434
0.0047803	4.87149	1.10405
0.00482492	4.87658	1.10375
0.00486974	4.88167	1.10346
0.00491477	4.88675	1.10317
0.00496001	4.89183	1.10288
0.00500547	4.89689	1.10259
0.00505113	4.90195	1.1023
0.005097	4.90701	1.10202
0.00514308	4.91205	1.10173
0.00518937	4.91709	1.10145
0.00523587	4.92212	1.10117
0.00528259	4.92715	1.10088
0.00532951	4.93217	1.1006
0.00537664	4.93718	1.10032
0.00542398	4.94219	1.10004
0.00547153	4.94719	1.09977
0.00551929	4.95218	1.09949
0.00556726	4.95716	1.09922
0.00561544	4.96214	1.09894
0.00566383	4.96712	1.09867
0.00571243	4.97208	1.0984
0.00576124	4.97704	1.09812
0.00581026	4.982	1.09785
0.0058595	4.98695	1.09759
0.00590894	4.99189	1.09732
0.00595859	4.99682	1.09705
0.00600845	5.00175	1.09678
0.00605852	5.00668	1.09652
0.0061088	5.01159	1.09625
0.00615929	5.01651	1.09599
0.00620999	5.02141	1.09573
0.0062609	5.02631	1.09547
0.00631202	5.0312	1.09521
0.00636335	5.03609	1.09495
0.0064149	5.04097	1.09469
0.00646665	5.04585	1.09443
0.00651861	5.05072	1.09417
