A	q	Phi	tau	dq/dA	dPhi/dA	dtau/dA	d2q/dA2	d2Phi/dA2	d2tau/dA2	d3tau/dA3
-9.56	-1.06889e-05	18.7713	14.9209	-1.11858e-05	-1.53447	-2.29764	-1.17503e-05	-0.00305249	0.122055	0.00501522
-9.55	-1.08014e-05	18.756	14.8979	-1.13039e-05	-1.5345	-2.29642	-1.18749e-05	-0.00305729	0.122105	0.00502359
-9.54	-1.0915e-05	18.7406	14.875	-1.14233e-05	-1.53453	-2.2952	-1.20009e-05	-0.0030621	0.122156	0.005032
-9.53	-1.10298e-05	18.7253	14.852	-1.1544e-05	-1.53456	-2.29397	-1.21282e-05	-0.00306692	0.122206	0.00504043
-9.52	-1.11459e-05	18.7099	14.8291	-1.16659e-05	-1.53459	-2.29275	-1.22568e-05	-0.00307175	0.122256	0.0050489
-9.51	-1.12632e-05	18.6946	14.8062	-1.17891e-05	-1.53462	-2.29153	-1.23869e-05	-0.00307658	0.122307	0.0050574
-9.5	-1.13817e-05	18.6792	14.7833	-1.19136e-05	-1.53465	-2.29031	-1.25183e-05	-0.00308143	0.122358	0.00506593
-9.49	-1.15014e-05	18.6639	14.7604	-1.20395e-05	-1.53468	-2.28908	-1.26511e-05	-0.00308628	0.122408	0.00507449
-9.48	-1.16225e-05	18.6485	14.7375	-1.21667e-05	-1.53471	-2.28786	-1.27853e-05	-0.00309115	0.122459	0.00508309
-9.47	-1.17448e-05	18.6332	14.7146	-1.22952e-05	-1.53475	-2.28663	-1.2921e-05	-0.00309602	0.12251	0.00509171
-9.46	-1.18684e-05	18.6179	14.6918	-1.24251e-05	-1.53478	-2.28541	-1.30581e-05	-0.0031009	0.122561	0.00510037
-9.45	-1.19933e-05	18.6025	14.6689	-1.25564e-05	-1.53481	-2.28418	-1.31967e-05	-0.00310579	0.122612	0.00510906
-9.44	-1.21195e-05	18.5872	14.6461	-1.2689e-05	-1.53484	-2.28295	-1.33367e-05	-0.00311069	0.122663	0.00511779
