u	GluePotFac	MesonPotFac
2.081	1.84506e-07	1.91192e-05
2.091	1.46287e-07	1.69106e-05
2.101	1.15805e-07	1.49458e-05
2.111	9.15277e-08	1.31994e-05
2.121	7.22312e-08	1.16483e-05
2.131	5.69192e-08	1.02718e-05
2.141	4.47859e-08	9.05122e-06
2.151	3.51836e-08	7.96971e-06
2.161	2.75955e-08	7.01217e-06
2.171	2.16118e-08	6.1651e-06
2.181	1.69007e-08	5.41635e-06
2.191	1.31972e-08	4.75504e-06
2.201	1.02901e-08	4.1714e-06
2.211	8.00985e-09	3.65666e-06
2.221	6.22564e-09	3.20309e-06
2.231	4.83192e-09	2.80373e-06
2.241	3.74484e-09	2.45238e-06
2.251	2.89816e-09	2.1435e-06
2.261	2.23917e-09	1.87214e-06
2.271	1.72741e-09	1.63394e-06
2.281	1.33074e-09	1.42502e-06
2.291	1.02374e-09	1.24193e-06
2.301	7.86452e-10	1.08158e-06
2.311	6.0313e-10	9.41239e-07
2.321	4.6186e-10	8.1852e-07
2.331	3.53199e-10	7.11296e-07
2.341	2.69736e-10	6.17679e-07
2.351	2.05709e-10	5.36003e-07
2.361	1.56593e-10	4.64785e-07
2.371	1.19046e-10	4.02745e-07
2.381	9.03822e-11	3.48741e-07
2.391	6.85295e-11	3.01768e-07
2.401	5.18764e-11	2.60934e-07
2.411	3.92066e-11	2.25463e-07
2.421	2.95933e-11	1.94679e-07
2.431	2.23088e-11	1.67982e-07
2.441	1.67949e-11	1.44846e-07
2.451	1.26194e-11	1.24804e-07
2.461	9.47017e-12	1.07461e-07
2.471	7.09819e-12	9.24654e-08
2.481	5.31366e-12	7.95077e-08
2.491	3.97034e-12	6.83164e-08
2.501	2.96247e-12	5.86596e-08
2.511	2.20787e-12	5.03338e-08
2.521	1.64351e-12	4.31605e-08
2.531	1.22125e-12	3.69832e-08
2.541	9.06066e-13	3.16678e-08
2.551	6.71481e-13	2.70983e-08
2.561	4.97062e-13	2.31726e-08
2.571	3.67314e-13	1.98017e-08
2.581	2.70989e-13	1.69093e-08
2.591	1.99714e-13	1.44298e-08
2.601	1.47025e-13	1.23058e-08
2.611	1.08044e-13	1.04871e-08
2.621	7.92689e-14	8.93095e-09
2.631	5.80998e-14	7.60075e-09
2.641	4.25396e-14	6.46445e-09
2.651	3.10862e-14	5.49413e-09
2.661	2.26825e-14	4.66626e-09
2.671	1.65354e-14	3.96059e-09
2.681	1.2042e-14	3.35947e-09
2.691	8.75005e-15	2.84752e-09
2.701	6.35033e-15	2.41199e-09
2.711	4.60479e-15	2.04177e-09
2.721	3.33559e-15	1.72728e-09
2.731	2.40994e-15	1.46013e-09
2.741	1.73981e-15	1.23353e-09
2.751	1.255e-15	1.04144e-09
2.761	9.03842e-16	8.7867e-10
2.771	6.49594e-16	7.40814e-10
2.781	4.66547e-16	6.24201e-10
2.791	3.34812e-16	5.25618e-10
2.801	2.39707e-16	4.42286e-10
2.811	1.71399e-16	3.71921e-10
2.821	1.22481e-16	3.12561e-10
2.831	8.74279e-17	2.62509e-10
2.841	6.22351e-17	2.20307e-10
2.851	4.42797e-17	1.84778e-10
2.861	3.14852e-17	1.54886e-10
2.871	2.23365e-17	1.29738e-10
2.881	1.58221e-17	1.08601e-10
2.891	1.12029e-17	9.08536e-11
2.901	7.92452e-18	7.59597e-11
2.911	5.58843e-18	6.3459e-11
2.921	3.93988e-18	5.29848e-11
2.931	2.77636e-18	4.42136e-11
2.941	1.95124e-18	3.68676e-11
2.951	1.36963e-18	3.07223e-11
2.961	9.61162e-19	2.55868e-11
2.971	6.73522e-19	2.1296e-11
2.981	4.70686e-19	1.77118e-11
2.991	3.28919e-19	1.47225e-11
3.001	2.29763e-19	1.22308e-11
3.011	1.59916e-19	1.01528e-11
3.021	1.11273e-19	8.42305e-12
3.031	7.74173e-20	6.98411e-12
3.041	5.37161e-20	5.78684e-12
3.051	3.7216e-20	4.79167e-12
3.061	2.57875e-20	3.96551e-12
3.071	1.78397e-20	3.2797e-12
3.081	1.23064e-20	2.71049e-12
3.091	8.49229e-21	2.23889e-12
3.101	5.85809e-21	1.84831e-12
3.111	4.02364e-21	1.52462e-12
3.121	2.76511e-21	1.25696e-12
3.131	1.90039e-21	1.03574e-12
3.141	1.30079e-21	8.5278e-13
3.151	8.90212e-22	7.01739e-13
3.161	6.09447e-22	5.77156e-13
3.171	4.15828e-22	4.74337e-13
3.181	2.83394e-22	3.8959e-13
3.191	1.93259e-22	3.19826e-13
3.201	1.31446e-22	2.62373e-13
3.211	8.92119e-23	2.15093e-13
3.221	6.06007e-23	1.76248e-13
3.231	4.10888e-23	1.44326e-13
3.241	2.77718e-23	1.18097e-13
3.251	1.8792e-23	9.65902e-14
3.261	1.27014e-23	7.89537e-14
3.271	8.54973e-24	6.44853e-14
3.281	5.76293e-24	5.26444e-14
3.291	3.88278e-24	4.29547e-14
3.301	2.60304e-24	3.50184e-14
3.311	1.74788e-24	2.85359e-14
3.321	1.17383e-24	2.32418e-14
3.331	7.83799e-25	1.89128e-14
3.341	5.24319e-25	1.53836e-14
3.351	3.50959e-25	1.25072e-14
3.361	2.3342e-25	1.0159e-14
3.371	1.55567e-25	8.2483e-15
3.381	1.03777e-25	6.69401e-15
3.391	6.87541e-26	5.42735e-15
3.401	4.56555e-26	4.39863e-15
3.411	3.035e-26	3.56337e-15
3.421	2.00309e-26	2.88388e-15
3.431	1.3254e-26	2.33307e-15
3.441	8.77881e-27	1.88665e-15
3.451	5.7725e-27	1.52414e-15
3.461	3.80629e-27	1.23084e-15
3.471	2.51159e-27	9.93544e-16
3.481	1.64554e-27	8.01207e-16
3.491	1.08138e-27	6.45882e-16
3.501	7.10743e-28	5.20422e-16
3.511	4.64042e-28	4.18931e-16
3.521	3.03951e-28	3.37122e-16
3.531	1.98952e-28	2.71147e-16
3.541	1.2946e-28	2.17885e-16
3.551	8.4528e-29	1.75031e-16
3.561	5.50902e-29	1.40522e-16
3.571	3.5733e-29	1.12722e-16
3.581	2.32593e-29	9.03946e-17
3.591	1.5091e-29	7.24409e-17
3.601	9.75873e-30	5.80088e-17
3.611	6.33312e-30	4.64389e-17
3.621	4.0899e-30	3.71476e-17
3.631	2.63717e-30	2.96958e-17
3.641	1.70643e-30	2.37324e-17
3.651	1.09671e-30	1.89493e-17
3.661	7.05243e-31	1.51223e-17
3.671	4.55019e-31	1.2065e-17
3.681	2.91001e-31	9.61573e-18
3.691	1.86651e-31	7.66084e-18
3.701	1.20077e-31	6.10171e-18
3.711	7.64132e-32	4.85407e-18
3.721	4.88928e-32	3.86079e-18
3.731	3.12829e-32	3.06937e-18
3.741	1.98592e-32	2.43767e-18
3.751	1.26769e-32	1.93565e-18
3.761	8.0644e-33	1.536e-18
3.771	5.10885e-33	1.21786e-18
3.781	3.25358e-33	9.65463e-19
3.791	2.05759e-33	7.64691e-19
3.801	1.30107e-33	6.05321e-19
3.811	8.2661e-34	4.79086e-19
3.821	5.19678e-34	3.78745e-19
3.831	3.28043e-34	2.99328e-19
3.841	2.07717e-34	2.36506e-19
3.851	1.29948e-34	1.86631e-19
3.861	8.18933e-35	1.47262e-19
3.871	5.14966e-35	1.16133e-19
3.881	3.21762e-35	9.14968e-20
3.891	2.02426e-35	7.2082e-20
3.901	1.26402e-35	5.67358e-20
3.911	7.89003e-36	4.46299e-20
3.921	4.95431e-36	3.51043e-20
3.931	3.07258e-36	2.75775e-20
3.941	1.9162e-36	2.16597e-20
3.951	1.19788e-36	1.70074e-20
3.961	7.39803e-37	1.33371e-20
3.971	4.6093e-37	1.04591e-20
3.981	2.8579e-37	8.19641e-21
3.991	1.76468e-37	6.41782e-21
4.001	1.09811e-37	5.02528e-21
4.011	6.75447e-38	3.93033e-21
4.021	4.17054e-38	3.07289e-21
4.031	2.5896e-38	2.40236e-21
4.041	1.58188e-38	1.87528e-21
4.051	9.76559e-39	1.46402e-21
4.061	6.0066e-39	1.14224e-21
4.071	3.67183e-39	8.90331e-22
4.081	2.26539e-39	6.9405e-22
4.091	1.38077e-39	5.40407e-22
4.101	8.44791e-40	4.20623e-22
4.111	5.20293e-40	3.27395e-22
4.121	3.14681e-40	2.54414e-22
4.131	1.92642e-40	1.97743e-22
4.141	1.17375e-40	1.53594e-22
4.151	7.11154e-41	1.19189e-22
4.161	4.35311e-41	9.25076e-23
4.171	2.62576e-41	7.1704e-23
4.181	1.5937e-41	5.55666e-23
4.191	9.71711e-42	4.30574e-23
4.201	5.82712e-42	3.3312e-23
4.211	3.54098e-42	2.578e-23
4.221	2.1334e-42	1.99334e-23
4.231	1.28302e-42	1.54014e-23
4.241	7.79732e-43	1.19026e-23
4.251	4.64818e-43	9.18361e-24
4.261	2.80242e-43	7.08649e-24
4.271	1.68777e-43	5.46607e-24
4.281	1.00533e-43	4.21081e-24
4.291	6.06987e-44	3.245e-24
4.301	3.60969e-44	2.49745e-24
4.311	2.15835e-44	1.92154e-24
4.321	1.29996e-44	1.47858e-24
4.331	7.66783e-45	1.13567e-24
4.341	4.59778e-45	8.72706e-25
4.351	2.729e-45	6.69995e-25
4.361	1.6179e-45	5.13998e-25
4.371	9.71122e-46	3.94472e-25
4.381	5.69304e-46	3.02166e-25
4.391	3.38946e-46	2.31541e-25
4.401	2.00839e-46	1.7732e-25
4.411	1.18049e-46	1.35641e-25
4.421	7.04458e-47	1.03812e-25
4.431	4.1145e-47	7.93165e-26
4.441	2.43214e-47	6.06066e-26
4.451	1.43865e-47	4.6299e-26
4.461	8.38449e-48	3.53152e-26
4.471	4.97417e-48	2.69541e-26
4.481	2.89449e-48	2.05412e-26
4.491	1.6989e-48	1.56518e-26
4.501	1.00295e-48	1.19271e-26
4.511	5.79705e-49	9.07179e-27
4.521	3.41932e-49	6.9051e-27
4.531	1.98193e-49	5.24873e-27
4.541	1.15535e-49	3.9883e-27
4.551	6.80398e-50	3.03157e-27
4.561	3.9018e-50	2.29935e-27
4.571	2.28861e-50	1.74545e-27
4.581	1.32083e-50	1.32332e-27
4.591	7.65002e-51	1.00279e-27
4.601	4.49129e-51	7.60301e-28
4.611	2.5566e-51	5.75068e-28
4.621	1.49169e-51	4.35373e-28
4.631	8.56702e-52	3.29216e-28
4.641	4.93241e-52	2.488e-28
4.651	2.88449e-52	1.88152e-28
4.661	1.63089e-52	1.41924e-28
4.671	9.46945e-53	1.07165e-28
4.681	5.40809e-53	8.08201e-29
4.691	3.0971e-53	6.09164e-29
4.701	1.80235e-53	4.59469e-29
4.711	1.01295e-53	3.45649e-29
4.721	5.85561e-54	2.6032e-29
4.731	3.32283e-54	1.95795e-29
4.741	1.89414e-54	1.47191e-29
4.751	1.09567e-54	1.10725e-29
4.761	6.12642e-55	8.30767e-30
4.771	3.5277e-55	6.24087e-30
4.781	1.98732e-55	4.68108e-30
4.791	1.12851e-55	3.51008e-30
4.801	6.48068e-56	2.63329e-30
