Q2:	7628

u	fQ	dfQ/du	fQ^2 + (dfQ/du)^2/Q2
4.84808e-05	1	-50.2983	1.33166
5.0221e-05	0.999919	-50.2945	1.33145
5.20201e-05	0.999836	-50.2906	1.33123
5.388e-05	0.999749	-50.2866	1.33101
5.58024e-05	0.99966	-50.2825	1.33077
5.77895e-05	0.999568	-50.2782	1.33053
5.9843e-05	0.999473	-50.2737	1.33028
6.19652e-05	0.999374	-50.2692	1.33003
6.41581e-05	0.999273	-50.2644	1.32976
6.64238e-05	0.999168	-50.2595	1.32949
6.87645e-05	0.999059	-50.2545	1.3292
7.11826e-05	0.998947	-50.2493	1.32891
7.36802e-05	0.998831	-50.2439	1.32861
7.62598e-05	0.998711	-50.2383	1.3283
7.89238e-05	0.998588	-50.2326	1.32797
8.16747e-05	0.99846	-50.2266	1.32764
8.4515e-05	0.998329	-50.2205	1.3273
8.74473e-05	0.998193	-50.2142	1.32694
9.04743e-05	0.998052	-50.2077	1.32658
9.35986e-05	0.997908	-50.2009	1.3262
9.68231e-05	0.997758	-50.194	1.32581
0.00010015	0.997604	-50.1868	1.32541
0.000103584	0.997445	-50.1794	1.32499
0.000107126	0.997281	-50.1718	1.32457
0.000110779	0.997112	-50.1639	1.32412
0.000114548	0.996937	-50.1558	1.32367
0.000118434	0.996757	-50.1474	1.3232
0.000122442	0.996572	-50.1388	1.32272
0.000126573	0.996381	-50.1299	1.32222
0.000130832	0.996183	-50.1207	1.32171
0.000135222	0.99598	-50.1113	1.32118
0.000139746	0.995771	-50.1015	1.32063
0.000144407	0.995555	-50.0915	1.32007
0.000149209	0.995333	-50.0812	1.31949
0.000154155	0.995105	-50.0705	1.3189
0.000159249	0.994869	-50.0596	1.31829
0.000164494	0.994627	-50.0483	1.31766
0.000169894	0.994377	-50.0367	1.31701
0.000175452	0.99412	-50.0247	1.31634
0.000181171	0.993856	-50.0124	1.31565
0.000187056	0.993584	-49.9998	1.31495
0.000193109	0.993304	-49.9868	1.31422
0.000199334	0.993017	-49.9734	1.31347
0.000205736	0.992722	-49.9596	1.31271
0.000212316	0.992418	-49.9455	1.31192
0.000219079	0.992106	-49.931	1.31111
0.000226028	0.991785	-49.9161	1.31028
0.000233166	0.991456	-49.9007	1.30942
0.000240497	0.991118	-49.885	1.30855
0.000248024	0.990771	-49.8689	1.30765
0.00025575	0.990415	-49.8523	1.30673
0.000263677	0.99005	-49.8353	1.30578
0.00027181	0.989675	-49.8179	1.30481
0.000280151	0.989291	-49.8	1.30382
0.000288702	0.988897	-49.7817	1.3028
0.000297467	0.988494	-49.7629	1.30176
0.000306447	0.988081	-49.7437	1.30069
0.000315645	0.987658	-49.724	1.2996
0.000325064	0.987225	-49.7039	1.29848
0.000334705	0.986782	-49.6832	1.29734
0.00034457	0.986328	-49.6621	1.29617
0.000354662	0.985865	-49.6406	1.29497
0.000364981	0.985391	-49.6185	1.29375
0.00037553	0.984907	-49.596	1.29251
0.000386308	0.984412	-49.573	1.29123
0.000397319	0.983907	-49.5495	1.28993
0.000408561	0.983392	-49.5255	1.28861
0.000420037	0.982866	-49.501	1.28726
0.000431747	0.982329	-49.4761	1.28588
0.000443691	0.981782	-49.4506	1.28447
0.000455869	0.981225	-49.4247	1.28304
0.000468282	0.980657	-49.3982	1.28159
0.00048093	0.980079	-49.3713	1.2801
0.000493813	0.97949	-49.3439	1.2786
0.00050693	0.97889	-49.316	1.27706
0.000520282	0.978281	-49.2876	1.2755
0.000533867	0.97766	-49.2588	1.27391
0.000547685	0.97703	-49.2294	1.2723
0.000561736	0.976389	-49.1996	1.27067
0.000576019	0.975738	-49.1693	1.269
0.000590534	0.975077	-49.1385	1.26732
0.000605279	0.974405	-49.1073	1.26561
0.000620254	0.973724	-49.0755	1.26387
0.000635458	0.973032	-49.0434	1.26211
0.000650891	0.97233	-49.0107	1.26032
0.000666552	0.971618	-48.9776	1.25852
0.000682439	0.970897	-48.944	1.25668
0.000698552	0.970165	-48.9099	1.25483
0.00071489	0.969424	-48.8754	1.25295
0.000731452	0.968673	-48.8405	1.25104
0.000748239	0.967913	-48.8051	1.24912
0.000765248	0.967142	-48.7692	1.24717
0.000782479	0.966362	-48.7329	1.2452
0.000799931	0.965573	-48.6962	1.2432
0.000817605	0.964774	-48.659	1.24118
0.000835498	0.963965	-48.6213	1.23914
0.000853611	0.963148	-48.5833	1.23708
0.000871942	0.96232	-48.5448	1.235
0.000890492	0.961484	-48.5058	1.2329
0.000909259	0.960638	-48.4664	1.23077
0.000928244	0.959783	-48.4266	1.22862
0.000947445	0.958919	-48.3864	1.22645
0.000966862	0.958046	-48.3458	1.22426
0.000986495	0.957163	-48.3047	1.22205
0.00100634	0.956272	-48.2632	1.21982
0.00102641	0.955371	-48.2212	1.21757
0.00104668	0.954462	-48.1789	1.2153
0.00106718	0.953543	-48.1361	1.21301
0.00108788	0.952616	-48.093	1.21069
0.0011088	0.95168	-48.0494	1.20836
0.00112993	0.950734	-48.0054	1.20601
0.00115128	0.949781	-47.9609	1.20364
0.00117283	0.948818	-47.9161	1.20125
0.0011946	0.947846	-47.8709	1.19884
0.00121659	0.946866	-47.8252	1.19641
0.00123878	0.945877	-47.7792	1.19396
0.00126119	0.94488	-47.7328	1.19149
0.0012838	0.943874	-47.6859	1.189
0.00130663	0.942859	-47.6386	1.1865
0.00132967	0.941836	-47.591	1.18397
0.00135292	0.940804	-47.5429	1.18143
0.00137638	0.939763	-47.4945	1.17887
0.00140006	0.938715	-47.4456	1.17629
0.00142394	0.937657	-47.3964	1.1737
0.00144803	0.936592	-47.3468	1.17108
0.00147234	0.935517	-47.2968	1.16845
0.00149685	0.934435	-47.2463	1.1658
0.00152157	0.933344	-47.1955	1.16314
0.00154651	0.932245	-47.1443	1.16045
0.00157165	0.931138	-47.0928	1.15775
0.00159701	0.930022	-47.0408	1.15503
0.00162257	0.928898	-46.9884	1.1523
0.00164834	0.927766	-46.9357	1.14955
0.00167433	0.926626	-46.8826	1.14678
0.00170052	0.925477	-46.8291	1.144
0.00172692	0.924321	-46.7752	1.1412
0.00175353	0.923156	-46.721	1.13838
0.00178035	0.921983	-46.6663	1.13555
0.00180739	0.920802	-46.6113	1.1327
0.00183463	0.919614	-46.556	1.12983
0.00186208	0.918417	-46.5002	1.12695
0.00188973	0.917212	-46.4441	1.12406
0.0019176	0.915999	-46.3876	1.12115
0.00194568	0.914779	-46.3307	1.11822
0.00197397	0.91355	-46.2735	1.11528
0.00200246	0.912314	-46.2159	1.11233
0.00203117	0.91107	-46.1579	1.10936
0.00206008	0.909818	-46.0996	1.10637
0.00208921	0.908558	-46.0409	1.10337
0.00211854	0.907291	-45.9818	1.10036
0.00214808	0.906016	-45.9224	1.09733
0.00217783	0.904733	-45.8626	1.09429
0.00220779	0.903442	-45.8025	1.09123
0.00223796	0.902144	-45.742	1.08816
0.00226834	0.900838	-45.6811	1.08508
0.00229893	0.899525	-45.6199	1.08198
0.00232972	0.898204	-45.5584	1.07887
0.00236073	0.896876	-45.4965	1.07575
0.00239195	0.89554	-45.4342	1.07261
0.00242337	0.894197	-45.3716	1.06946
0.002455	0.892846	-45.3086	1.0663
0.00248684	0.891488	-45.2453	1.06312
0.0025189	0.890122	-45.1817	1.05993
0.00255116	0.888749	-45.1177	1.05674
0.00258363	0.887369	-45.0533	1.05352
0.0026163	0.885982	-44.9887	1.0503
0.00264919	0.884587	-44.9237	1.04706
0.00268229	0.883185	-44.8583	1.04382
0.00271559	0.881776	-44.7926	1.04056
0.00274911	0.880359	-44.7266	1.03729
0.00278283	0.878936	-44.6602	1.034
0.00281677	0.877505	-44.5935	1.03071
0.00285091	0.876068	-44.5265	1.02741
0.00288526	0.874623	-44.4591	1.02409
0.00291982	0.873171	-44.3914	1.02077
0.00295459	0.871712	-44.3234	1.01743
0.00298957	0.870247	-44.2551	1.01408
0.00302476	0.868774	-44.1864	1.01073
0.00306016	0.867295	-44.1174	1.00736
0.00309576	0.865808	-44.0481	1.00398
0.00313158	0.864315	-43.9784	1.00059
0.0031676	0.862815	-43.9085	0.997197
0.00320384	0.861308	-43.8382	0.993791
0.00324028	0.859795	-43.7676	0.990375
0.00327694	0.858275	-43.6967	0.986951
0.0033138	0.856748	-43.6255	0.983517
0.00335087	0.855214	-43.554	0.980074
0.00338815	0.853674	-43.4821	0.976622
0.00342564	0.852128	-43.41	0.973162
0.00346334	0.850574	-43.3375	0.969693
0.00350125	0.849015	-43.2648	0.966216
0.00353937	0.847448	-43.1917	0.962731
0.00357769	0.845876	-43.1183	0.959238
0.00361623	0.844296	-43.0446	0.955737
0.00365497	0.842711	-42.9707	0.952228
0.00369393	0.841119	-42.8964	0.948711
0.00373309	0.839521	-42.8218	0.945188
0.00377247	0.837917	-42.747	0.941656
0.00381205	0.836306	-42.6718	0.938118
0.00385185	0.834689	-42.5964	0.934573
0.00389185	0.833066	-42.5206	0.931021
0.00393206	0.831437	-42.4446	0.927462
0.00397248	0.829802	-42.3683	0.923897
0.00401311	0.82816	-42.2917	0.920326
0.00405395	0.826513	-42.2148	0.916748
0.004095	0.824859	-42.1376	0.913164
0.00413626	0.8232	-42.0601	0.909574
0.00417773	0.821535	-41.9824	0.905979
0.00421941	0.819863	-41.9044	0.902378
0.0042613	0.818186	-41.8261	0.898771
0.00430339	0.816503	-41.7475	0.895159
0.0043457	0.814815	-41.6687	0.891542
0.00438822	0.81312	-41.5896	0.88792
0.00443094	0.81142	-41.5102	0.884293
0.00447388	0.809714	-41.4305	0.880662
0.00451703	0.808002	-41.3506	0.877025
0.00456038	0.806285	-41.2704	0.873385
0.00460395	0.804562	-41.19	0.86974
0.00464772	0.802834	-41.1093	0.866091
0.0046917	0.8011	-41.0283	0.862438
0.0047359	0.799361	-40.9471	0.858782
0.0047803	0.797616	-40.8656	0.855121
0.00482492	0.795866	-40.7838	0.851458
0.00486974	0.794111	-40.7018	0.84779
0.00491477	0.79235	-40.6196	0.84412
0.00496001	0.790584	-40.5371	0.840447
0.00500547	0.788812	-40.4543	0.83677
0.00505113	0.787036	-40.3713	0.833091
0.005097	0.785254	-40.2881	0.829409
0.00514308	0.783467	-40.2046	0.825725
0.00518937	0.781675	-40.1209	0.822039
0.00523587	0.779878	-40.0369	0.81835
0.00528259	0.778076	-39.9527	0.814659
0.00532951	0.776269	-39.8683	0.810967
0.00537664	0.774456	-39.7836	0.807273
0.00542398	0.772639	-39.6987	0.803577
0.00547153	0.770818	-39.6135	0.799879
0.00551929	0.768991	-39.5281	0.796181
0.00556726	0.767159	-39.4425	0.792481
0.00561544	0.765323	-39.3567	0.78878
0.00566383	0.763482	-39.2706	0.785079
0.00571243	0.761636	-39.1843	0.781376
0.00576124	0.759786	-39.0978	0.777673
0.00581026	0.757931	-39.0111	0.77397
0.0058595	0.756071	-38.9242	0.770266
0.00590894	0.754207	-38.837	0.766562
0.00595859	0.752339	-38.7496	0.762859
0.00600845	0.750466	-38.6621	0.759155
0.00605852	0.748588	-38.5743	0.755452
0.0061088	0.746706	-38.4863	0.751749
0.00615929	0.74482	-38.398	0.748046
0.00620999	0.74293	-38.3096	0.744344
0.0062609	0.741035	-38.221	0.740644
0.00631202	0.739136	-38.1322	0.736944
0.00636335	0.737233	-38.0431	0.733245
0.0064149	0.735326	-37.9539	0.729547
0.00646665	0.733414	-37.8645	0.725851
0.00651861	0.731499	-37.7749	0.722157
0.00657078	0.729579	-37.6851	0.718464
0.00662316	0.727656	-37.5951	0.714773
0.00667576	0.725728	-37.5049	0.711083
0.00672856	0.723797	-37.4145	0.707396
0.00678157	0.721862	-37.3239	0.703711
0.0068348	0.719923	-37.2332	0.700029
0.00688823	0.71798	-37.1423	0.696349
0.00694187	0.716034	-37.0511	0.692671
0.00699573	0.714084	-36.9599	0.688996
0.00704979	0.71213	-36.8684	0.685325
0.00710407	0.710172	-36.7767	0.681656
0.00715855	0.708211	-36.6849	0.67799
0.00721325	0.706246	-36.593	0.674327
0.00726815	0.704278	-36.5008	0.670668
