Q2:	10

u	fQ	dfQ/du	fQ^2 + (dfQ/du)^2/Q2
4.84808e-05	1	-0.0108917	1.00001
5.0221e-05	1	-0.0109847	1.00001
5.20201e-05	1	-0.0110807	1.00001
5.388e-05	1	-0.0111799	1.00001
5.58024e-05	1	-0.0112825	1.00001
5.77895e-05	1	-0.0113884	1.00001
5.9843e-05	1	-0.0114979	1.00001
6.19652e-05	1	-0.011611	1.00001
6.41581e-05	1	-0.0117279	1.00001
6.64238e-05	1	-0.0118486	1.00001
6.87645e-05	1	-0.0119732	1.00001
7.11826e-05	1	-0.0121019	1.00001
7.36802e-05	1	-0.0122348	1.00001
7.62598e-05	1	-0.012372	1.00001
7.89238e-05	1	-0.0125137	1.00001
8.16747e-05	1	-0.0126599	1.00002
8.4515e-05	0.999999	-0.0128108	1.00002
8.74473e-05	0.999999	-0.0129665	1.00002
9.04743e-05	0.999999	-0.0131272	1.00002
9.35986e-05	0.999999	-0.0132929	1.00002
9.68231e-05	0.999999	-0.0134639	1.00002
0.00010015	0.999999	-0.0136403	1.00002
0.000103584	0.999999	-0.0138222	1.00002
0.000107126	0.999999	-0.0140098	1.00002
0.000110779	0.999999	-0.0142032	1.00002
0.000114548	0.999999	-0.0144025	1.00002
0.000118434	0.999999	-0.014608	1.00002
0.000122442	0.999999	-0.0148197	1.00002
0.000126573	0.999999	-0.0150379	1.00002
0.000130832	0.999999	-0.0152627	1.00002
0.000135222	0.999999	-0.0154942	1.00002
0.000139746	0.999999	-0.0157327	1.00002
0.000144407	0.999998	-0.0159782	1.00002
0.000149209	0.999998	-0.016231	1.00002
0.000154155	0.999998	-0.0164911	1.00002
0.000159249	0.999998	-0.0167589	1.00002
0.000164494	0.999998	-0.0170344	1.00003
0.000169894	0.999998	-0.0173178	1.00003
0.000175452	0.999998	-0.0176092	1.00003
0.000181171	0.999998	-0.0179089	1.00003
0.000187056	0.999998	-0.018217	1.00003
0.000193109	0.999998	-0.0185336	1.00003
0.000199334	0.999997	-0.018859	1.00003
0.000205736	0.999997	-0.0191932	1.00003
0.000212316	0.999997	-0.0195365	1.00003
0.000219079	0.999997	-0.0198889	1.00003
0.000226028	0.999997	-0.0202507	1.00003
0.000233166	0.999997	-0.020622	1.00004
0.000240497	0.999996	-0.0210028	1.00004
0.000248024	0.999996	-0.0213935	1.00004
0.00025575	0.999996	-0.021794	1.00004
0.000263677	0.999996	-0.0222045	1.00004
0.00027181	0.999996	-0.0226252	1.00004
0.000280151	0.999996	-0.0230561	1.00004
0.000288702	0.999995	-0.0234973	1.00005
0.000297467	0.999995	-0.023949	1.00005
0.000306447	0.999995	-0.0244112	1.00005
0.000315645	0.999995	-0.024884	1.00005
0.000325064	0.999994	-0.0253675	1.00005
0.000334705	0.999994	-0.0258617	1.00006
0.00034457	0.999994	-0.0263667	1.00006
0.000354662	0.999994	-0.0268825	1.00006
0.000364981	0.999993	-0.0274092	1.00006
0.00037553	0.999993	-0.0279468	1.00006
0.000386308	0.999993	-0.0284953	1.00007
0.000397319	0.999992	-0.0290547	1.00007
0.000408561	0.999992	-0.029625	1.00007
0.000420037	0.999992	-0.0302061	1.00007
0.000431747	0.999991	-0.0307981	1.00008
0.000443691	0.999991	-0.031401	1.00008
0.000455869	0.99999	-0.0320145	1.00008
0.000468282	0.99999	-0.0326389	1.00009
0.00048093	0.99999	-0.0332739	1.00009
0.000493813	0.999989	-0.0339194	1.00009
0.00050693	0.999989	-0.0345755	1.0001
0.000520282	0.999988	-0.0352421	1.0001
0.000533867	0.999988	-0.035919	1.0001
0.000547685	0.999987	-0.0366062	1.00011
0.000561736	0.999987	-0.0373035	1.00011
0.000576019	0.999986	-0.038011	1.00012
0.000590534	0.999986	-0.0387284	1.00012
0.000605279	0.999985	-0.0394557	1.00013
0.000620254	0.999984	-0.0401928	1.00013
0.000635458	0.999984	-0.0409395	1.00013
0.000650891	0.999983	-0.0416958	1.00014
0.000666552	0.999982	-0.0424616	1.00015
0.000682439	0.999982	-0.0432367	1.00015
0.000698552	0.999981	-0.044021	1.00016
0.00071489	0.99998	-0.0448145	1.00016
0.000731452	0.999979	-0.045617	1.00017
0.000748239	0.999979	-0.0464283	1.00017
0.000765248	0.999978	-0.0472485	1.00018
0.000782479	0.999977	-0.0480774	1.00019
0.000799931	0.999976	-0.0489148	1.00019
0.000817605	0.999975	-0.0497607	1.0002
0.000835498	0.999974	-0.050615	1.00021
0.000853611	0.999973	-0.0514776	1.00021
0.000871942	0.999973	-0.0523484	1.00022
0.000890492	0.999972	-0.0532272	1.00023
0.000909259	0.999971	-0.054114	1.00023
0.000928244	0.99997	-0.0550086	1.00024
0.000947445	0.999968	-0.055911	1.00025
0.000966862	0.999967	-0.0568211	1.00026
0.000986495	0.999966	-0.0577388	1.00027
0.00100634	0.999965	-0.058664	1.00027
0.00102641	0.999964	-0.0595965	1.00028
0.00104668	0.999963	-0.0605364	1.00029
0.00106718	0.999961	-0.0614834	1.0003
0.00108788	0.99996	-0.0624376	1.00031
0.0011088	0.999959	-0.0633988	1.00032
0.00112993	0.999957	-0.064367	1.00033
0.00115128	0.999956	-0.065342	1.00034
0.00117283	0.999955	-0.0663237	1.00035
0.0011946	0.999953	-0.0673122	1.00036
0.00121659	0.999952	-0.0683072	1.00037
0.00123878	0.99995	-0.0693087	1.00038
0.00126119	0.999949	-0.0703167	1.00039
0.0012838	0.999947	-0.0713309	1.0004
0.00130663	0.999945	-0.0723515	1.00041
0.00132967	0.999944	-0.0733782	1.00043
0.00135292	0.999942	-0.074411	1.00044
0.00137638	0.99994	-0.0754497	1.00045
0.00140006	0.999939	-0.0764945	1.00046
0.00142394	0.999937	-0.077545	1.00047
0.00144803	0.999935	-0.0786013	1.00049
0.00147234	0.999933	-0.0796633	1.0005
0.00149685	0.999931	-0.0807308	1.00051
0.00152157	0.999929	-0.0818039	1.00053
0.00154651	0.999927	-0.0828825	1.00054
0.00157165	0.999925	-0.0839663	1.00055
0.00159701	0.999923	-0.0850555	1.00057
0.00162257	0.999921	-0.0861499	1.00058
0.00164834	0.999918	-0.0872493	1.0006
0.00167433	0.999916	-0.0883539	1.00061
0.00170052	0.999914	-0.0894634	1.00063
0.00172692	0.999911	-0.0905777	1.00064
0.00175353	0.999909	-0.0916969	1.00066
0.00178035	0.999907	-0.0928209	1.00067
0.00180739	0.999904	-0.0939495	1.00069
0.00183463	0.999902	-0.0950827	1.00071
0.00186208	0.999899	-0.0962204	1.00072
0.00188973	0.999896	-0.0973625	1.00074
0.0019176	0.999894	-0.098509	1.00076
0.00194568	0.999891	-0.0996597	1.00077
0.00197397	0.999888	-0.100815	1.00079
0.00200246	0.999885	-0.101974	1.00081
0.00203117	0.999882	-0.103137	1.00083
0.00206008	0.999879	-0.104304	1.00085
0.00208921	0.999876	-0.105475	1.00087
0.00211854	0.999873	-0.10665	1.00088
0.00214808	0.99987	-0.107829	1.0009
0.00217783	0.999867	-0.109012	1.00092
0.00220779	0.999864	-0.110198	1.00094
0.00223796	0.99986	-0.111387	1.00096
0.00226834	0.999857	-0.11258	1.00098
0.00229893	0.999854	-0.113777	1.001
0.00232972	0.99985	-0.114977	1.00102
0.00236073	0.999847	-0.11618	1.00104
0.00239195	0.999843	-0.117387	1.00106
0.00242337	0.999839	-0.118596	1.00109
0.002455	0.999836	-0.119809	1.00111
0.00248684	0.999832	-0.121025	1.00113
0.0025189	0.999828	-0.122244	1.00115
0.00255116	0.999824	-0.123465	1.00117
0.00258363	0.99982	-0.12469	1.00119
0.0026163	0.999816	-0.125917	1.00122
0.00264919	0.999812	-0.127147	1.00124
0.00268229	0.999808	-0.128379	1.00126
0.00271559	0.999803	-0.129615	1.00129
0.00274911	0.999799	-0.130852	1.00131
0.00278283	0.999795	-0.132092	1.00133
0.00281677	0.99979	-0.133335	1.00136
0.00285091	0.999786	-0.13458	1.00138
0.00288526	0.999781	-0.135827	1.00141
0.00291982	0.999776	-0.137076	1.00143
0.00295459	0.999772	-0.138328	1.00146
0.00298957	0.999767	-0.139582	1.00148
0.00302476	0.999762	-0.140837	1.00151
0.00306016	0.999757	-0.142095	1.00153
0.00309576	0.999752	-0.143355	1.00156
0.00313158	0.999747	-0.144616	1.00158
0.0031676	0.999741	-0.145879	1.00161
0.00320384	0.999736	-0.147145	1.00164
0.00324028	0.999731	-0.148412	1.00166
0.00327694	0.999725	-0.14968	1.00169
0.0033138	0.99972	-0.15095	1.00172
0.00335087	0.999714	-0.152222	1.00175
0.00338815	0.999709	-0.153495	1.00177
0.00342564	0.999703	-0.15477	1.0018
0.00346334	0.999697	-0.156046	1.00183
0.00350125	0.999691	-0.157324	1.00186
0.00353937	0.999685	-0.158603	1.00189
0.00357769	0.999679	-0.159883	1.00191
0.00361623	0.999673	-0.161165	1.00194
0.00365497	0.999667	-0.162448	1.00197
0.00369393	0.99966	-0.163732	1.002
0.00373309	0.999654	-0.165017	1.00203
0.00377247	0.999647	-0.166303	1.00206
0.00381205	0.999641	-0.16759	1.00209
0.00385185	0.999634	-0.168878	1.00212
0.00389185	0.999627	-0.170167	1.00215
0.00393206	0.999621	-0.171457	1.00218
0.00397248	0.999614	-0.172748	1.00221
0.00401311	0.999607	-0.17404	1.00224
0.00405395	0.999599	-0.175333	1.00227
0.004095	0.999592	-0.176626	1.0023
0.00413626	0.999585	-0.177921	1.00234
0.00417773	0.999578	-0.179216	1.00237
0.00421941	0.99957	-0.180511	1.0024
0.0042613	0.999562	-0.181808	1.00243
0.00430339	0.999555	-0.183105	1.00246
0.0043457	0.999547	-0.184402	1.00249
0.00438822	0.999539	-0.185701	1.00253
0.00443094	0.999531	-0.186999	1.00256
0.00447388	0.999523	-0.188299	1.00259
0.00451703	0.999515	-0.189599	1.00263
0.00456038	0.999507	-0.190899	1.00266
0.00460395	0.999498	-0.1922	1.00269
0.00464772	0.99949	-0.193501	1.00272
0.0046917	0.999481	-0.194802	1.00276
0.0047359	0.999473	-0.196104	1.00279
0.0047803	0.999464	-0.197407	1.00283
0.00482492	0.999455	-0.19871	1.00286
0.00486974	0.999446	-0.200013	1.00289
0.00491477	0.999437	-0.201316	1.00293
0.00496001	0.999428	-0.20262	1.00296
0.00500547	0.999419	-0.203924	1.003
0.00505113	0.999409	-0.205228	1.00303
0.005097	0.9994	-0.206533	1.00307
0.00514308	0.99939	-0.207838	1.0031
0.00518937	0.999381	-0.209143	1.00314
0.00523587	0.999371	-0.210448	1.00317
0.00528259	0.999361	-0.211754	1.00321
0.00532951	0.999351	-0.213059	1.00324
0.00537664	0.999341	-0.214365	1.00328
0.00542398	0.999331	-0.215671	1.00331
0.00547153	0.99932	-0.216978	1.00335
0.00551929	0.99931	-0.218284	1.00339
0.00556726	0.9993	-0.219591	1.00342
0.00561544	0.999289	-0.220898	1.00346
0.00566383	0.999278	-0.222205	1.00349
0.00571243	0.999267	-0.223512	1.00353
0.00576124	0.999256	-0.22482	1.00357
0.00581026	0.999245	-0.226127	1.0036
0.0058595	0.999234	-0.227435	1.00364
0.00590894	0.999223	-0.228743	1.00368
0.00595859	0.999211	-0.230051	1.00372
0.00600845	0.9992	-0.23136	1.00375
0.00605852	0.999188	-0.232668	1.00379
0.0061088	0.999176	-0.233977	1.00383
0.00615929	0.999164	-0.235285	1.00387
0.00620999	0.999152	-0.236594	1.0039
0.0062609	0.99914	-0.237904	1.00394
0.00631202	0.999128	-0.239213	1.00398
0.00636335	0.999116	-0.240523	1.00402
0.0064149	0.999103	-0.241832	1.00406
0.00646665	0.999091	-0.243142	1.00409
0.00651861	0.999078	-0.244453	1.00413
0.00657078	0.999065	-0.245763	1.00417
0.00662316	0.999052	-0.247074	1.00421
0.00667576	0.999039	-0.248385	1.00425
0.00672856	0.999026	-0.249696	1.00429
0.00678157	0.999012	-0.251008	1.00433
0.0068348	0.998999	-0.252319	1.00437
