Q2:	100

z	fQ	dfQ/dz	fQ^2 + (dfQ/dz)^2/Q2
0.000130964	1	-0.109287	1.00012
0.000135326	1	-0.112314	1.00013
0.000139821	0.999999	-0.11542	1.00013
0.000144453	0.999998	-0.118607	1.00014
0.000149223	0.999998	-0.121876	1.00014
0.000154137	0.999997	-0.125229	1.00015
0.000159197	0.999997	-0.128667	1.00016
0.000164408	0.999996	-0.13219	1.00017
0.000169771	0.999995	-0.135801	1.00017
0.000175292	0.999994	-0.1395	1.00018
0.000180974	0.999994	-0.143289	1.00019
0.00018682	0.999993	-0.147168	1.0002
0.000192835	0.999992	-0.151139	1.00021
0.000199021	0.999991	-0.155202	1.00022
0.000205382	0.99999	-0.159359	1.00023
0.000211922	0.999989	-0.163609	1.00025
0.000218644	0.999988	-0.167955	1.00026
0.000225553	0.999987	-0.172397	1.00027
0.000232651	0.999985	-0.176934	1.00028
0.000239943	0.999984	-0.181569	1.0003
0.000247431	0.999983	-0.186302	1.00031
0.000255119	0.999981	-0.191132	1.00033
0.000263011	0.99998	-0.196061	1.00034
0.000271109	0.999978	-0.201088	1.00036
0.000279417	0.999976	-0.206214	1.00038
0.000287939	0.999975	-0.211439	1.0004
0.000296676	0.999973	-0.216763	1.00042
0.000305633	0.999971	-0.222186	1.00044
0.000314811	0.999969	-0.227707	1.00046
0.000324213	0.999967	-0.233328	1.00048
0.000333843	0.999964	-0.239046	1.0005
0.000343702	0.999962	-0.244863	1.00052
0.000353792	0.999959	-0.250776	1.00055
0.000364116	0.999957	-0.256787	1.00057
0.000374676	0.999954	-0.262894	1.0006
0.000385474	0.999951	-0.269097	1.00063
0.00039651	0.999948	-0.275395	1.00065
0.000407787	0.999945	-0.281787	1.00068
0.000419305	0.999942	-0.288273	1.00071
0.000431066	0.999938	-0.294851	1.00075
0.000443071	0.999935	-0.30152	1.00078
0.000455321	0.999931	-0.30828	1.00081
0.000467816	0.999927	-0.31513	1.00085
0.000480556	0.999923	-0.322068	1.00088
0.000493542	0.999919	-0.329094	1.00092
0.000506774	0.999914	-0.336206	1.00096
0.000520252	0.99991	-0.343404	1.001
0.000533977	0.999905	-0.350686	1.00104
0.000547947	0.9999	-0.358051	1.00108
0.000562162	0.999895	-0.365498	1.00113
0.000576622	0.99989	-0.373027	1.00117
0.000591327	0.999884	-0.380636	1.00122
0.000606276	0.999878	-0.388324	1.00126
0.000621468	0.999872	-0.396089	1.00131
0.000636902	0.999866	-0.403932	1.00136
0.000652579	0.99986	-0.411851	1.00142
0.000668496	0.999853	-0.419844	1.00147
0.000684654	0.999846	-0.427911	1.00152
0.000701051	0.999839	-0.436051	1.00158
0.000717687	0.999832	-0.444262	1.00164
0.00073456	0.999824	-0.452544	1.0017
0.000751671	0.999817	-0.460894	1.00176
0.000769017	0.999808	-0.469312	1.00182
0.000786599	0.9998	-0.477796	1.00188
0.000804416	0.999792	-0.486345	1.00195
0.000822466	0.999783	-0.494956	1.00202
0.000840749	0.999774	-0.503629	1.00208
0.000859264	0.999764	-0.51236	1.00215
0.000878011	0.999755	-0.521148	1.00223
0.000896989	0.999745	-0.52999	1.0023
0.000916197	0.999734	-0.538884	1.00237
0.000935634	0.999724	-0.547825	1.00245
0.0009553	0.999713	-0.556812	1.00253
0.000975194	0.999702	-0.56584	1.00261
0.000995317	0.99969	-0.574905	1.00269
0.00101567	0.999678	-0.584031	1.00277
0.00103624	0.999666	-0.593218	1.00285
0.00105704	0.999654	-0.602453	1.00294
0.00107807	0.999641	-0.611736	1.00302
0.00109933	0.999628	-0.621065	1.00311
0.0011208	0.999615	-0.63044	1.0032
0.00114251	0.999601	-0.639859	1.0033
0.00116443	0.999587	-0.649322	1.00339
0.00118659	0.999572	-0.658828	1.00349
