Q2:	10.756

z	fQ	dfQ/dz	fQ^2 + (dfQ/dz)^2/Q2
1.02606e-06	1	-0.00564393	1
1.06939e-06	1	-0.00564724	1
1.11449e-06	1	-0.00565069	1
1.16141e-06	1	-0.00565428	1
1.21023e-06	1	-0.00565801	1
1.26102e-06	1	-0.00566189	1
1.31386e-06	1	-0.00566593	1
1.36883e-06	1	-0.00567013	1
1.42601e-06	1	-0.0056745	1
1.48548e-06	1	-0.00567904	1
1.54734e-06	1	-0.00568377	1
1.61167e-06	1	-0.00568868	1
1.67856e-06	1	-0.0056938	1
1.74813e-06	1	-0.00569911	1
1.82046e-06	1	-0.00570464	1
1.89566e-06	1	-0.00571039	1
1.97385e-06	1	-0.00571636	1
2.05512e-06	1	-0.00572257	1
2.13962e-06	1	-0.00572903	1
2.22744e-06	1	-0.00573574	1
2.31872e-06	1	-0.00574271	1
2.41359e-06	1	-0.00574996	1
2.51219e-06	1	-0.00575749	1
2.61464e-06	1	-0.00576532	1
2.7211e-06	1	-0.00577345	1
2.83172e-06	1	-0.0057819	1
2.94665e-06	1	-0.00579068	1
3.06605e-06	1	-0.0057998	1
3.19009e-06	1	-0.00580928	1
3.31894e-06	1	-0.00581912	1
3.45277e-06	1	-0.00582934	1
3.59178e-06	1	-0.00583996	1
3.73614e-06	1	-0.00585099	1
3.88606e-06	1	-0.00586244	1
4.04175e-06	1	-0.00587433	1
4.2034e-06	1	-0.00588668	1
4.37125e-06	1	-0.00589949	1
4.54551e-06	1	-0.0059128	1
4.72643e-06	1	-0.00592662	1
4.91423e-06	1	-0.00594096	1
5.10918e-06	1	-0.00595584	1
5.31152e-06	1	-0.00597129	1
5.52153e-06	1	-0.00598733	1
5.73948e-06	1	-0.00600397	1
5.96567e-06	1	-0.00602124	1
6.20037e-06	1	-0.00603916	1
6.44391e-06	1	-0.00605775	1
6.69658e-06	1	-0.00607703	1
6.95874e-06	1	-0.00609704	1
7.23069e-06	1	-0.0061178	1
7.51281e-06	1	-0.00613933	1
7.80544e-06	1	-0.00616166	1
8.10896e-06	1	-0.00618483	1
8.42376e-06	1	-0.00620885	1
8.75022e-06	1	-0.00623376	1
9.08877e-06	1	-0.00625958	1
9.43983e-06	1	-0.00628637	1
9.80382e-06	1	-0.00631413	1
1.01812e-05	1	-0.00634292	1
1.05725e-05	1	-0.00637276	1
1.09781e-05	1	-0.00640369	1
1.13985e-05	1	-0.00643576	1
1.18343e-05	1	-0.00646899	1
1.2286e-05	1	-0.00650343	1
1.27542e-05	1	-0.00653911	1
1.32393e-05	1	-0.0065761	1
1.37421e-05	1	-0.00661441	1
1.4263e-05	1	-0.00665411	1
1.48027e-05	1	-0.00669524	1
1.53619e-05	1	-0.00673785	1
1.59413e-05	1	-0.00678199	1
1.65414e-05	1	-0.0068277	1
1.7163e-05	1	-0.00687505	1
1.78069e-05	1	-0.00692408	1
1.84738e-05	1	-0.00697486	1
1.91644e-05	1	-0.00702744	1
1.98796e-05	1	-0.00708188	1
2.06202e-05	1	-0.00713825	1
2.1387e-05	1	-0.0071966	1
2.2181e-05	1	-0.00725701	1
2.30029e-05	1	-0.00731953	1
2.38538e-05	1	-0.00738425	1
2.47346e-05	1	-0.00745123	1
2.56463e-05	1	-0.00752054	1
2.65899e-05	1	-0.00759227	1
2.75665e-05	1	-0.00766648	1.00001
2.85771e-05	1	-0.00774327	1.00001
2.96228e-05	1	-0.00782271	1.00001
3.07049e-05	1	-0.00790488	1.00001
3.18244e-05	1	-0.00798989	1.00001
3.29826e-05	1	-0.00807781	1.00001
3.41808e-05	1	-0.00816874	1.00001
3.54202e-05	1	-0.00826278	1.00001
3.67022e-05	1	-0.00836001	1.00001
3.80281e-05	1	-0.00846056	1.00001
3.93993e-05	1	-0.00856451	1.00001
4.08173e-05	1	-0.00867197	1.00001
4.22836e-05	1	-0.00878305	1.00001
4.37996e-05	1	-0.00889787	1.00001
4.5367e-05	1	-0.00901655	1.00001
4.69874e-05	1	-0.00913919	1.00001
4.86625e-05	1	-0.00926592	1.00001
5.03938e-05	1	-0.00939686	1.00001
5.21833e-05	1	-0.00953215	1.00001
5.40326e-05	0.999999	-0.00967191	1.00001
5.59437e-05	0.999999	-0.00981628	1.00001
5.79185e-05	0.999999	-0.0099654	1.00001
5.99588e-05	0.999999	-0.0101194	1.00001
6.20667e-05	0.999999	-0.0102784	1.00001
6.42443e-05	0.999999	-0.0104426	1.00001
6.64936e-05	0.999999	-0.0106122	1.00001
6.88169e-05	0.999999	-0.0107872	1.00001
7.12163e-05	0.999999	-0.0109679	1.00001
7.3694e-05	0.999999	-0.0111544	1.00001
7.62525e-05	0.999999	-0.0113468	1.00001
7.88941e-05	0.999999	-0.0115454	1.00001
8.16212e-05	0.999999	-0.0117503	1.00001
8.44363e-05	0.999999	-0.0119617	1.00001
8.73421e-05	0.999999	-0.0121798	1.00001
9.0341e-05	0.999999	-0.0124047	1.00001
9.34357e-05	0.999999	-0.0126366	1.00001
9.66291e-05	0.999999	-0.0128758	1.00001
9.99238e-05	0.999999	-0.0131224	1.00001
0.000103323	0.999999	-0.0133766	1.00001
0.000106829	0.999999	-0.0136386	1.00001
0.000110445	0.999999	-0.0139087	1.00002
0.000114174	0.999999	-0.014187	1.00002
0.000118019	0.999999	-0.0144737	1.00002
0.000121984	0.999999	-0.014769	1.00002
0.000126071	0.999998	-0.0150732	1.00002
0.000130283	0.999998	-0.0153865	1.00002
0.000134625	0.999998	-0.0157091	1.00002
