Q2:	5

z	fQ	dfQ/dz	fQ^2 + (dfQ/dz)^2/Q2
0.00274481	0.999874	-0.0783416	1.00098
0.00277928	0.999871	-0.0791094	1.00099
0.00281398	0.999868	-0.0798801	1.00101
0.00284889	0.999866	-0.0806537	1.00103
0.00288402	0.999863	-0.08143	1.00105
0.00291937	0.99986	-0.0822092	1.00107
0.00295494	0.999857	-0.082991	1.00109
0.00299073	0.999854	-0.0837756	1.00111
0.00302674	0.999851	-0.0845629	1.00113
0.00306297	0.999848	-0.0853528	1.00115
0.00309942	0.999845	-0.0861453	1.00117
0.00313608	0.999842	-0.0869404	1.0012
0.00317297	0.999839	-0.087738	1.00122
0.00321007	0.999835	-0.0885382	1.00124
0.00324739	0.999832	-0.0893409	1.00126
0.00328494	0.999829	-0.090146	1.00128
0.0033227	0.999825	-0.0909536	1.00131
0.00336068	0.999822	-0.0917635	1.00133
0.00339888	0.999818	-0.0925758	1.00135
0.0034373	0.999815	-0.0933904	1.00137
0.00347594	0.999811	-0.0942073	1.0014
0.00351479	0.999808	-0.0950265	1.00142
0.00355387	0.999804	-0.0958479	1.00145
0.00359316	0.9998	-0.0966715	1.00147
0.00363268	0.999796	-0.0974973	1.00149
0.00367241	0.999793	-0.0983252	1.00152
0.00371237	0.999789	-0.0991553	1.00154
0.00375254	0.999785	-0.0999874	1.00157
0.00379293	0.999781	-0.100822	1.00159
0.00383354	0.999777	-0.101658	1.00162
0.00387437	0.999772	-0.102496	1.00165
0.00391542	0.999768	-0.103336	1.00167
0.00395669	0.999764	-0.104178	1.0017
0.00399818	0.99976	-0.105022	1.00173
0.00403989	0.999755	-0.105867	1.00175
0.00408181	0.999751	-0.106715	1.00178
0.00412396	0.999747	-0.107564	1.00181
0.00416633	0.999742	-0.108415	1.00183
0.00420891	0.999737	-0.109268	1.00186
0.00425172	0.999733	-0.110123	1.00189
0.00429474	0.999728	-0.110979	1.00192
0.00433798	0.999723	-0.111837	1.00195
0.00438144	0.999719	-0.112696	1.00198
0.00442513	0.999714	-0.113557	1.00201
0.00446903	0.999709	-0.11442	1.00204
0.00451315	0.999704	-0.115284	1.00207
0.00455749	0.999699	-0.11615	1.0021
0.00460205	0.999694	-0.117017	1.00213
0.00464683	0.999688	-0.117885	1.00216
0.00469183	0.999683	-0.118755	1.00219
0.00473704	0.999678	-0.119626	1.00222
0.00478248	0.999672	-0.120499	1.00225
0.00482814	0.999667	-0.121372	1.00228
0.00487402	0.999661	-0.122248	1.00231
0.00492011	0.999656	-0.123124	1.00234
0.00496643	0.99965	-0.124001	1.00238
0.00501296	0.999644	-0.12488	1.00241
0.00505972	0.999639	-0.12576	1.00244
0.00510669	0.999633	-0.126641	1.00247
0.00515389	0.999627	-0.127523	1.00251
0.0052013	0.999621	-0.128407	1.00254
0.00524894	0.999615	-0.129291	1.00257
0.00529679	0.999609	-0.130176	1.00261
0.00534486	0.999602	-0.131062	1.00264
0.00539316	0.999596	-0.13195	1.00267
0.00544167	0.99959	-0.132838	1.00271
0.0054904	0.999583	-0.133727	1.00274
0.00553935	0.999577	-0.134617	1.00278
0.00558852	0.99957	-0.135508	1.00281
0.00563791	0.999564	-0.136399	1.00285
0.00568753	0.999557	-0.137292	1.00288
0.00573736	0.99955	-0.138185	1.00292
0.00578741	0.999543	-0.139079	1.00296
0.00583768	0.999536	-0.139973	1.00299
0.00588817	0.999529	-0.140869	1.00303
0.00593888	0.999522	-0.141765	1.00306
0.00598981	0.999515	-0.142661	1.0031
0.00604096	0.999508	-0.143558	1.00314
0.00609233	0.9995	-0.144456	1.00317
0.00614392	0.999493	-0.145355	1.00321
0.00619573	0.999486	-0.146254	1.00325
0.00624776	0.999478	-0.147153	1.00329
0.00630001	0.99947	-0.148053	1.00332
0.00635247	0.999463	-0.148953	1.00336
0.00640516	0.999455	-0.149854	1.0034
0.00645807	0.999447	-0.150755	1.00344
0.0065112	0.999439	-0.151657	1.00348
0.00656455	0.999431	-0.152559	1.00352
0.00661812	0.999423	-0.153461	1.00356
0.00667191	0.999415	-0.154363	1.0036
0.00672592	0.999406	-0.155266	1.00363
0.00678015	0.999398	-0.156169	1.00367
0.0068346	0.999389	-0.157073	1.00371
0.00688926	0.999381	-0.157976	1.00375
0.00694415	0.999372	-0.15888	1.00379
0.00699926	0.999364	-0.159784	1.00383
0.00705459	0.999355	-0.160688	1.00387
0.00711014	0.999346	-0.161592	1.00391
0.00716591	0.999337	-0.162497	1.00396
0.0072219	0.999328	-0.163401	1.004
0.00727811	0.999319	-0.164305	1.00404
0.00733454	0.999309	-0.16521	1.00408
0.00739119	0.9993	-0.166114	1.00412
0.00744806	0.999291	-0.167019	1.00416
0.00750515	0.999281	-0.167924	1.0042
0.00756246	0.999272	-0.168828	1.00424
0.00761999	0.999262	-0.169733	1.00429
0.00767774	0.999252	-0.170637	1.00433
0.00773572	0.999242	-0.171541	1.00437
0.00779391	0.999232	-0.172445	1.00441
0.00785232	0.999222	-0.173349	1.00446
0.00791095	0.999212	-0.174253	1.0045
0.0079698	0.999202	-0.175157	1.00454
0.00802888	0.999192	-0.17606	1.00458
0.00808817	0.999181	-0.176964	1.00463
0.00814768	0.999171	-0.177867	1.00467
0.00820742	0.99916	-0.178769	1.00471
0.00826737	0.999149	-0.179672	1.00476
0.00832755	0.999139	-0.180574	1.0048
0.00838794	0.999128	-0.181476	1.00484
0.00844856	0.999117	-0.182378	1.00489
0.00850939	0.999106	-0.183279	1.00493
0.00857045	0.999094	-0.18418	1.00497
0.00863173	0.999083	-0.185081	1.00502
0.00869322	0.999072	-0.185981	1.00506
0.00875494	0.99906	-0.186881	1.00511
0.00881688	0.999049	-0.18778	1.00515
0.00887904	0.999037	-0.188679	1.00519
0.00894141	0.999025	-0.189578	1.00524
0.00900401	0.999013	-0.190476	1.00528
0.00906683	0.999001	-0.191374	1.00533
0.00912987	0.998989	-0.192271	1.00537
0.00919314	0.998977	-0.193168	1.00542
0.00925662	0.998965	-0.194064	1.00546
0.00932032	0.998952	-0.19496	1.00551
0.00938424	0.99894	-0.195855	1.00555
0.00944839	0.998927	-0.196749	1.0056
0.00951275	0.998915	-0.197644	1.00564
