Q2:	1000

z	fQ	dfQ/dz	fQ^2 + (dfQ/dz)^2/Q2
0.000130964	1	-0.86879	1.00075
0.000135326	0.999996	-0.889916	1.00078
0.000139821	0.999992	-0.911615	1.00081
0.000144453	0.999988	-0.933896	1.00085
0.000149223	0.999983	-0.95677	1.00088
0.000154137	0.999978	-0.980246	1.00092
0.000159197	0.999973	-1.00433	1.00095
0.000164408	0.999968	-1.02904	1.00099
0.000169771	0.999962	-1.05438	1.00104
0.000175292	0.999956	-1.08037	1.00108
0.000180974	0.99995	-1.10699	1.00112
0.00018682	0.999943	-1.13428	1.00117
0.000192835	0.999936	-1.16223	1.00122
0.000199021	0.999929	-1.19085	1.00128
0.000205382	0.999921	-1.22014	1.00133
0.000211922	0.999913	-1.25013	1.00139
0.000218644	0.999904	-1.2808	1.00145
0.000225553	0.999895	-1.31217	1.00151
0.000232651	0.999886	-1.34424	1.00158
0.000239943	0.999876	-1.37701	1.00165
0.000247431	0.999865	-1.41049	1.00172
0.000255119	0.999854	-1.44469	1.0018
0.000263011	0.999843	-1.47959	1.00187
0.000271109	0.999831	-1.5152	1.00196
0.000279417	0.999818	-1.55153	1.00204
0.000287939	0.999804	-1.58858	1.00213
0.000296676	0.99979	-1.62633	1.00223
0.000305633	0.999776	-1.66479	1.00232
0.000314811	0.99976	-1.70396	1.00242
0.000324213	0.999744	-1.74382	1.00253
0.000333843	0.999727	-1.78438	1.00264
0.000343702	0.999709	-1.82564	1.00275
0.000353792	0.999691	-1.86757	1.00287
0.000364116	0.999671	-1.91018	1.00299
0.000374676	0.999651	-1.95345	1.00312
0.000385474	0.99963	-1.99738	1.00325
0.00039651	0.999608	-2.04195	1.00338
0.000407787	0.999584	-2.08716	1.00353
0.000419305	0.99956	-2.13298	1.00367
0.000431066	0.999535	-2.17941	1.00382
0.000443071	0.999509	-2.22644	1.00397
0.000455321	0.999481	-2.27404	1.00413
0.000467816	0.999453	-2.32221	1.0043
0.000480556	0.999423	-2.37093	1.00447
0.000493542	0.999392	-2.42017	1.00464
0.000506774	0.99936	-2.46994	1.00482
0.000520252	0.999326	-2.5202	1.005
0.000533977	0.999291	-2.57094	1.00519
0.000547947	0.999255	-2.62215	1.00539
0.000562162	0.999218	-2.6738	1.00559
0.000576622	0.999179	-2.72589	1.00579
0.000591327	0.999139	-2.77838	1.006
0.000606276	0.999097	-2.83127	1.00621
0.000621468	0.999054	-2.88454	1.00643
0.000636902	0.999009	-2.93817	1.00665
0.000652579	0.998962	-2.99215	1.00688
0.000668496	0.998914	-3.04646	1.00711
0.000684654	0.998865	-3.10107	1.00735
0.000701051	0.998814	-3.15599	1.00759
0.000717687	0.998761	-3.2112	1.00784
0.00073456	0.998706	-3.26667	1.00809
0.000751671	0.99865	-3.3224	1.00834
0.000769017	0.998592	-3.37837	1.0086
0.000786599	0.998532	-3.43457	1.00886
0.000804416	0.99847	-3.49099	1.00913
0.000822466	0.998407	-3.54762	1.0094
0.000840749	0.998342	-3.60445	1.00968
0.000859264	0.998274	-3.66146	1.00996
0.000878011	0.998205	-3.71866	1.01024
0.000896989	0.998134	-3.77602	1.01053
0.000916197	0.998061	-3.83354	1.01082
0.000935634	0.997986	-3.89122	1.01112
0.0009553	0.997908	-3.94905	1.01142
0.000975194	0.997829	-4.00701	1.01172
0.000995317	0.997748	-4.06511	1.01203
0.00101567	0.997664	-4.12334	1.01234
0.00103624	0.997579	-4.1817	1.01265
0.00105704	0.997491	-4.24017	1.01297
0.00107807	0.997401	-4.29876	1.01329
0.00109933	0.997309	-4.35747	1.01361
0.0011208	0.997214	-4.41629	1.01394
0.00114251	0.997118	-4.47522	1.01427
0.00116443	0.997019	-4.53425	1.01461
0.00118659	0.996917	-4.59339	1.01494
0.00120896	0.996814	-4.65263	1.01528
0.00123156	0.996708	-4.71197	1.01563
0.00125438	0.996599	-4.77142	1.01598
0.00127742	0.996488	-4.83096	1.01633
0.00130069	0.996375	-4.89061	1.01668
0.00132418	0.996259	-4.95035	1.01704
0.00134789	0.996141	-5.01019	1.0174
0.00137182	0.99602	-5.07013	1.01776
0.00139597	0.995897	-5.13017	1.01813
0.00142035	0.995771	-5.19031	1.0185
0.00144494	0.995643	-5.25054	1.01887
0.00146976	0.995511	-5.31087	1.01925
0.0014948	0.995378	-5.37129	1.01963
0.00152005	0.995241	-5.4318	1.02001
0.00154553	0.995102	-5.4924	1.02039
0.00157123	0.99496	-5.5531	1.02078
0.00159715	0.994815	-5.61387	1.02117
0.00162329	0.994668	-5.67473	1.02157
0.00164965	0.994518	-5.73566	1.02196
0.00167624	0.994364	-5.79667	1.02236
0.00170304	0.994208	-5.85773	1.02276
0.00173006	0.994049	-5.91886	1.02317
0.0017573	0.993888	-5.98004	1.02357
0.00178476	0.993723	-6.04126	1.02398
0.00181244	0.993555	-6.10251	1.02439
0.00184034	0.993384	-6.16378	1.0248
0.00186845	0.99321	-6.22506	1.02522
0.00189679	0.993033	-6.28633	1.02563
0.00192535	0.992853	-6.34757	1.02605
0.00195413	0.99267	-6.40877	1.02647
0.00198313	0.992484	-6.46991	1.02688
0.00201234	0.992294	-6.53096	1.0273
0.00204178	0.992101	-6.59191	1.02772
0.00207143	0.991905	-6.65272	1.02813
0.00210131	0.991705	-6.71337	1.02855
0.0021314	0.991502	-6.77383	1.02896
0.00216171	0.991296	-6.83405	1.02937
0.00219224	0.991086	-6.89402	1.02978
0.002223	0.990872	-6.95368	1.03018
0.00225397	0.990656	-7.01303	1.03058
0.00228515	0.990436	-7.0732	1.03099
0.00231656	0.990213	-7.1333	1.03141
0.00234819	0.989986	-7.19334	1.03182
0.00238004	0.989756	-7.25331	1.03223
0.0024121	0.989523	-7.31321	1.03264
0.00244439	0.989285	-7.37303	1.03305
0.00247689	0.989045	-7.43278	1.03346
0.00250961	0.988801	-7.49244	1.03386
0.00254256	0.988553	-7.55201	1.03427
0.00257572	0.988301	-7.61149	1.03467
0.0026091	0.988046	-7.67088	1.03508
0.0026427	0.987788	-7.73017	1.03548
0.00267651	0.987525	-7.78936	1.03588
0.00271055	0.987259	-7.84844	1.03628
0.00274481	0.986989	-7.90742	1.03668
0.00277928	0.986716	-7.96628	1.03707
0.00281398	0.986438	-8.02504	1.03746
0.00284889	0.986157	-8.08368	1.03785
0.00288402	0.985872	-8.14219	1.03824
0.00291937	0.985583	-8.20059	1.03862
0.00295494	0.98529	-8.25886	1.03901
0.00299073	0.984994	-8.31701	1.03939
0.00302674	0.984693	-8.37503	1.03976
0.00306297	0.984389	-8.43291	1.04014
0.00309942	0.98408	-8.49066	1.04051
0.00313608	0.983768	-8.54828	1.04087
0.00317297	0.983452	-8.60576	1.04124
0.00321007	0.983131	-8.66309	1.0416
0.00324739	0.982807	-8.72029	1.04195
0.00328494	0.982478	-8.77734	1.04231
0.0033227	0.982146	-8.83424	1.04265
0.00336068	0.981809	-8.89099	1.043
0.00339888	0.981469	-8.9476	1.04334
0.0034373	0.981124	-9.00405	1.04368
0.00347594	0.980775	-9.06034	1.04401
0.00351479	0.980422	-9.11648	1.04434
0.00355387	0.980064	-9.17246	1.04466
0.00359316	0.979703	-9.22828	1.04498
0.00363268	0.979337	-9.28394	1.04529
0.00367241	0.978967	-9.33943	1.0456
0.00371237	0.978593	-9.39476	1.04591
0.00375254	0.978214	-9.44992	1.0462
0.00379293	0.977831	-9.50491	1.0465
0.00383354	0.977444	-9.55972	1.04679
0.00387437	0.977053	-9.61436	1.04707
0.00391542	0.976657	-9.66883	1.04735
0.00395669	0.976257	-9.72311	1.04762
0.00399818	0.975852	-9.77721	1.04788
0.00403989	0.975443	-9.83113	1.04814
0.00408181	0.97503	-9.88487	1.04839
0.00412396	0.974612	-9.93841	1.04864
0.00416633	0.97419	-9.99176	1.04888
0.00420891	0.973764	-10.0449	1.04912
0.00425172	0.973333	-10.0979	1.04934
0.00429474	0.972897	-10.1506	1.04956
0.00433798	0.972457	-10.2032	1.04978
0.00438144	0.972012	-10.2556	1.04998
0.00442513	0.971563	-10.3077	1.05018
0.00446903	0.971109	-10.3597	1.05038
