Q2:	1

u	fQ	dfQ/du	fQ^2 + (dfQ/du)^2/Q2
4.84808e-05	1	-0.0058262	1.00003
5.0221e-05	1	-0.00583189	1.00003
5.20201e-05	1	-0.00583778	1.00003
5.388e-05	1	-0.00584386	1.00003
5.58024e-05	1	-0.00585014	1.00003
5.77895e-05	1	-0.00585664	1.00003
5.9843e-05	1	-0.00586335	1.00003
6.19652e-05	1	-0.00587029	1.00003
6.41581e-05	1	-0.00587746	1.00003
6.64238e-05	1	-0.00588486	1.00003
6.87645e-05	1	-0.00589252	1.00003
7.11826e-05	1	-0.00590042	1.00003
7.36802e-05	1	-0.00590858	1.00003
7.62598e-05	1	-0.00591701	1.00003
7.89238e-05	1	-0.00592571	1.00003
8.16747e-05	1	-0.0059347	1.00003
8.4515e-05	1	-0.00594398	1.00003
8.74473e-05	1	-0.00595355	1.00003
9.04743e-05	1	-0.00596344	1.00003
9.35986e-05	1	-0.00597364	1.00003
9.68231e-05	1	-0.00598417	1.00004
0.00010015	1	-0.00599503	1.00004
0.000103584	1	-0.00600624	1.00004
0.000107126	1	-0.0060178	1.00004
0.000110779	1	-0.00602973	1.00004
0.000114548	0.999999	-0.00604202	1.00004
0.000118434	0.999999	-0.0060547	1.00004
0.000122442	0.999999	-0.00606778	1.00004
0.000126573	0.999999	-0.00608125	1.00004
0.000130832	0.999999	-0.00609514	1.00004
0.000135222	0.999999	-0.00610946	1.00004
0.000139746	0.999999	-0.00612421	1.00004
0.000144407	0.999999	-0.0061394	1.00004
0.000149209	0.999999	-0.00615505	1.00004
0.000154155	0.999999	-0.00617117	1.00004
0.000159249	0.999999	-0.00618777	1.00004
0.000164494	0.999999	-0.00620486	1.00004
0.000169894	0.999999	-0.00622244	1.00004
0.000175452	0.999999	-0.00624054	1.00004
0.000181171	0.999999	-0.00625916	1.00004
0.000187056	0.999999	-0.00627832	1.00004
0.000193109	0.999999	-0.00629802	1.00004
0.000199334	0.999999	-0.00631828	1.00004
0.000205736	0.999999	-0.0063391	1.00004
0.000212316	0.999999	-0.0063605	1.00004
0.000219079	0.999999	-0.00638249	1.00004
0.000226028	0.999999	-0.00640508	1.00004
0.000233166	0.999999	-0.00642828	1.00004
0.000240497	0.999998	-0.0064521	1.00004
0.000248024	0.999998	-0.00647655	1.00004
0.00025575	0.999998	-0.00650164	1.00004
0.000263677	0.999998	-0.00652738	1.00004
0.00027181	0.999998	-0.00655378	1.00004
0.000280151	0.999998	-0.00658084	1.00004
0.000288702	0.999998	-0.00660858	1.00004
0.000297467	0.999998	-0.006637	1.00004
0.000306447	0.999998	-0.00666612	1.00004
0.000315645	0.999998	-0.00669593	1.00004
0.000325064	0.999998	-0.00672645	1.00004
0.000334705	0.999998	-0.00675767	1.00004
0.00034457	0.999998	-0.00678961	1.00004
0.000354662	0.999997	-0.00682228	1.00004
0.000364981	0.999997	-0.00685566	1.00004
0.00037553	0.999997	-0.00688978	1.00004
0.000386308	0.999997	-0.00692463	1.00004
0.000397319	0.999997	-0.00696022	1.00004
0.000408561	0.999997	-0.00699654	1.00004
0.000420037	0.999997	-0.0070336	1.00004
0.000431747	0.999997	-0.0070714	1.00004
0.000443691	0.999997	-0.00710994	1.00004
0.000455869	0.999997	-0.00714922	1.00004
0.000468282	0.999996	-0.00718924	1.00004
0.00048093	0.999996	-0.00723	1.00004
0.000493813	0.999996	-0.0072715	1.00005
0.00050693	0.999996	-0.00731374	1.00005
0.000520282	0.999996	-0.00735671	1.00005
0.000533867	0.999996	-0.00740041	1.00005
0.000547685	0.999996	-0.00744484	1.00005
0.000561736	0.999996	-0.00749	1.00005
0.000576019	0.999995	-0.00753588	1.00005
0.000590534	0.999995	-0.00758248	1.00005
0.000605279	0.999995	-0.0076298	1.00005
0.000620254	0.999995	-0.00767783	1.00005
0.000635458	0.999995	-0.00772657	1.00005
0.000650891	0.999995	-0.00777602	1.00005
0.000666552	0.999995	-0.00782617	1.00005
0.000682439	0.999994	-0.00787702	1.00005
0.000698552	0.999994	-0.00792856	1.00005
0.00071489	0.999994	-0.00798079	1.00005
0.000731452	0.999994	-0.00803371	1.00005
0.000748239	0.999994	-0.00808732	1.00005
