Q2:	6619.09

z	fQ	dfQ/dz	fQ^2 + (dfQ/dz)^2/Q2
1.02606e-06	1	-1.58477	1.00038
1.06939e-06	1	-1.58581	1.00038
1.11449e-06	1	-1.5869	1.00038
1.16141e-06	1	-1.58804	1.00038
1.21023e-06	1	-1.58922	1.00038
1.26102e-06	1	-1.59045	1.00038
1.31386e-06	0.999999	-1.59172	1.00038
1.36883e-06	0.999999	-1.59305	1.00038
1.42601e-06	0.999999	-1.59443	1.00038
1.48548e-06	0.999999	-1.59587	1.00038
1.54734e-06	0.999999	-1.59736	1.00038
1.61167e-06	0.999999	-1.59892	1.00038
1.67856e-06	0.999999	-1.60054	1.00038
1.74813e-06	0.999998	-1.60222	1.00038
1.82046e-06	0.999998	-1.60396	1.00039
1.89566e-06	0.999998	-1.60578	1.00039
1.97385e-06	0.999998	-1.60767	1.00039
2.05512e-06	0.999998	-1.60963	1.00039
2.13962e-06	0.999998	-1.61167	1.00039
2.22744e-06	0.999997	-1.61379	1.00039
2.31872e-06	0.999997	-1.616	1.00039
2.41359e-06	0.999997	-1.61829	1.00039
2.51219e-06	0.999997	-1.62067	1.00039
2.61464e-06	0.999997	-1.62315	1.00039
2.7211e-06	0.999996	-1.62572	1.00039
2.83172e-06	0.999996	-1.62839	1.00039
2.94665e-06	0.999996	-1.63116	1.00039
3.06605e-06	0.999996	-1.63404	1.00039
3.19009e-06	0.999995	-1.63704	1.0004
3.31894e-06	0.999995	-1.64015	1.0004
3.45277e-06	0.999995	-1.64338	1.0004
3.59178e-06	0.999995	-1.64673	1.0004
3.73614e-06	0.999994	-1.65021	1.0004
3.88606e-06	0.999994	-1.65383	1.0004
4.04175e-06	0.999994	-1.65759	1.0004
4.2034e-06	0.999993	-1.66149	1.0004
4.37125e-06	0.999993	-1.66554	1.0004
4.54551e-06	0.999992	-1.66974	1.00041
4.72643e-06	0.999992	-1.6741	1.00041
4.91423e-06	0.999992	-1.67863	1.00041
5.10918e-06	0.999991	-1.68333	1.00041
5.31152e-06	0.999991	-1.6882	1.00041
5.52153e-06	0.99999	-1.69327	1.00041
5.73948e-06	0.99999	-1.69852	1.00042
5.96567e-06	0.999989	-1.70397	1.00042
6.20037e-06	0.999989	-1.70962	1.00042
6.44391e-06	0.999988	-1.71549	1.00042
6.69658e-06	0.999988	-1.72157	1.00042
6.95874e-06	0.999987	-1.72788	1.00043
7.23069e-06	0.999986	-1.73443	1.00043
7.51281e-06	0.999986	-1.74122	1.00043
7.80544e-06	0.999985	-1.74826	1.00043
8.10896e-06	0.999984	-1.75556	1.00043
8.42376e-06	0.999984	-1.76314	1.00044
8.75022e-06	0.999983	-1.77099	1.00044
9.08877e-06	0.999982	-1.77913	1.00044
9.43983e-06	0.999981	-1.78756	1.00045
9.80382e-06	0.999981	-1.79631	1.00045
1.01812e-05	0.99998	-1.80538	1.00045
1.05725e-05	0.999979	-1.81477	1.00046
1.09781e-05	0.999978	-1.82451	1.00046
1.13985e-05	0.999977	-1.83461	1.00046
1.18343e-05	0.999976	-1.84507	1.00047
1.2286e-05	0.999975	-1.8559	1.00047
1.27542e-05	0.999974	-1.86713	1.00047
1.32393e-05	0.999973	-1.87876	1.00048
1.37421e-05	0.999971	-1.89081	1.00048
1.4263e-05	0.99997	-1.90329	1.00049
