Q2:	0

u	fQ	dfQ/du	fQ^2 + (dfQ/du)^2/Q2
4.84808e-05	1	0	1
5.0221e-05	1	0	1
5.20201e-05	1	0	1
5.388e-05	1	0	1
5.58024e-05	1	0	1
5.77895e-05	1	0	1
5.9843e-05	1	0	1
6.19652e-05	1	0	1
6.41581e-05	1	0	1
6.64238e-05	1	0	1
6.87645e-05	1	0	1
7.11826e-05	1	0	1
7.36802e-05	1	0	1
7.62598e-05	1	0	1
7.89238e-05	1	0	1
8.16747e-05	1	0	1
8.4515e-05	1	0	1
8.74473e-05	1	0	1
9.04743e-05	1	0	1
9.35986e-05	1	0	1
9.68231e-05	1	0	1
0.00010015	1	0	1
0.000103584	1	0	1
0.000107126	1	0	1
0.000110779	1	0	1
0.000114548	1	0	1
0.000118434	1	0	1
0.000122442	1	0	1
0.000126573	1	0	1
0.000130832	1	0	1
0.000135222	1	0	1
0.000139746	1	0	1
0.000144407	1	0	1
0.000149209	1	0	1
0.000154155	1	0	1
0.000159249	1	0	1
0.000164494	1	0	1
0.000169894	1	0	1
0.000175452	1	0	1
0.000181171	1	0	1
0.000187056	1	0	1
0.000193109	1	0	1
0.000199334	1	0	1
0.000205736	1	0	1
0.000212316	1	0	1
0.000219079	1	0	1
0.000226028	1	0	1
0.000233166	1	0	1
0.000240497	1	0	1
0.000248024	1	0	1
0.00025575	1	0	1
0.000263677	1	0	1
0.00027181	1	0	1
0.000280151	1	0	1
0.000288702	1	0	1
0.000297467	1	0	1
0.000306447	1	0	1
0.000315645	1	0	1
0.000325064	1	0	1
0.000334705	1	0	1
0.00034457	1	0	1
0.000354662	1	0	1
0.000364981	1	0	1
0.00037553	1	0	1
0.000386308	1	0	1
0.000397319	1	0	1
0.000408561	1	0	1
0.000420037	1	0	1
0.000431747	1	0	1
0.000443691	1	0	1
0.000455869	1	0	1
0.000468282	1	0	1
0.00048093	1	0	1
0.000493813	1	0	1
0.00050693	1	0	1
0.000520282	1	0	1
0.000533867	1	0	1
0.000547685	1	0	1
0.000561736	1	0	1
0.000576019	1	0	1
0.000590534	1	0	1
0.000605279	1	0	1
0.000620254	1	0	1
0.000635458	1	0	1
0.000650891	1	0	1
0.000666552	1	0	1
0.000682439	1	0	1
0.000698552	1	0	1
0.00071489	1	0	1
0.000731452	1	0	1
0.000748239	1	0	1
0.000765248	1	0	1
0.000782479	1	0	1
0.000799931	1	0	1
0.000817605	1	0	1
0.000835498	1	0	1
0.000853611	1	0	1
0.000871942	1	0	1
0.000890492	1	0	1
0.000909259	1	0	1
0.000928244	1	0	1
0.000947445	1	0	1
0.000966862	1	0	1
0.000986495	1	0	1
0.00100634	1	0	1
0.00102641	1	0	1
0.00104668	1	0	1
0.00106718	1	0	1
0.00108788	1	0	1
0.0011088	1	0	1
0.00112993	1	0	1
0.00115128	1	0	1
0.00117283	1	0	1
0.0011946	1	0	1
0.00121659	1	0	1
0.00123878	1	0	1
0.00126119	1	0	1
0.0012838	1	0	1
0.00130663	1	0	1
0.00132967	1	0	1
0.00135292	1	0	1
0.00137638	1	0	1
0.00140006	1	0	1
0.00142394	1	0	1
0.00144803	1	0	1
0.00147234	1	0	1
0.00149685	1	0	1
0.00152157	1	0	1
0.00154651	1	0	1
0.00157165	1	0	1
0.00159701	1	0	1
0.00162257	1	0	1
0.00164834	1	0	1
0.00167433	1	0	1
0.00170052	1	0	1
0.00172692	1	0	1
0.00175353	1	0	1
0.00178035	1	0	1
0.00180739	1	0	1
0.00183463	1	0	1
0.00186208	1	0	1
0.00188973	1	0	1
0.0019176	1	0	1
0.00194568	1	0	1
0.00197397	1	0	1
0.00200246	1	0	1
0.00203117	1	0	1
0.00206008	1	0	1
0.00208921	1	0	1
0.00211854	1	0	1
0.00214808	1	0	1
0.00217783	1	0	1
0.00220779	1	0	1
0.00223796	1	0	1
0.00226834	1	0	1
0.00229893	1	0	1
0.00232972	1	0	1
0.00236073	1	0	1
0.00239195	1	0	1
0.00242337	1	0	1
0.002455	1	0	1
0.00248684	1	0	1
0.0025189	1	0	1
0.00255116	1	0	1
0.00258363	1	0	1
0.0026163	1	0	1
0.00264919	1	0	1
0.00268229	1	0	1
0.00271559	1	0	1
0.00274911	1	0	1
0.00278283	1	0	1
0.00281677	1	0	1
0.00285091	1	0	1
0.00288526	1	0	1
0.00291982	1	0	1
0.00295459	1	0	1
0.00298957	1	0	1
0.00302476	1	0	1
0.00306016	1	0	1
0.00309576	1	0	1
0.00313158	1	0	1
0.0031676	1	0	1
0.00320384	1	0	1
0.00324028	1	0	1
0.00327694	1	0	1
0.0033138	1	0	1
0.00335087	1	0	1
0.00338815	1	0	1
0.00342564	1	0	1
0.00346334	1	0	1
0.00350125	1	0	1
0.00353937	1	0	1
0.00357769	1	0	1
0.00361623	1	0	1
0.00365497	1	0	1
0.00369393	1	0	1
0.00373309	1	0	1
0.00377247	1	0	1
0.00381205	1	0	1
0.00385185	1	0	1
0.00389185	1	0	1
0.00393206	1	0	1
0.00397248	1	0	1
0.00401311	1	0	1
0.00405395	1	0	1
0.004095	1	0	1
0.00413626	1	0	1
0.00417773	1	0	1
0.00421941	1	0	1
0.0042613	1	0	1
0.00430339	1	0	1
0.0043457	1	0	1
0.00438822	1	0	1
0.00443094	1	0	1
0.00447388	1	0	1
0.00451703	1	0	1
0.00456038	1	0	1
0.00460395	1	0	1
0.00464772	1	0	1
0.0046917	1	0	1
0.0047359	1	0	1
0.0047803	1	0	1
0.00482492	1	0	1
0.00486974	1	0	1
0.00491477	1	0	1
0.00496001	1	0	1
0.00500547	1	0	1
0.00505113	1	0	1
0.005097	1	0	1
0.00514308	1	0	1
0.00518937	1	0	1
0.00523587	1	0	1
0.00528259	1	0	1
0.00532951	1	0	1
0.00537664	1	0	1
0.00542398	1	0	1
0.00547153	1	0	1
0.00551929	1	0	1
0.00556726	1	0	1
0.00561544	1	0	1
0.00566383	1	0	1
0.00571243	1	0	1
0.00576124	1	0	1
0.00581026	1	0	1
0.0058595	1	0	1
0.00590894	1	0	1
0.00595859	1	0	1
0.00600845	1	0	1
0.00605852	1	0	1
0.0061088	1	0	1
0.00615929	1	0	1
0.00620999	1	0	1
0.0062609	1	0	1
0.00631202	1	0	1
0.00636335	1	0	1
0.0064149	1	0	1
0.00646665	1	0	1
0.00651861	1	0	1
0.00657078	1	0	1
0.00662316	1	0	1
0.00667576	1	0	1
0.00672856	1	0	1
