Q2:	2

u	fQ	dfQ/du	fQ^2 + (dfQ/du)^2/Q2
0.00180739	0.999968	-0.0215786	1.00017
0.00183463	0.999967	-0.0217542	1.00017
0.00186208	0.999966	-0.021931	1.00017
0.00188973	0.999966	-0.022109	1.00018
0.0019176	0.999965	-0.0222881	1.00018
0.00194568	0.999964	-0.0224683	1.00018
0.00197397	0.999964	-0.0226497	1.00018
0.00200246	0.999963	-0.0228322	1.00019
0.00203117	0.999962	-0.0230159	1.00019
0.00206008	0.999961	-0.0232006	1.00019
0.00208921	0.999961	-0.0233865	1.00019
0.00211854	0.99996	-0.0235736	1.0002
0.00214808	0.999959	-0.0237617	1.0002
0.00217783	0.999958	-0.0239509	1.0002
0.00220779	0.999958	-0.0241413	1.00021
0.00223796	0.999957	-0.0243327	1.00021
0.00226834	0.999956	-0.0245253	1.00021
0.00229893	0.999955	-0.0247189	1.00022
0.00232972	0.999954	-0.0249136	1.00022
0.00236073	0.999954	-0.0251094	1.00022
0.00239195	0.999953	-0.0253063	1.00023
0.00242337	0.999952	-0.0255042	1.00023
0.002455	0.999951	-0.0257033	1.00023
0.00248684	0.99995	-0.0259033	1.00024
0.0025189	0.999949	-0.0261045	1.00024
0.00255116	0.999948	-0.0263067	1.00024
0.00258363	0.999948	-0.0265099	1.00025
0.0026163	0.999947	-0.0267142	1.00025
0.00264919	0.999946	-0.0269195	1.00025
0.00268229	0.999945	-0.0271259	1.00026
0.00271559	0.999944	-0.0273333	1.00026
0.00274911	0.999943	-0.0275417	1.00026
0.00278283	0.999942	-0.0277511	1.00027
0.00281677	0.999941	-0.0279616	1.00027
0.00285091	0.99994	-0.028173	1.00028
0.00288526	0.999939	-0.0283855	1.00028
0.00291982	0.999938	-0.028599	1.00028
0.00295459	0.999937	-0.0288134	1.00029
0.00298957	0.999936	-0.0290289	1.00029
0.00302476	0.999935	-0.0292453	1.0003
0.00306016	0.999934	-0.0294627	1.0003
0.00309576	0.999932	-0.0296811	1.00031
0.00313158	0.999931	-0.0299005	1.00031
0.0031676	0.99993	-0.0301208	1.00031
0.00320384	0.999929	-0.0303421	1.00032
0.00324028	0.999928	-0.0305643	1.00032
0.00327694	0.999927	-0.0307875	1.00033
0.0033138	0.999926	-0.0310117	1.00033
0.00335087	0.999924	-0.0312367	1.00034
0.00338815	0.999923	-0.0314627	1.00034
0.00342564	0.999922	-0.0316897	1.00035
0.00346334	0.999921	-0.0319175	1.00035
0.00350125	0.99992	-0.0321463	1.00036
0.00353937	0.999918	-0.032376	1.00036
0.00357769	0.999917	-0.0326066	1.00037
0.00361623	0.999916	-0.0328381	1.00037
0.00365497	0.999914	-0.0330706	1.00038
0.00369393	0.999913	-0.0333039	1.00038
0.00373309	0.999912	-0.033538	1.00039
0.00377247	0.99991	-0.0337731	1.00039
0.00381205	0.999909	-0.0340091	1.0004
0.00385185	0.999908	-0.0342459	1.0004
0.00389185	0.999906	-0.0344836	1.00041
0.00393206	0.999905	-0.0347221	1.00041
0.00397248	0.999903	-0.0349615	1.00042
0.00401311	0.999902	-0.0352018	1.00042
0.00405395	0.9999	-0.0354429	1.00043
0.004095	0.999899	-0.0356848	1.00043
0.00413626	0.999897	-0.0359276	1.00044
0.00417773	0.999896	-0.0361711	1.00045
0.00421941	0.999894	-0.0364156	1.00045
0.0042613	0.999893	-0.0366608	1.00046
0.00430339	0.999891	-0.0369068	1.00046
0.0043457	0.99989	-0.0371537	1.00047
0.00438822	0.999888	-0.0374013	1.00048
0.00443094	0.999886	-0.0376498	1.00048
0.00447388	0.999885	-0.037899	1.00049
0.00451703	0.999883	-0.038149	1.00049
0.00456038	0.999881	-0.0383998	1.0005
0.00460395	0.99988	-0.0386514	1.00051
0.00464772	0.999878	-0.0389037	1.00051
0.0046917	0.999876	-0.0391568	1.00052
0.0047359	0.999875	-0.0394107	1.00053
0.0047803	0.999873	-0.0396653	1.00053
0.00482492	0.999871	-0.0399206	1.00054
0.00486974	0.999869	-0.0401767	1.00055
0.00491477	0.999867	-0.0404335	1.00055
0.00496001	0.999865	-0.0406911	1.00056
0.00500547	0.999864	-0.0409493	1.00057
0.00505113	0.999862	-0.0412083	1.00057
0.005097	0.99986	-0.041468	1.00058
0.00514308	0.999858	-0.0417284	1.00059
0.00518937	0.999856	-0.0419895	1.00059
0.00523587	0.999854	-0.0422513	1.0006
0.00528259	0.999852	-0.0425137	1.00061
0.00532951	0.99985	-0.0427769	1.00061
0.00537664	0.999848	-0.0430407	1.00062
0.00542398	0.999846	-0.0433052	1.00063
0.00547153	0.999844	-0.0435704	1.00064
0.00551929	0.999842	-0.0438362	1.00064
0.00556726	0.99984	-0.0441027	1.00065
0.00561544	0.999838	-0.0443698	1.00066
0.00566383	0.999835	-0.0446375	1.00067
0.00571243	0.999833	-0.0449059	1.00067
0.00576124	0.999831	-0.0451749	1.00068
0.00581026	0.999829	-0.0454446	1.00069
0.0058595	0.999827	-0.0457148	1.0007
0.00590894	0.999824	-0.0459857	1.00071
0.00595859	0.999822	-0.0462571	1.00071
0.00600845	0.99982	-0.0465292	1.00072
0.00605852	0.999817	-0.0468019	1.00073
0.0061088	0.999815	-0.0470751	1.00074
0.00615929	0.999813	-0.047349	1.00075
0.00620999	0.99981	-0.0476234	1.00075
0.0062609	0.999808	-0.0478983	1.00076
0.00631202	0.999805	-0.0481739	1.00077
0.00636335	0.999803	-0.04845	1.00078
0.0064149	0.9998	-0.0487266	1.00079
0.00646665	0.999798	-0.0490038	1.0008
0.00651861	0.999795	-0.0492815	1.00081
0.00657078	0.999793	-0.0495598	1.00081
0.00662316	0.99979	-0.0498386	1.00082
0.00667576	0.999788	-0.0501179	1.00083
0.00672856	0.999785	-0.0503977	1.00084
0.00678157	0.999782	-0.050678	1.00085
0.0068348	0.99978	-0.0509589	1.00086
0.00688823	0.999777	-0.0512402	1.00087
0.00694187	0.999774	-0.051522	1.00088
0.00699573	0.999772	-0.0518044	1.00088
0.00704979	0.999769	-0.0520872	1.00089
0.00710407	0.999766	-0.0523704	1.0009
0.00715855	0.999763	-0.0526542	1.00091
0.00721325	0.99976	-0.0529383	1.00092
0.00726815	0.999757	-0.053223	1.00093
0.00732327	0.999754	-0.0535081	1.00094
0.0073786	0.999752	-0.0537936	1.00095
0.00743413	0.999749	-0.0540796	1.00096
0.00748988	0.999746	-0.054366	1.00097
0.00754584	0.999743	-0.0546529	1.00098
0.00760201	0.99974	-0.0549401	1.00099
0.00765839	0.999736	-0.0552278	1.001
0.00771498	0.999733	-0.0555159	1.00101
0.00777178	0.99973	-0.0558044	1.00102
0.00782879	0.999727	-0.0560932	1.00103
0.00788601	0.999724	-0.0563825	1.00104
0.00794344	0.999721	-0.0566721	1.00105
0.00800108	0.999718	-0.0569622	1.00106
0.00805893	0.999714	-0.0572526	1.00107
0.008117	0.999711	-0.0575433	1.00108
0.00817527	0.999708	-0.0578344	1.00109
0.00823375	0.999704	-0.0581259	1.0011
0.00829245	0.999701	-0.0584177	1.00111
